as,alias_prefix_num,alias_prefix_64_num,org_name,alias_prefix_ratio,alias_prefix_64_ratio
38,3,4.163336342344337e-17,University of Illinois,5.948946144190557e-06,1.3891955364153323e-30
174,23,151322627.0,Cogent Communications,4.5608587105460935e-05,5.049236974898624e-06
209,20,320.0,"CenturyLink Communications, LLC",3.9659640961270375e-05,1.0677556053580539e-11
513,1,1.3877787807814457e-17,CERN - European Organization for Nuclear Research,1.982982048063519e-06,4.630651788051108e-31
577,461,85700.375,Bell Canada,0.0009141547241572822,2.859595493360538e-09
680,3,2.0,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,5.948946144190557e-06,6.673472533487837e-14
701,3,3.0,Verizon Business,5.948946144190557e-06,1.0010208800231755e-13
786,1,1.0,Jisc Services Limited,1.982982048063519e-06,3.3367362667439185e-14
812,80,920.0,Rogers Communications Canada Inc.,0.0001586385638450815,3.069797365404405e-11
835,2,131072.0,GoCodeIT Inc,3.965964096127038e-06,4.373526959546589e-09
852,90,450.0,TELUS Communications Inc.,0.0001784683843257167,1.501531320034763e-11
906,3,3.0,DMIT Cloud Services,5.948946144190557e-06,1.0010208800231755e-13
945,14,305659904.0,hkgo LLC,2.7761748672889265e-05,1.0199064869662644e-05
949,14,917504.0,xTom,2.7761748672889265e-05,3.061468871682612e-08
1136,3,3.0,KPN B.V.,5.948946144190557e-06,1.0010208800231755e-13
1221,41,41.0,Telstra Corporation Limited,8.130226397060427e-05,1.3680618693650066e-12
1239,5,21474836480.0,Sprint,9.914910240317594e-06,0.0007165586570521131
1241,3,4.163336342344337e-17,Nova Telecommunications & Media Single Member S.A,5.948946144190557e-06,1.3891955364153323e-30
1257,922,921.0,Tele2 Sverige AB,0.0018283094483145645,3.073134101671149e-11
1273,2,33554432.0,Vodafone Group PLC,3.965964096127038e-06,1.1196229016439267e-06
1299,223,1183.0,Arelion Sweden AB,0.00044220499671816473,3.947359003558055e-11
1547,10,2.220446049250313e-15,"Societatea mixta pe actiuni de tip inchis ""Interdnestrcom""",1.9829820480635188e-05,7.409042860881772e-29
1653,11,10.0,Vetenskapsradet / SUNET,2.181280252869871e-05,3.3367362667439183e-13
1659,3,65538.0,National Chung Hsing University,5.948946144190557e-06,2.186830214498629e-09
1680,1,1.0,Cellcom Fixed Line Communication L.P,1.982982048063519e-06,3.3367362667439185e-14
1741,1,1.3877787807814457e-17,CSC - Tieteen tietotekniikan keskus Oy,1.982982048063519e-06,4.630651788051108e-31
1921,18,1179648.0,ipcom GmbH,3.569367686514334e-05,3.93617426359193e-08
1930,17,2339.0,"Fundacao para a Ciencia e a Tecnologia, I.P.",3.371069481707982e-05,7.804626127914025e-11
1955,1,1.0,KIFU (Governmental Info Tech Development Agency),1.982982048063519e-06,3.3367362667439185e-14
2027,1,1.0,MilkyWan Association,1.982982048063519e-06,3.3367362667439185e-14
2200,17,17.0,Renater,3.371069481707982e-05,5.672451653464661e-13
2497,16,12.000000000000014,Internet Initiative Japan Inc.,3.1727712769016304e-05,4.0040835200927064e-13
2516,1,1.0,KDDI CORPORATION,1.982982048063519e-06,3.3367362667439185e-14
2519,1,1.3877787807814457e-17,ARTERIA Networks Corporation,1.982982048063519e-06,4.630651788051108e-31
2527,1,1.0,Sony Network Communications Inc.,1.982982048063519e-06,3.3367362667439185e-14
2635,2,2.7755575615628914e-17,"Automattic, Inc",3.965964096127038e-06,9.261303576102216e-31
2852,14,14.0,CESNET z.s.p.o.,2.7761748672889265e-05,4.671430773441486e-13
2856,1,1.3877787807814457e-17,British Telecommunications PLC,1.982982048063519e-06,4.630651788051108e-31
2860,120,450.0,"NOS COMUNICACOES, S.A.",0.00023795784576762226,1.501531320034763e-11
2875,1,1.3877787807814457e-17,Joint Institute for Nuclear Research,1.982982048063519e-06,4.630651788051108e-31
3175,10,163208757248.0,Citytelecom LLC,1.9829820480635188e-05,0.005445845793596059
3214,4,65536.0,xTom GmbH,7.931928192254076e-06,2.1867634797732944e-09
3215,6,6.0,Orange S.A.,1.1897892288381113e-05,2.002041760046351e-13
3223,4,4.0,Voxility LLP,7.931928192254076e-06,1.3346945066975674e-13
3257,1,34359738368.0,GTT Communications Inc.,1.982982048063519e-06,0.001146493851283381
3292,3,33.0,TDC Holding A/S,5.948946144190557e-06,1.101122968025493e-12
3303,18,228.0,Swisscom (Schweiz) AG,3.569367686514334e-05,7.607758688176134e-12
3320,25,25.0,Deutsche Telekom AG,4.957455120158797e-05,8.341840666859795e-13
3363,1,8.673617379884035e-19,Hong Kong University of Science and Technology,1.982982048063519e-06,2.8941573675319424e-32
3389,13,1.8041124150158794e-16,Ford Motor Company,2.5778766624825744e-05,6.01984732446644e-30
3462,6,4294967301.0,"Chunghwa Telecom Co., Ltd.",1.1897892288381113e-05,0.00014331173157725944
3549,1,1.3877787807814457e-17,"Level 3 Parent, LLC",1.982982048063519e-06,4.630651788051108e-31
3557,1,65536.0,"Internet Systems Consortium, Inc.",1.982982048063519e-06,2.1867634797732944e-09
3663,1,1.0,NetNet,1.982982048063519e-06,3.3367362667439185e-14
3741,9,9.0,Dimension Data,1.784683843257167e-05,3.0030626400695265e-13
4134,22,9.5,"No.31,Jin-rong Street",4.362560505739742e-05,3.169899453406722e-13
4185,1,65536.0,AT&T Corp.,1.982982048063519e-06,2.1867634797732944e-09
4230,2,512.0,CLARO S.A.,3.965964096127038e-06,1.7084089685728863e-11
4538,25,8590196754.0,China Education and Research Network Center,4.957455120158797e-05,0.00028663221047537686
4621,1,1.0,Office of Info.Tech. Admin. for Educational Development,1.982982048063519e-06,3.3367362667439185e-14
4637,107,512.0,Telstra International Limited,0.0002121790791427965,1.7084089685728863e-11
4651,19,214.0,CAT Telecom Public Company Limited,3.767665891320686e-05,7.140615610831985e-12
4657,21,16777956.0,Starhub Ltd.,4.16426230093339e-05,5.598361426703373e-07
4739,15,15.0,iiNet Limited,2.9744730720952783e-05,5.005104400115877e-13
4761,4,1099511628544.0,PT. INDOSAT Tbk,7.931928192254076e-06,0.036687803266694324
4764,1,1.0,Wideband Networks Pty Ltd,1.982982048063519e-06,3.3367362667439185e-14
4782,6,6.0,"Data Communication Business Group,",1.1897892288381113e-05,2.002041760046351e-13
4788,79,934.0,TM TECHNOLOGY SERVICES SDN BHD,0.000156655581797018,3.11651167313882e-11
4802,1,1.0,iiNet Limited,1.982982048063519e-06,3.3367362667439185e-14
4808,3,1.0,China Unicom,5.948946144190557e-06,3.3367362667439185e-14
4811,2,2.0,China Telecom (Group),3.965964096127038e-06,6.673472533487837e-14
4812,2,2.0,China Telecom (Group),3.965964096127038e-06,6.673472533487837e-14
4835,46,210.0,China Telecom (Group),9.121717421092187e-05,7.007146160162228e-12
4837,46,280.0625,CHINA UNICOM Industrial Internet Backbone,9.121717421092187e-05,9.344947007049687e-12
5065,7,458752.0,Bunny Communications,1.3880874336444633e-05,1.530734435841306e-08
5408,1,1.0,National Infrastructures for Research and Technology S.A.,1.982982048063519e-06,3.3367362667439185e-14
5410,1480,12718959.0625,Bouygues Telecom SA,0.002934813431134008,4.2439811979074975e-07
5432,134,463.0,Proximus NV,0.00026571959444051155,1.5449088915024343e-11
5606,32,4.440892098500626e-16,GTS Telecom SRL,6.345542553803261e-05,1.4818085721763545e-29
6167,2,2097152.0,Verizon Business,3.965964096127038e-06,6.997643135274542e-08
6233,3,4.163336342344337e-17,xTom,5.948946144190557e-06,1.3891955364153323e-30
6315,126,393216.0,"XMission, L.C.",0.00024985573805600336,1.3120580878639766e-08
6369,2,4295032832.0,Netrunner Inc,3.965964096127038e-06,0.0001433139181739024
6697,39,5.412337245047638e-16,Republican Unitary Telecommunication Enterprise Beltelecom,7.733629987447724e-05,1.805954197339932e-29
6718,2,2.7755575615628914e-17,NAV COMMUNICATIONS SRL,3.965964096127038e-06,9.261303576102216e-31
6724,1,1.0,Strato AG,1.982982048063519e-06,3.3367362667439185e-14
6762,402,1695.8671875,TELECOM ITALIA SPARKLE S.p.A.,0.0007971587833215345,5.6586615481122585e-11
6805,130,1.8041124150158794e-15,Telefonica Germany GmbH & Co.OHG,0.00025778766624825745,6.01984732446644e-29
6848,4,4.0,Telenet BVBA,7.931928192254076e-06,1.3346945066975674e-13
6939,1044,846676574.0,Hurricane Electric LLC,0.0020702332581783137,2.825136430668291e-05
7018,26,133143986178.0,"AT&T Services, Inc.",5.155753324965149e-05,0.004442663673789836
7470,1,1.0,TRUE INTERNET CORPORATION CO. LTD.,1.982982048063519e-06,3.3367362667439185e-14
