category,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",27842094.0,132,131202.0,0.0002725307577800305,5.555024165281255e-09
Community Groups and Nonprofits,15936239.0,69,7340062.0,0.00014245925974865233,3.107743920417574e-07
Computer and Information Technology,8613872444.0,405488,13696343088762.783,0.8371814538690077,0.5798960140398787
Construction and Real Estate,10850746.0,57,172972179722.0,0.00011768373631410408,0.007323551761993585
Education and Research,7337494.0,361,184991351110.0,0.0007453303299893259,0.007832437202055452
Finance and Insurance,4167940.0,29,34362032134.0,5.9874181633491555e-05,0.0014548704964294828
"Freight, Shipment, and Postal Services",1274999.0,19,393216.0,3.922791210470136e-05,1.664856009950484e-08
Government and Public Administration,183444217.0,1486,262165.8795491494,0.0030680356519782225,1.1099966435021874e-08
Health Care Services,176379855.0,3756,39772431.00439453,0.007754738835013595,1.6839439592490438e-06
Manufacturing,15830583.0,202,777473077771.0,0.00041705464448156185,0.032917804110253635
"Media, Publishing, and Broadcasting",784533398.0,36640,13600680555.373978,0.07564793155348726,0.0005758457123319257
"Museums, Libraries, and Entertainment",663697.0,5,1.0000000000000004,1.0323134764395096e-05,4.233947779211641e-14
Other,23278367.0,81,8862724626.0,0.00016723478318320055,0.00037524313248017005
"Retail Stores, Wholesale, and E-commerce Sites",319649833.0,9658,142036313713.656,0.019940167110905568,0.006013743350153415
Service,3518077651.0,26363,8579323067528.655,0.05442976035874958,0.36324405848902136
Travel and Accommodation,266750.0,2,8589934592.0,4.129253905758038e-06,0.0003636933448937164
Utilities (Excluding Internet Service),11250.0,1,16777216.0,2.064626952879019e-06,7.103385642455398e-07
