country,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
AE,24768.0,2,257.0,3.969088736916892e-06,9.087479573716205e-12
AR,1916241.0,17,8589934592.0,3.373725426379358e-05,0.00030373873597026554
AT,937457.0,30,68737564678.0,5.953633105375337e-05,0.002430549474545998
AU,5010867.0,127,1605952.0,0.0002520371347942226,5.67862101026019e-08
BE,9202446.0,381,725.0,0.0007561114043826678,2.5635885956981514e-11
BG,367703.0,4,131074.0,7.938177473833783e-06,4.634756021966062e-09
BH,59605.0,1,256.0,1.984544368458446e-06,9.05211973101692e-12
BN,9703650.0,165,165.0,0.00032744982079564353,5.834374045382e-12
BR,201190658.0,3145,398795527.6953125,0.006241392038801812,1.4101347128484543e-05
BY,303955.0,40,5.551115123125783e-16,7.938177473833782e-05,1.962865575593489e-29
BZ,83938825.0,1515,1512.003921508789,0.003006584718214545,5.346422082525261e-11
CA,29466526.0,965,17861006414.375,0.0019150853155624,0.0006315623772632176
CH,3411468.0,85,16777479.0,0.00016868627131896787,5.932490183305549e-07
CN,899119902.0,8717,86995765925.91649,0.017299273259852272,0.0030761565986442115
CO,896801.0,46,301.0,9.12890409490885e-05,1.0643312652484738e-11
CW,243624.0,4,5.551115123125783e-17,7.938177473833783e-06,1.962865575593489e-30
CY,63312580.0,1330,8593736905.0,0.0026394440100497327,0.000303873185159839
CZ,620048.0,27,8858566673.0,5.358269794837803e-05,0.0003132375240984071
DE,62384071.0,1050,408073797866.0,0.002083771586881368,0.014429425302241521
DK,1974290.0,38,65603.0,7.541268600142093e-05,2.3197117606011837e-09
EC,375378.0,24,204.0,4.762906484300269e-05,7.2134079106541086e-12
EE,1188408.0,6,8.326672684688674e-17,1.1907266210750673e-05,2.9442983633902334e-30
EG,73984.0,2,8589934592.0,3.969088736916892e-06,0.00030373873597026554
ES,25106910.0,125,111669411840.0,0.0002480680460573057,0.0039486128369840565
EU,2546.0,2,33554432.0,3.969088736916892e-06,1.1864794373838498e-06
FI,3171474.0,19,17.0,3.7706343000710464e-05,6.011173258878424e-13
FR,101516198.0,3284,73060914104.0625,0.006517243706017535,0.0025834224301856117
GB,117733366.0,1170,1441480123476.0,0.0023219169110963813,0.050970510420257055
GI,157293.0,5,206158430209.0,9.922721842292227e-06,0.0072897296633217335
GR,9131.0,4,1.0,7.938177473833783e-06,3.5359842699284844e-14
HK,121826328.0,763,60552176545.12915,0.001514207353133794,0.002141115437735092
HR,608630.0,3,3145729.0,5.9536331053753366e-06,1.1123248261457861e-07
