org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
"1GSERVERS, LLC",14315.0,1,1.0,[14315],1.984544368458446e-06,3.535984269928485e-14
20i Limited,144762.0,3,4295098368.0,[48254],5.9536331053753366e-06,0.00015187400267043508
21vianet(China) Inc.,52284.0,3,4.163336342344337e-17,[17428],5.9536331053753366e-06,1.472149181695117e-30
23M GmbH,142341.0,3,8589934593.0,[47447],5.9536331053753366e-06,0.00030373873600562544
24 SHELLS,3580265.0,65,204800.0,[55081],0.00012899538394979898,7.2416957848135374e-09
34SP.com Limited,124071.0,3,4.163336342344337e-17,[41357],5.9536331053753366e-06,1.472149181695117e-30
3xK Tech GmbH,6585279.0,33,201863462912.0,"[198571, 200373]",6.548996415912871e-05,0.007137860295301241
A. Angeloni & Cia Ltda,52910.0,1,268435456.0,[52910],1.984544368458446e-06,9.4918354990708e-06
A1 NETWORK EXCHANGE LIMITED,102164.0,2,131072.0,[51082],3.969088736916892e-06,4.634685302280664e-09
A1 Telekom Austria AG,25341.0,3,3.0,[8447],5.9536331053753366e-06,1.0607952809785456e-13
A2B IP B.V.,510880.0,10,8589934600.0,[51088],1.9845443684584455e-05,0.00030373873625314435
AEZA INTERNATIONAL LTD,4002236.0,19,137438953472.0,[210644],3.7706343000710464e-05,0.0048598197755242495
AKILE LTD,427784.0,7,33882112.0,[61112],1.3891810579209119e-05,1.1980661506395516e-06
ALGAR TELECOM S/A,33470.0,2,2.0,[16735],3.969088736916892e-06,7.07196853985697e-14
ALKON SAS,800304.0,3,4.163336342344337e-17,[266768],5.9536331053753366e-06,1.472149181695117e-30
ANS ACADEMY LIMITED,490584.0,8,103079346180.0,[61323],1.5876354947667566e-05,0.003644869466469929
ARLINK S.A.,140375.0,5,6.938893903907228e-17,[28075],9.922721842292227e-06,2.4535819694918617e-30
"ARP NETWORKS, INC.",25795.0,1,1.0,[25795],1.984544368458446e-06,3.535984269928485e-14
