sub_category,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
"Banks, Credit Card Companies, Mortgage Providers",437369.0,9,21474836484.0,1.92e-05,0.0011026200089029412
Buildings (Residential or Commercial),2019436.0,14,334626816.0,2.9866666666666666e-05,1.7181328626738747e-05
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",3432629284.0,26073,33815643.655059814,0.0556224,1.7362556094795333e-06
Chemical and Pharmaceutical Manufacturing,253859.0,2,131072.0,4.266666666666667e-06,6.729858451523207e-09
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",2034444.0,11,68719477000.0,2.3466666666666667e-05,0.0035283840413872117
Clothing and Textiles,8486600.0,40,721554505730.0,8.533333333333334e-05,0.03704803229234078
"Colleges, Universities, and Professional Schools",577960.0,39,21475164185.0,8.32e-05,0.0011026368346273097
Computer and Network Security,3316175545.0,167747,104029464980.98654,0.35786026666666665,0.005341366379621351
Electronics and Computer Components,148808.0,4,8590065664.0,8.533333333333334e-06,0.00044105473333747643
Elementary and Secondary Schools,112868.0,2,8589934592.0,4.266666666666667e-06,0.0004410480034790249
"Food, Grocery, Beverages",52910.0,1,268435456.0,2.1333333333333334e-06,1.3782750108719528e-05
"Government and Regulatory Agencies, Administrations, Departments, and Services",159295776.0,1182,10.879549149423838,0.0025216,5.586076796875926e-13
Hosting and Cloud Provider,3215322205.0,199809,565360649009.6399,0.4262592,0.029028298506898274
Insurance Carriers and Agencies,827048.0,4,1245184.0,8.533333333333334e-06,6.393365528947047e-08
Internet Service Provider (ISP),1268270241.0,26757,7968707511235.526,0.0570816,0.4091512572647466
"Investment, Portfolio Management, Pensions and Funds",2765853.0,15,12885950465.0,3.2e-05,0.0006616258441374943
"Law Enforcement, Public Safety, and Justice",45390.0,3,4.163336342344337e-17,6.4e-06,2.1376544395492364e-30
"Law, Business, and Consulting Services",57794171.0,215,8574904303660.0,0.0004586666666666667,0.440276277152931
Machinery,47381.0,1,1.52587890625e-05,2.1333333333333334e-06,7.834586374837913e-19
"Metal, Glass, Wood, and Paper Manufacturing",6893935.0,155,47328375305.0,0.00033066666666666666,0.0024300633738953896
"Military, Defense, National Security, and International Affairs",24103051.0,301,262155.0,0.0006421333333333333,1.3460281695244342e-08
Online Informational Content,4344816.0,31,85655552.0,6.613333333333333e-05,4.397962498070416e-06
Online Music and Video Streaming Services,778338180.0,36594,359590504.3739771,0.0780672,1.8463082847203848e-05
Other,229009527.0,3933,133885387050.0044,0.0083904,0.006874311092940733
Phone Provider,10687653.0,27,206158430208.0,5.76e-05,0.010585152083496597
Radio and Television Providers,99534.0,2,2.0,4.266666666666667e-06,1.026894905322755e-13
"Recreation, Sports, and Performing Arts",663697.0,5,1.0000000000000004,1.0666666666666667e-05,5.134474526613777e-14
Software Development,285374654.0,5774,1011441903429.0,0.012317866666666667,0.0519322268830595
