as,alias_prefix_num,alias_prefix_64_num,org_name,alias_prefix_ratio,alias_prefix_64_ratio
174,8,84082688,Cogent Communications,0.00124031007751938,4.821807853454853e-06
945,6,18087936,hkgo LLC,0.0009302325581395349,1.0372712139934056e-06
949,7,458752,xTom,0.0010852713178294573,2.6307603253455937e-08
1239,3,12884901888,Sprint,0.00046511627906976747,0.0007388978943507808
1921,9,589824,ipcom GmbH,0.0013953488372093023,3.382406132587192e-08
3175,7,150323855360,Citytelecom LLC,0.0010852713178294573,0.008620475434092442
3214,1,65536,xTom GmbH,0.0001550387596899225,3.7582290362079915e-09
3257,1,34359738368,GTT Communications Inc.,0.0001550387596899225,0.0019703943849354155
4538,1,4294967296,China Education and Research Network Center,0.0001550387596899225,0.00024629929811692693
4657,1,256,Starhub Ltd.,0.0001550387596899225,1.4680582172687467e-11
4761,3,768,PT. INDOSAT Tbk,0.00046511627906976747,4.40417465180624e-11
4788,1,256,TM TECHNOLOGY SERVICES SDN BHD,0.0001550387596899225,1.4680582172687467e-11
5065,7,458752,Bunny Communications,0.0010852713178294573,2.6307603253455937e-08
6369,1,65536,Netrunner Inc,0.0001550387596899225,3.7582290362079915e-09
6762,2,512,TELECOM ITALIA SPARKLE S.p.A.,0.000310077519379845,2.9361164345374934e-11
6939,1,268435456,Hurricane Electric LLC,0.0001550387596899225,1.5393706132307933e-05
7018,12,81604378624,"AT&T Services, Inc.",0.0018604651162790699,0.0046796866642216115
7713,4,1024,Telekomunikasi Indonesia (PT),0.00062015503875969,5.872232869074987e-11
8772,4,68721573888,NetAssist LLC,0.00062015503875969,0.003940909033199989
9009,36,34369896448,M247 Europe SRL,0.005581395348837209,0.0019709769104360275
9902,3,196608,NeocomISP Limited,0.00046511627906976747,1.1274687108623975e-08
12389,1,4294967296,PJSC Rostelecom,0.0001550387596899225,0.00024629929811692693
13213,2,131072,UK-2 Limited,0.000310077519379845,7.516458072415983e-09
13335,366,69468160,"Cloudflare, Inc.",0.05674418604651163,3.983722778380471e-06
14153,1,65536,Edgecast Inc.,0.0001550387596899225,3.7582290362079915e-09
14401,1,4294967296,"SolidNetwork Technologies, Inc.",0.0001550387596899225,0.00024629929811692693
14490,1,1048576,Nexavo Ltd.,0.0001550387596899225,6.013166457932786e-08
15133,86,5636096,Edgecast Inc.,0.013333333333333334,3.2320769711388724e-07
15967,1,65536,Nazwa.pl Sp.z.o.o.,0.0001550387596899225,3.7582290362079915e-09
16509,1260,112721920,"Amazon.com, Inc.",0.19534883720930232,6.464153942277745e-06
16625,2,512,"Akamai Technologies, Inc.",0.000310077519379845,2.9361164345374934e-11
16724,5,1507328,WideOpenWest Finance LLC,0.0007751937984496124,8.64392678327838e-08
18779,9,309237645312,EGIHosting,0.0013953488372093023,0.017733549464418737
19551,312,20447232,Incapsula Inc,0.04837209302325581,1.1725674592968933e-06
20253,13,851968,Qwilt Inc.,0.0020155038759689923,4.8856977470703886e-08
20446,12,786432,"StackPath, LLC.",0.0018604651162790699,4.50987484344959e-08
20473,19,120259411968,"The Constant Company, LLC",0.002945736434108527,0.006896399138419135
20940,29,35193344,Akamai International B.V.,0.004496124031007752,2.0181983536080365e-06
21556,1,65536,NASA Ames Research Center,0.0001550387596899225,3.7582290362079915e-09
21738,15,13125025792,Rozint Ltd Co,0.002325581395348837,0.0007526680455394468
22773,1,4294967296,Cox Communications Inc.,0.0001550387596899225,0.00024629929811692693
23145,1,65536,IBM,0.0001550387596899225,3.7582290362079915e-09
23467,1,65536,New Relic,0.0001550387596899225,3.7582290362079915e-09
24429,12,786432,"Alibaba (US) Technology Co., Ltd.",0.0018604651162790699,4.50987484344959e-08
25198,7,137438953472,INTERKVM HOST SRL,0.0010852713178294573,0.007881577539741662
25369,1,4294967296,Hydra Communications Ltd,0.0001550387596899225,0.00024629929811692693
25923,2,196608,"ChoicePoint, Inc.",0.000310077519379845,1.1274687108623975e-08
28573,4,50397184,Claro NXT Telecomunicacoes Ltda,0.00062015503875969,2.8900781288439454e-06
28753,2,4295032832,Leaseweb Deutschland GmbH,0.000310077519379845,0.0002463030563459631
29182,9,60129607680,JSC IOT,0.0013953488372093023,0.003448193931866013
