country,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
AR,271991.0,1,4294967296,0.00016084928422068523,0.00027211482481197594
AT,427414.0,11,17432576,0.0017693421264275374,1.1044699615476317e-06
AU,400836.0,3,262144,0.00048254785266205565,1.6608570850340328e-08
BG,59711.0,1,65536,0.00016084928422068523,4.152142712585082e-09
BR,640512.0,6,53542912,0.0009650957053241113,3.392300596182012e-06
CA,6976659.0,33,8932098048,0.005308026379282612,0.0005659079867263585
CH,58057.0,1,16777216,0.00016084928422068523,1.062948534421781e-06
CN,5190601.0,29,39481966592,0.004664629242399871,0.002501445920768745
CY,1821749.0,38,4297392128,0.006112272800386038,0.00027226845409234157
CZ,100226.0,2,4295032832,0.00032169856844137045,0.0002721189769546885
DE,4619317.0,31,283502706688,0.004986327810841242,0.017961787377513506
DK,198186.0,1,65536,0.00016084928422068523,4.152142712585082e-09
EG,36992.0,1,4294967296,0.00016084928422068523,0.00027211482481197594
ES,3355428.0,16,60129673216,0.0025735885475309636,0.003809615851653088
FR,501638.0,7,51573161984,0.0011259449895447966,0.0032675037948125545
GB,58480400.0,352,882963185664,0.0566189480456812,0.05594160700738046
GI,59022.0,2,68719476736,0.00032169856844137045,0.004353837196991615
HK,7686091.0,56,30163009792,0.009007559916358373,0.001911027851829304
HR,409386.0,2,3145728,0.00032169856844137045,1.993028502040839e-07
ID,46898078.0,230,7412385536,0.0369953353707576,0.0004696240628993754
IE,254718.0,2,131072,0.00032169856844137045,8.304285425170164e-09
IN,9006604.0,174,86069215232,0.02798777545439923,0.005453058850150539
IR,205585.0,1,65536,0.00016084928422068523,4.152142712585082e-09
IT,735721.0,7,21474836992,0.0011259449895447966,0.0013605741564984945
JP,195680.0,2,6442450944,0.00032169856844137045,0.00040817223721796385
KH,29706.0,3,196608,0.00048254785266205565,1.2456428137755245e-08
KR,135605.0,1,4294967296,0.00016084928422068523,0.00027211482481197594
LT,536989.0,4,77309411328,0.0006433971368827409,0.004898066846615566
LV,159439.0,3,12884901888,0.00048254785266205565,0.0008163444744359277
MY,4788.0,1,256,0.00016084928422068523,1.6219307471035477e-11
NL,7862130.0,139,2409653142016,0.022358050506675244,0.1526675984722821
NO,169965.0,3,196608,0.00048254785266205565,1.2456428137755245e-08
PA,495225.0,3,33619968,0.00048254785266205565,2.130049211556147e-06
PE,266732.0,1,4294967296,0.00016084928422068523,0.00027211482481197594
PH,2410392.0,12,786432,0.0019301914106482226,4.982571255102098e-08
PK,147057.0,1,4294967296,0.00016084928422068523,0.00027211482481197594
PL,418025.0,3,196608,0.00048254785266205565,1.2456428137755245e-08
PT,262010.0,2,4563402752,0.00032169856844137045,0.00028912200136272444
RO,500710.0,43,171808849920,0.006916519221489464,0.010885236574599487
RU,37087434.0,296,2470814810112,0.04761138812932283,0.15654259808279164
SE,232444.0,2,131072,0.00032169856844137045,8.304285425170164e-09
SG,155004.0,2,4294967552,0.00032169856844137045,0.0002721148410312834
TH,50819168.0,248,892547891200,0.039890622486729935,0.056548862031238746
TR,16823154.0,91,579820912640,0.014637284864082355,0.036735522110330314
TW,543542.0,10,4329963520,0.0016084928422068522,0.00027433206902049637
UA,3836341.0,22,549758173184,0.003538684252855075,0.034830847053070574
US,186098481.0,4296,6951252132352,0.6910085250120637,0.44040818610667215
VG,2792365.0,14,73198993408,0.0022518899790895932,0.0046376444556822305
VN,636798.0,7,4362207232,0.0011259449895447966,0.0002763749232350882
VU,43357.0,1,65536,0.00016084928422068523,4.152142712585082e-09
