org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
20i Limited,96508.0,2,131072,[48254],0.00032169856844137045,8.304285425170164e-09
23M GmbH,47447.0,1,4294967296,[47447],0.00016084928422068523,0.00027211482481197594
24 SHELLS,55081.0,1,65536,[55081],0.00016084928422068523,4.152142712585082e-09
3xK Tech GmbH,2798014.0,14,120259084288,"[198571, 200373]",0.0022518899790895932,0.007619215094735326
A1 NETWORK EXCHANGE LIMITED,102164.0,2,131072,[51082],0.00032169856844137045,8.304285425170164e-09
A2B IP B.V.,51088.0,1,4294967296,[51088],0.00016084928422068523,0.00027211482481197594
AEZA INTERNATIONAL LTD,631932.0,3,68719476736,[210644],0.00048254785266205565,0.004353837196991615
AKILE LTD,305560.0,5,17039360,[61112],0.0008042464211034261,1.0795571052721213e-06
ANS ACADEMY LIMITED,122646.0,2,34359803904,[61323],0.00032169856844137045,0.00217692275063852
"AT&T Services, Inc.",84216.0,12,81604378624,[7018],0.0019301914106482226,0.005170181671427542
Adrian Paschkowski,205987.0,1,16777216,[205987],0.00016084928422068523,1.062948534421781e-06
Akamai International B.V.,1149740.0,45,171115008,"[33905, 20940]",0.007238217789930835,1.084127706117459e-05
"Akamai Technologies, Inc.",44140327.0,1221,79888896,"[16625, 36183]",0.19639697603345665,5.061494405256157e-06
Alex Group LLC,4667630.0,22,652835028992,[212165],0.003538684252855075,0.04136145337142034
Alex Liu,206368.0,1,65536,[206368],0.00016084928422068523,4.152142712585082e-09
"Alibaba (US) Technology Co., Ltd.",603991.0,20,1310720,"[37963, 24429, 45102]",0.0032169856844137044,8.304285425170163e-08
AltusHost B.V.,51430.0,1,65536,[51430],0.00016084928422068523,4.152142712585082e-09
"Amazon.com, Inc.",20801340.0,1260,112721920,[16509],0.20267009811806339,7.141685465646341e-06
"Anthropic, PBC",399358.0,1,65536,[399358],0.00016084928422068523,4.152142712585082e-09
Aperture Science Limited,76016.0,2,131072,[38008],0.00032169856844137045,8.304285425170164e-09
Arcus Novus UAB,51259.0,1,4294967296,[51259],0.00016084928422068523,0.00027211482481197594
Armeva Yazilim ve Danismanlik Anonim Sirketi,527461.0,11,137438953472,[47951],0.0017693421264275374,0.00870767439398323
ArtPlanet LLC,297252.0,6,25769803776,[49542],0.0009650957053241113,0.0016326889488718554
Artfiles LLC,394923.0,1,65536,[394923],0.00016084928422068523,4.152142712585082e-09
"Ashton Holmes, Sole Proprietorship",67520.0,2,131072,[33760],0.00032169856844137045,8.304285425170164e-09
Astute Internet,63213.0,1,65536,[63213],0.00016084928422068523,4.152142712585082e-09
BAI Communications Inc.,396113.0,1,4294967296,[396113],0.00016084928422068523,0.00027211482481197594
BINBIR NET INTERNET BILISIM VE HABERLESME TEKNOLOJI SANAYI TICARET LIMITED SIRKETI,211335.0,1,4294967296,[211335],0.00016084928422068523,0.00027211482481197594
BWE CAPITAL LIMITED,593190.0,3,4328521728,[197730],0.00048254785266205565,0.0002742407218808195
BangLong Yang,1595488.0,8,917504,[199436],0.0012867942737654818,5.8129997976191146e-08
Baoshuo Network,455442.0,3,35165044736,[151814],0.00048254785266205565,0.002227940128148053
Bharti Airtel Limited,7616703.0,167,169803776,[45609],0.026861830464854432,1.0758201768307948e-05
Black Mesa Corporation,328979.0,7,20512768,[46997],0.0011259449895447966,1.2996206690391305e-06
Blueficity,64048.0,2,2147483648,[32024],0.00032169856844137045,0.00013605741240598797
Bunny Communications,35455.0,7,458752,[5065],0.0011259449895447966,2.9064998988095573e-08
Bursabil Teknoloji A.S.,60721.0,1,34359738368,[60721],0.00016084928422068523,0.0021769185984958075
"CHUAN KAI INTERNATIONAL CO., LTD",133375.0,1,4294967296,[133375],0.00016084928422068523,0.00027211482481197594
CMC Telecom Infrastructure Company,154928.0,4,67108864,[38732],0.0006433971368827409,4.251794137687124e-06
CONTROLD INC.,4388582.0,11,720896,[398962],0.0017693421264275374,4.56735698384359e-08
CORK INTERNET EXCHANGE LIMITED,47720.0,1,65536,[47720],0.00016084928422068523,4.152142712585082e-09
"CacheNetworks, Inc.",30081.0,1,65536,[30081],0.00016084928422068523,4.152142712585082e-09
China Education and Research Network Center,4538.0,1,4294967296,[4538],0.00016084928422068523,0.00027211482481197594
China Mobile International Limited,58453.0,1,256,[58453],0.00016084928422068523,1.6219307471035477e-11
"ChoicePoint, Inc.",51846.0,2,196608,[25923],0.00032169856844137045,1.2456428137755245e-08
Christopher Mountford,206981.0,1,1048576,[206981],0.00016084928422068523,6.643428340136131e-08
Cinzia Tocci trading as C1V,636813.0,3,12884901888,[212271],0.00048254785266205565,0.0008163444744359277
Citytelecom LLC,22225.0,7,150323855360,[3175],0.0011259449895447966,0.009524018868419156
Claro NXT Telecomunicacoes Ltda,114292.0,4,50397184,[28573],0.0006433971368827409,3.192997745977928e-06
"Cloudflare London, LLC",3557114.0,17,12885819392,[209242],0.0027344378317516486,0.000816402604433904
"Cloudflare, Inc.",4880610.0,366,69468160,[13335],0.05887083802477079,4.401271275340187e-06
Clouvider Limited,3049760.0,49,38658310144,[62240],0.007881614926813576,0.0024492617911569753
Cogent Communications,1392.0,8,84082688,[174],0.0012867942737654818,5.3271991002466595e-06
Comfortel Ltd.,282670.0,5,21474836480,[56534],0.0008042464211034261,0.0013605741240598796
Cox Communications Inc.,22773.0,1,4294967296,[22773],0.00016084928422068523,0.00027211482481197594
Cr0bar Limited,227032.0,4,262144,[56758],0.0006433971368827409,1.6608570850340328e-08
DANGA INTERACTIVE,32150.0,1,65536,[32150],0.00016084928422068523,4.152142712585082e-09
DAOport Internet Infrastructure Holdings Limited,210000.0,1,65536,[210000],0.00016084928422068523,4.152142712585082e-09
DEFSOLUTION LLC,6731728.0,34,1108101562368,[197992],0.005468875663503297,0.07020562480148979
DEMENIN B.V.,47926.0,1,34359738368,[47926],0.00016084928422068523,0.0021769185984958075
DNS0.EU A.D.,101804.0,2,8589934592,[50902],0.00032169856844137045,0.0005442296496239519
DNT Solutions,147057.0,1,4294967296,[147057],0.00016084928422068523,0.00027211482481197594
Daniel Cid,615471.0,3,196608,[205157],0.00048254785266205565,1.2456428137755245e-08
Daniel Jackson,27351483.0,129,68719476736,[212027],0.020749557664468392,0.004353837196991615
Datacamp Limited,3608046.0,17,34360786944,[212238],0.0027344378317516486,0.002176985032779209
Dazhong Technology Network Studio of Tieling County,211051.0,1,65536,[211051],0.00016084928422068523,4.152142712585082e-09
Debugged Ltd,600780.0,3,301989888,[200260],0.00048254785266205565,1.9133073619592056e-05
Delta Ltd,18763360.0,88,549755944960,[213220],0.0141547370114203,0.034830705880218346
Denpa Ltd.,263324.0,2,131072,[131662],0.00032169856844137045,8.304285425170164e-09
Developed Methods LLC,26033735.0,65,89456640,[400519],0.010455203474344539,5.667674802678637e-06
Development Log Cloud Limited,197737.0,1,16777216,[197737],0.00016084928422068523,1.062948534421781e-06
Differ Communications Limited,399558.0,1,268435456,[399558],0.00016084928422068523,1.7007176550748496e-05
Dominik Pohl,205848.0,1,4294967296,[205848],0.00016084928422068523,0.00027211482481197594
ECO-INITIATIVE LLC,403144.0,2,131072,[201572],0.00032169856844137045,8.304285425170164e-09
EGIHosting,169011.0,9,309237645312,[18779],0.001447643557986167,0.019592267386462265
ETISALAT MISR,36992.0,1,4294967296,[36992],0.00016084928422068523,0.00027211482481197594
Edgecast Inc.,1315591.0,87,5701632,"[14153, 15133]",0.013993887727199615,3.612364159949021e-07
Edvin Basil Samuval,216452.0,1,65536,[216452],0.00016084928422068523,4.152142712585082e-09
Eons Data Communications Limited,138997.0,1,131072,[138997],0.00016084928422068523,8.304285425170164e-09
EpicUp Holdings Inc,24624230.0,62,4260607557632,[397165],0.009972655621682484,0.2699379062134801
Eskisehir Bilisim Iletisim San. ve Tic. A.S.,196733.0,1,4294967296,[196733],0.00016084928422068523,0.00027211482481197594
Euronet Telekomunikasyon A.S.,402356.0,2,131072,[201178],0.00032169856844137045,8.304285425170164e-09
