sub_category,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
"Banks, Credit Card Companies, Mortgage Providers",181167.0,3,12884901888,0.0005645464809936018,0.001290338119603989
Buildings (Residential or Commercial),1414084.0,10,299958272,0.001881821603312006,3.003884670729298e-05
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",332606.0,4,33685504,0.0007527286413248024,3.3733815179262817e-06
Chemical and Pharmaceutical Manufacturing,253859.0,2,131072,0.0003763643206624012,1.3125998124226777e-08
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",410411.0,2,68719476736,0.0003763643206624012,0.006881803304554609
Clothing and Textiles,4667630.0,22,652835028992,0.0041400075272864136,0.06537713139326878
"Colleges, Universities, and Professional Schools",50557.0,2,8589934592,0.0003763643206624012,0.0008602254130693261
Computer and Network Security,50374183.0,1534,34460074496,0.2886714339480617,0.00345094965511483
Electronics and Computer Components,74404.0,2,4295032832,0.0003763643206624012,0.00043011926953372517
Elementary and Secondary Schools,56434.0,1,4294967296,0.0001881821603312006,0.00043011270653466304
Hosting and Cloud Provider,40136280.0,1794,323048046592,0.3375987956341739,0.03235113566285489
Insurance Carriers and Agencies,411622.0,2,1114112,0.0003763643206624012,1.1157098405592761e-07
Internet Service Provider (ISP),108910254.0,1116,3656151010304,0.21001129092961987,0.3661394600154124
"Investment, Portfolio Management, Pensions and Funds",2007292.0,10,4295950336,0.001881821603312006,0.00043021115152059474
"Law, Business, and Consulting Services",28745800.0,86,4284230991872,0.01618366578848325,0.4290375363393104
"Metal, Glass, Wood, and Paper Manufacturing",444770.0,10,42949672960,0.001881821603312006,0.00430112706534663
"Military, Defense, National Security, and International Affairs",62571.0,1,65536,0.0001881821603312006,6.562999062113389e-09
Online Informational Content,1118176.0,9,67502080,0.0016936394429808055,6.75988903397679e-06
Online Music and Video Streaming Services,1149740.0,45,171115008,0.008468197214904027,1.713604182460823e-05
Other,35887800.0,111,86449913856,0.020888219796763266,0.008657389885814075
Phone Provider,1187517.0,3,103079215104,0.0005645464809936018,0.010322704956831913
Software Development,28897385.0,545,698820919296,0.10255927738050433,0.06998231564216406
