as,alias_prefix_num,alias_prefix_64_num,org_name,alias_prefix_ratio,alias_prefix_64_ratio
38,3,4.163336342344337e-17,University of Illinois,6.026020355896762e-06,3.322322261883819e-30
174,15,67239939.0,Cogent Communications,3.0130101779483812e-05,5.365714606224189e-06
209,20,320.0,"CenturyLink Communications, LLC",4.017346903931175e-05,2.5535845206399437e-11
513,1,1.3877787807814457e-17,CERN - European Organization for Nuclear Research,2.0086734519655874e-06,1.107440753961273e-30
577,461,85700.375,Bell Canada,0.0009259984613561358,6.838848469157451e-09
680,3,2.0,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,6.026020355896762e-06,1.595990325399965e-13
701,3,3.0,Verizon Business,6.026020355896762e-06,2.393985488099947e-13
786,1,1.0,Jisc Services Limited,2.0086734519655874e-06,7.979951626999824e-14
812,80,920.0,Rogers Communications Canada Inc.,0.000160693876157247,7.341555496839838e-11
835,2,131072.0,GoCodeIT Inc,4.017346903931175e-06,1.045948219654121e-08
852,90,450.0,TELUS Communications Inc.,0.00018078061067690286,3.590978232149921e-11
906,3,3.0,DMIT Cloud Services,6.026020355896762e-06,2.393985488099947e-13
945,8,287571968.0,hkgo LLC,1.60693876157247e-05,2.2948103939211412e-05
949,7,458752.0,xTom,1.4060714163759111e-05,3.660818768789423e-08
1136,3,3.0,KPN B.V.,6.026020355896762e-06,2.393985488099947e-13
1221,41,41.0,Telstra Corporation Limited,8.235561153058909e-05,3.271780167069928e-12
1239,2,8589934592.0,Sprint,4.017346903931175e-06,0.0006854726252325247
1241,3,4.163336342344337e-17,Nova Telecommunications & Media Single Member S.A,6.026020355896762e-06,3.322322261883819e-30
1257,922,921.0,Tele2 Sverige AB,0.0018519969227122717,7.349535448466838e-11
1273,2,33554432.0,Vodafone Group PLC,4.017346903931175e-06,2.6776274423145497e-06
1299,223,1183.0,Arelion Sweden AB,0.000447934179788326,9.440282774740792e-11
1547,10,2.220446049250313e-15,"Societatea mixta pe actiuni de tip inchis ""Interdnestrcom""",2.0086734519655874e-05,1.7719052063380367e-28
1653,11,10.0,Vetenskapsradet / SUNET,2.2095407971621463e-05,7.979951626999824e-13
1659,3,65538.0,National Chung Hsing University,6.026020355896762e-06,5.229900697303145e-09
1680,1,1.0,Cellcom Fixed Line Communication L.P,2.0086734519655874e-06,7.979951626999824e-14
1741,1,1.3877787807814457e-17,CSC - Tieteen tietotekniikan keskus Oy,2.0086734519655874e-06,1.107440753961273e-30
1921,9,589824.0,ipcom GmbH,1.8078061067690288e-05,4.7067669884435446e-08
1930,17,2339.0,"Fundacao para a Ciencia e a Tecnologia, I.P.",3.414744868341498e-05,1.8665106855552588e-10
1955,1,1.0,KIFU (Governmental Info Tech Development Agency),2.0086734519655874e-06,7.979951626999824e-14
2027,1,1.0,MilkyWan Association,2.0086734519655874e-06,7.979951626999824e-14
2200,17,17.0,Renater,3.414744868341498e-05,1.3565917765899702e-12
2497,16,12.000000000000014,Internet Initiative Japan Inc.,3.21387752314494e-05,9.5759419523998e-13
2516,1,1.0,KDDI CORPORATION,2.0086734519655874e-06,7.979951626999824e-14
2519,1,1.3877787807814457e-17,ARTERIA Networks Corporation,2.0086734519655874e-06,1.107440753961273e-30
2527,1,1.0,Sony Network Communications Inc.,2.0086734519655874e-06,7.979951626999824e-14
2635,2,2.7755575615628914e-17,"Automattic, Inc",4.017346903931175e-06,2.214881507922546e-30
2852,14,14.0,CESNET z.s.p.o.,2.8121428327518223e-05,1.1171932277799754e-12
2856,1,1.3877787807814457e-17,British Telecommunications PLC,2.0086734519655874e-06,1.107440753961273e-30
2860,120,450.0,"NOS COMUNICACOES, S.A.",0.0002410408142358705,3.590978232149921e-11
2875,1,1.3877787807814457e-17,Joint Institute for Nuclear Research,2.0086734519655874e-06,1.107440753961273e-30
3175,3,12884901888.0,Citytelecom LLC,6.026020355896762e-06,0.001028208937848787
3214,3,4.163336342344337e-17,xTom GmbH,6.026020355896762e-06,3.322322261883819e-30
3215,6,6.0,Orange S.A.,1.2052040711793524e-05,4.787970976199894e-13
3223,4,4.0,Voxility LLP,8.03469380786235e-06,3.19198065079993e-13
3292,3,33.0,TDC Holding A/S,6.026020355896762e-06,2.633384036909942e-12
3303,18,228.0,Swisscom (Schweiz) AG,3.6156122135380576e-05,1.81942897095596e-11
3320,25,25.0,Deutsche Telekom AG,5.021683629913968e-05,1.994987906749956e-12
3363,1,8.673617379884035e-19,Hong Kong University of Science and Technology,2.0086734519655874e-06,6.921504712257956e-32
3389,13,1.8041124150158794e-16,Ford Motor Company,2.6112754875552637e-05,1.4396729801496548e-29
3462,6,4294967301.0,"Chunghwa Telecom Co., Ltd.",1.2052040711793524e-05,0.00034273631301525993
3549,1,1.3877787807814457e-17,"Level 3 Parent, LLC",2.0086734519655874e-06,1.107440753961273e-30
3557,1,65536.0,"Internet Systems Consortium, Inc.",2.0086734519655874e-06,5.229741098270605e-09
3663,1,1.0,NetNet,2.0086734519655874e-06,7.979951626999824e-14
3741,9,9.0,Dimension Data,1.8078061067690288e-05,7.181956464299842e-13
