category,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",27842094.0,132,131202.0,0.0002756719503790489,1.1946364091952825e-08
Community Groups and Nonprofits,10932021.0,55,3473438.0,0.00011486331265793706,3.162677017029042e-07
Computer and Information Technology,8373802645.0,400325,6454061764730.783,0.8360482843597936,0.5876630822199777
Construction and Real Estate,6427518.0,33,34813837578.0,6.891798759476223e-05,0.003169911885069565
Education and Research,4856912.0,345,21761491270.0,0.0007205062339452415,0.001981453772772312
Finance and Insurance,1567859.0,14,17180065798.0,2.923793413111125e-05,0.0015643002480649232
"Freight, Shipment, and Postal Services",659528.0,16,196608.0,3.341478186412714e-05,1.7901790760740393e-08
Government and Public Administration,183381646.0,1485,196629.87954914942,0.0031013094417643005,1.79037829640628e-08
Health Care Services,176050876.0,3749,19259663.00439453,0.007829501075538292,1.7536542624259622e-06
Manufacturing,10389920.0,166,77393211915.00002,0.0003466783618403191,0.007046900868753919
"Media, Publishing, and Broadcasting",781233733.0,36582,4502644843.373978,0.07639872188459369,0.0004099802950846743
"Museums, Libraries, and Entertainment",663697.0,5,1.0000000000000004,1.0442119332539733e-05,9.105321635304973e-14
Other,22444590.0,67,4566905362.0,0.00013992439905603242,0.0004158314219900887
"Retail Stores, Wholesale, and E-commerce Sites",318592916.0,9651,69004895857.656,0.02015537873566819,0.006283117711946814
Service,3462332374.0,26203,4294968605832.6553,0.05472297057410772,0.3910707056964369
Travel and Accommodation,133375.0,1,4294967296.0,2.0884238665079463e-06,0.00039107058643196075
Utilities (Excluding Internet Service),11250.0,1,16777216.0,2.0884238665079463e-06,1.5276194782498467e-06
