country,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
AE,24768.0,2,257.0,4.018670744277915e-06,2.0564917606368712e-11
AR,1644250.0,16,4294967296.0,3.214936595422332e-05,0.00034367956639800863
AT,510043.0,19,68720132102.0,3.817737207064019e-05,0.00549892550418834
AU,4610031.0,124,1343808.0,0.0002491575861452307,1.0753035330264251e-07
BE,9202446.0,381,725.0,0.0007655567767849428,5.8013872624970096e-11
BG,307992.0,3,65538.0,6.028006116416873e-06,5.244294047027986e-09
BH,59605.0,1,256.0,2.0093353721389574e-06,2.048489847171358e-11
BN,9703650.0,165,165.0,0.000331540336402928,1.3203157218096643e-11
BR,200550146.0,3139,345252615.6953125,0.006307303733144188,2.7626815545359465e-05
BY,303955.0,40,5.551115123125783e-16,8.03734148855583e-05,4.4419542852353704e-29
BZ,83938825.0,1515,1512.003921508789,0.003044143088790521,1.2098924539429816e-10
CA,22489867.0,932,8928908366.375,0.0018727005668335084,0.0007144835208922884
CH,3353411.0,84,263.0,0.00016878417125967243,2.1045032414299497e-11
CN,893929301.0,8688,47513799333.91649,0.017457105713143264,0.0038020131068775454
CO,896801.0,46,301.0,9.242942711839205e-05,2.4085759531194482e-11
CW,243624.0,4,5.551115123125783e-17,8.03734148855583e-06,4.441954285235371e-30
CY,61490831.0,1292,4296344777.0,0.0025960613008035333,0.0003437897912356325
CZ,519822.0,25,4563533841.0,5.023338430347394e-05,0.000365170028926227
DE,57764754.0,1019,124571091178.0,0.0020475127442095976,0.009968070919109005
DK,1776104.0,37,67.0,7.434540876914143e-05,5.361282021893788e-12
EC,375378.0,24,204.0,4.822404893133498e-05,1.632390346964676e-11
EE,1188408.0,6,8.326672684688674e-17,1.2056012232833745e-05,6.662931427853055e-30
EG,36992.0,1,4294967296.0,2.0093353721389574e-06,0.00034367956639800863
ES,21751482.0,109,51539738624.0,0.00021901755556314638,0.004124165285044121
EU,2546.0,2,33554432.0,4.018670744277915e-06,2.6849966124844424e-06
FI,3171474.0,19,17.0,3.817737207064019e-05,1.36032528913723e-12
FR,101014560.0,3277,21487752120.0625,0.006584592014499364,0.0017194313303313614
GB,59252966.0,818,558516937812.0,0.0016436363344096672,0.04469204205394995
GI,98271.0,3,137438953473.0,6.028006116416873e-06,0.010997746124816295
GR,9131.0,4,1.0,8.03734148855583e-06,8.001913465513117e-14
HK,114140237.0,707,30389166753.12915,0.001420600108102243,0.0024317148264758766
HR,199244.0,1,1.0,2.0093353721389574e-06,8.001913465513117e-14
HU,190934.0,5,4.0000152587890625,1.0046676860694788e-05,3.2007775961562136e-13
ID,40822297.0,611,1109713228972.0,0.001227703912376903,0.08879829229769087
IE,595428.0,15,65536.0,3.0140030582084363e-05,5.2441340087586766e-09
IL,7234400.0,173,233.0,0.0003476150193800397,1.8644458374645562e-11
IN,26393861.0,603,21661363562.0,0.0012116292293997914,0.0017333235676814298
IT,2816155.0,404,8589936032.867188,0.0008117714903441389,0.0006873592480929627
JO,113061.0,13,208.0,2.612135983780645e-05,1.6643980008267283e-11
JP,2183467.0,191,8623490957.0,0.0003837830560785409,0.000690044284085489
KG,47237.0,1,68719476736.0,2.0093353721389574e-06,0.005498873062368138
KH,9902.0,1,65536.0,2.0093353721389574e-06,5.2441340087586766e-09
KR,135605.0,1,4294967296.0,2.0093353721389574e-06,0.00034367956639800863
LB,126009.0,3,33554433.0,6.028006116416873e-06,2.6849966925035767e-06
LK,54003.0,3,3.0,6.028006116416873e-06,2.400574039653935e-13
LT,23838521.0,120,266288181330.0,0.0002411202446566749,0.021308149838915255
LV,297664.0,10,12952010755.0,2.0093353721389577e-05,0.001036408692659052
MD,25433072.0,134,77309411433.0,0.0002692509398666203,0.006186232203566164
MX,223984.0,16,1.0547118733938987e-15,3.214936595422332e-05,8.439713141947204e-29
MY,1235880.0,168,1192.0,0.00033756834251934487,9.538280850891635e-11
NC,18200.0,1,1.0,2.0093353721389574e-06,8.001913465513117e-14
NL,801303507.0,36935,1271803712342.374,0.0742148019699524,0.10176863251282013
NO,493157.0,8,196613.0,1.607468297711166e-05,1.5732802121949304e-08
NP,332519.0,19,214.0,3.817737207064019e-05,1.712409481619807e-11
NZ,3048530.0,316,646.87890625,0.0006349499775959106,5.176269030478272e-11
OM,86655.0,3,3.0,6.028006116416873e-06,2.400574039653935e-13
PA,495225.0,3,65538.0,6.028006116416873e-06,5.244294047027986e-09
PE,288307.0,2,4294967297.0,4.018670744277915e-06,0.00034367956647802774
PH,2966500.0,44,786688.0,8.841075637411413e-05,6.295009300357583e-08
PK,147057.0,1,4294967296.0,2.0093353721389574e-06,0.00034367956639800863
PL,521054.0,8,131073.00000000023,1.607468297711166e-05,1.0488348036652027e-08
PT,908487.0,152,8589937394.0,0.00030541897656512153,0.0006873593570096325
QA,122934.0,14,224.0,2.8130695209945408e-05,1.7924286162749382e-11
RO,10922862.0,1216,73295176186.51172,0.0024433518125209722,0.005865016572840044
RU,79444014.0,1017,786818531370.0,0.00204349407346532,0.06296053801084858
SA,544146.0,21,996.0,4.219604281491811e-05,7.969905811651064e-11
SC,820500.0,4,4.0,8.03734148855583e-06,3.200765386205247e-13
SE,1737070.0,1161,264259.0,0.00233283836705333,2.1145776504830307e-08
SG,433925.0,23,4311744997.0,4.6214713559196026e-05,0.00034502210351353114
SI,198644.0,1,1.3877787807814457e-17,2.0093353721389574e-06,1.1104885713088427e-30
SK,200222.0,1,1.3877787807814457e-17,2.0093353721389574e-06,1.1104885713088427e-30
TH,3737708331.0,18508,688087909504.8763,0.03718877906754783,0.05506019908523841
TR,109015917.0,567,669594556174.0,0.001139293156002789,0.053580376954830096
TW,3433507889.0,26159,8894488079.65506,0.052562203999782994,0.0007117292393343773
UA,961978.0,11,2424835.0,2.2102689093528532e-05,1.9403319838147498e-07
US,7166347096.0,385664,6284601374724.883,0.7749283169605989,0.5028883636579329
VG,3996305.0,20,34510733315.0,4.018670744277915e-05,0.0027615190161803063
VN,68833617.0,803,8491720627.0,0.001613496303827583,0.0006795001363056679
VU,43357.0,1,4294967296.0,2.0093353721389574e-06,0.00034367956639800863
ZA,138409.0,19,19.0,3.817737207064019e-05,1.5203635584474922e-12
