org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
"1GSERVERS, LLC",14315.0,1,1.0,[14315],2.0093353721389574e-06,8.001913465513117e-14
20i Limited,48254.0,1,4294967296.0,[48254],2.0093353721389574e-06,0.00034367956639800863
21vianet(China) Inc.,52284.0,3,4.163336342344337e-17,[17428],6.028006116416873e-06,3.331465713926528e-30
23M GmbH,94894.0,2,4294967297.0,[47447],4.018670744277915e-06,0.00034367956647802774
24 SHELLS,3525184.0,64,139264.0,[55081],0.00012859746381689327,1.1143784768612188e-08
34SP.com Limited,124071.0,3,4.163336342344337e-17,[41357],6.028006116416873e-06,3.331465713926528e-30
3xK Tech GmbH,3787265.0,19,81604378624.0,"[198571, 200373]",3.817737207064019e-05,0.006529911761562163
A. Angeloni & Cia Ltda,52910.0,1,268435456.0,[52910],2.0093353721389574e-06,2.147997289987554e-05
A1 Telekom Austria AG,25341.0,3,3.0,[8447],6.028006116416873e-06,2.400574039653935e-13
A2B IP B.V.,459792.0,9,4294967304.0,[51088],1.8084018349250618e-05,0.0003436795670381617
AEZA INTERNATIONAL LTD,3370304.0,16,68719476736.0,[210644],3.214936595422332e-05,0.005498873062368138
AKILE LTD,122224.0,2,16842752.0,[61112],4.018670744277915e-06,1.34774244025098e-06
ALGAR TELECOM S/A,33470.0,2,2.0,[16735],4.018670744277915e-06,1.6003826931026235e-13
ALKON SAS,800304.0,3,4.163336342344337e-17,[266768],6.028006116416873e-06,3.331465713926528e-30
ANS ACADEMY LIMITED,367938.0,6,68719542276.0,[61323],1.2056012232833745e-05,0.0054988783068222235
ARLINK S.A.,140375.0,5,6.938893903907228e-17,[28075],1.0046676860694788e-05,5.552442856544213e-30
"ARP NETWORKS, INC.",25795.0,1,1.0,[25795],2.0093353721389574e-06,8.001913465513117e-14
ARTERIA Networks Corporation,2519.0,1,1.3877787807814457e-17,[2519],2.0093353721389574e-06,1.1104885713088427e-30
AS43668 LLC,43668.0,1,1.0,[43668],2.0093353721389574e-06,8.001913465513117e-14
AT&T Corp.,4185.0,1,65536.0,[4185],2.0093353721389574e-06,5.2441340087586766e-09
"AT&T Services, Inc.",98252.0,14,51539607554.0,[7018],2.8130695209945408e-05,0.004124154796936142
ATW Internet Kft.,82150.0,2,2.0,[41075],4.018670744277915e-06,1.6003826931026235e-13
Achmea Interne Diensten N.V.,201017.0,1,2.3283064365386963e-10,[201017],2.0093353721389574e-06,1.8630906626379856e-23
Adrian Paschkowski,205987.0,1,16777216.0,[205987],2.0093353721389574e-06,1.3424983062422212e-06
Aixit GmbH,29551.0,1,1.3877787807814457e-17,[29551],2.0093353721389574e-06,1.1104885713088427e-30
Akamai International B.V.,760397260.0,36308,169664386.3739771,"[33905, 20940, 21342]",0.07295494869162127,1.3576397379439475e-05
"Akamai Technologies, Inc.",58670594.0,1808,833021747.4648438,"[16625, 63949, 36183]",0.0036328783528272353,6.6657679381042e-05
Akenes SA,61098.0,1,1.3877787807814457e-17,[61098],2.0093353721389574e-06,1.1104885713088427e-30
Alex Group LLC,3818970.0,18,68719476738.0,[212165],3.6168036698501236e-05,0.005498873062528176
"Alibaba (US) Technology Co., Ltd.",37963.0,1,4294967296.0,[37963],2.0093353721389574e-06,0.00034367956639800863
Allo Communications LLC,15108.0,1,1.3877787807814457e-17,[15108],2.0093353721389574e-06,1.1104885713088427e-30
Altibox AS,29695.0,1,1.0,[29695],2.0093353721389574e-06,8.001913465513117e-14
Altinea SAS,66496430.0,1606,4294967296.0,[41405],0.003226992607655166,0.00034367956639800863
AltusHost B.V.,360010.0,7,327681.0,[51430],1.4065347604972704e-05,2.6220750062928036e-08
"Amazon.com, Inc.",1595693904.0,96656,158077149.82108128,[16509],0.1942143197294631,1.2649196737432447e-05
Anchnet Asia Limited,137443.0,1,1.3877787807814457e-17,[137443],2.0093353721389574e-06,1.1104885713088427e-30
Andrews & Arnold Ltd,20712.0,1,1.0,[20712],2.0093353721389574e-06,8.001913465513117e-14
"Andrews IT Engineering Mernoki, Informaciotechnikai es Szolgaltato Korlatolt Felelossegu Tarsasag",59448.0,1,1.0,[59448],2.0093353721389574e-06,8.001913465513117e-14
Anillc Network,142055.0,1,256.0,[142055],2.0093353721389574e-06,2.048489847171358e-11
"Anthropic, PBC",399358.0,1,65536.0,[399358],2.0093353721389574e-06,5.2441340087586766e-09
Aperture Science Limited,76016.0,2,131072.0,[38008],4.018670744277915e-06,1.0488268017517353e-08
Arcade Solutions AG,414984.0,8,1.1102230246251565e-16,[51873],1.607468297711166e-05,8.883908570470741e-30
Arcus Novus UAB,51259.0,1,4294967296.0,[51259],2.0093353721389574e-06,0.00034367956639800863
Arelion Sweden AB,289677.0,223,1183.0,[1299],0.00044808178798698753,9.466263629702017e-11
Armeva Yazilim ve Danismanlik Anonim Sirketi,95902.0,2,137438953472.0,[47951],4.018670744277915e-06,0.010997746124736276
Art of Automation B.V.,182679.0,3,2.0,[60893],6.028006116416873e-06,1.6003826931026235e-13
ArtPlanet LLC,198168.0,4,12884901889.0,[49542],8.03734148855583e-06,0.0010310386992740449
Artfiles LLC,394923.0,1,4294967296.0,[394923],2.0093353721389574e-06,0.00034367956639800863
"Ashton Holmes, Sole Proprietorship",472640.0,14,131084.0,[33760],2.8130695209945408e-05,1.0489228247133215e-08
Association FAImaison,3661776.0,18,18.0,[203432],3.6168036698501236e-05,1.440344423792361e-12
Astute Internet,63213.0,1,65536.0,[63213],2.0093353721389574e-06,5.2441340087586766e-09
"Atria Convergence Technologies Pvt. Ltd.,",413253.0,17,212.0,[24309],3.415870132636228e-05,1.6964056546887807e-11
"Automattic, Inc",5270.0,2,2.7755575615628914e-17,[2635],4.018670744277915e-06,2.2209771426176853e-30
Availo Networks AB,16150.0,1,65536.0,[16150],2.0093353721389574e-06,5.2441340087586766e-09
