sub_category,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
"Banks, Credit Card Companies, Mortgage Providers",256202.0,6,8589934596.0,1.2946771506745269e-05,0.0009051077001588409
Buildings (Residential or Commercial),605352.0,4,34668544.0,8.631181004496845e-06,3.6529691555867563e-06
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",3432296678.0,26069,130139.65505981445,0.05625156440155706,1.3712607770669634e-08
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",1624033.0,9,264.0,1.9420157260117902e-05,2.7817258696382046e-11
Clothing and Textiles,3818970.0,18,68719476738.0,3.8840314520235805e-05,0.007240861598109675
"Colleges, Universities, and Professional Schools",527403.0,37,12885229593.0,7.983842429159583e-05,0.001357696079358934
Computer and Network Security,3265801362.0,166213,69569390484.98653,0.35865362207510854,0.00733041565329731
Electronics and Computer Components,74404.0,2,4295032832.0,4.315590502248422e-06,0.0004525607552924182
Elementary and Secondary Schools,56434.0,1,4294967296.0,2.157795251124211e-06,0.00045255384986868364
"Food, Grocery, Beverages",52910.0,1,268435456.0,2.157795251124211e-06,2.8284615616792727e-05
"Government and Regulatory Agencies, Administrations, Departments, and Services",159295776.0,1182,10.879549149423838,0.002550513986828818,1.1463607317785082e-12
Hosting and Cloud Provider,3175185925.0,198015,242312602417.63995,0.4272758266513607,0.025532092222897956
Insurance Carriers and Agencies,415426.0,2,131072.0,4.315590502248422e-06,1.3810847469137074e-08
Internet Service Provider (ISP),1159359987.0,25641,4312556500931.526,0.0553280280340759,0.45440719632263793
"Investment, Portfolio Management, Pensions and Funds",758561.0,5,8590000129.0,1.0788976255621056e-05,0.0009051146052664702
"Law Enforcement, Public Safety, and Justice",45390.0,3,4.163336342344337e-17,6.473385753372634e-06,4.386841063448539e-30
"Law, Business, and Consulting Services",29048371.0,129,4290673311788.0,0.0002783555873950233,0.4521013996048072
Machinery,47381.0,1,1.52587890625e-05,2.157795251124211e-06,1.6077942528223006e-18
"Metal, Glass, Wood, and Paper Manufacturing",6449165.0,145,4378702345.0,0.00031288031141301064,0.00046137687835348375
"Military, Defense, National Security, and International Affairs",24040480.0,300,196619.0,0.0006473385753372634,2.0717430256151294e-08
Online Informational Content,3226640.0,22,18153472.0,4.747149552473265e-05,1.912802374475485e-06
Online Music and Video Streaming Services,777188440.0,36549,188475496.3739771,0.0788652586333388,1.98593622748634e-05
Other,193121727.0,3822,47435473194.004395,0.008247093449796735,0.004998200110692864
Phone Provider,9500136.0,24,103079215104.0,5.1787086026981075e-05,0.010861292396848408
Radio and Television Providers,99534.0,2,2.0,4.315590502248422e-06,2.107368083059246e-13
"Recreation, Sports, and Performing Arts",663697.0,5,1.0000000000000004,1.0788976255621056e-05,1.0536840415296234e-13
Software Development,256477269.0,5229,312620984133.0,0.011283111368128502,0.03294037420282276
