country,country_alias_num,country_all_num,country_ratio,sta_country_alias_num,sta_country_all_num,sat_country_ratio,as
US,3426,4335,0.7903159999999999,1095.920409,1387.4797216057777,0.789863,"[397165, 396356, 396319, 20473, 30633, 1239, 7018, 61317, 209242, 22773, 54113, 15317, 396362, 53667, 6939, 16509, 36183, 174, 13335, 400519, 33480, 36791, 199465, 60310, 36492, 15133, 19551, 40509, 46997, 201217, 16724, 398668, 20253, 20446, 41378, 40676, 46562, 50069, 949, 14153, 205157, 33760, 37963, 40138, 62874, 25923, 216435, 394923, 6369, 399358, 23145, 400797, 55081, 30081, 207487, 203283, 16625]"
RU,108,4335,0.024914999999999996,88.328293,1387.4797216057777,0.06365799999999999,"[44812, 59504, 210695, 49542, 51659, 204490, 213220, 60389, 29182, 48108, 211027, 49392, 56534, 212521, 3175, 208626, 210852, 56434, 199669, 30721, 199186, 39900]"
TH,101,4335,0.023299,66.3125,1387.4797216057777,0.047793,[204916]
TR,28,4335,0.0064600000000000005,25.000046,1387.4797216057777,0.018018999999999997,"[210107, 25145, 196733, 43260, 201178, 47952]"
GB,77,4335,0.017762999999999994,22.009766000000006,1387.4797216057777,0.015863,"[62240, 62217, 44477, 209641, 202235, 199614, 198231, 61112, 202990, 136620, 206981, 212238, 56758, 198412, 13213, 48254, 205544, 209181, 52041, 61323, 58339, 202888]"
PT,18,4335,0.004151,18.0,1387.4797216057777,0.012972,"[209968, 52042, 51126, 56849]"
DE,19,4335,0.004386000000000001,16.003936000000003,1387.4797216057777,0.011536,"[49581, 198571, 200373, 200081, 196968, 41108, 28753, 47447, 205987, 210937, 200393]"
NL,30,4335,0.006921,10.040130999999999,1387.4797216057777,0.007235999999999999,"[60781, 212477, 49981, 33905, 50867, 208685, 197919, 51430]"
HK,35,4335,0.008074,7.015289000000001,1387.4797216057777,0.005056000000000001,"[51837, 141444, 151338, 211759, 151407, 199974, 60539, 38008, 202662, 58453]"
UA,18,4335,0.004152,7.001313000000001,1387.4797216057777,0.005046,"[47596, 8772, 201572, 201836, 201626]"
IN,170,4335,0.039216,4.039612,1387.4797216057777,0.002912,"[207990, 45609, 216452]"
FR,4,4335,0.000923,4.0,1387.4797216057777,0.0028829999999999997,"[50902, 60703, 209146]"
SA,3,4335,0.000692,3.0,1387.4797216057777,0.002162,[210499]
LV,3,4335,0.000692,3.0,1387.4797216057777,0.002162,"[58061, 43317]"
CA,15,4335,0.0034619999999999994,2.075042,1387.4797216057777,0.0014960000000000002,"[53356, 396113, 399558, 202528, 202911, 205212, 203314, 398962, 54197, 63213, 139693]"
IT,4,4335,0.000922,2.0,1387.4797216057777,0.001441,"[42692, 6762]"
LT,2,4335,0.000462,2.0,1387.4797216057777,0.001442,"[51259, 150445]"
CN,9,4335,0.0020770000000000003,1.0664980000000002,1387.4797216057777,0.0007689999999999999,"[4538, 151814, 200021, 206843, 211051, 151464, 197433]"
TW,2,4335,0.000462,1.003906,1387.4797216057777,0.0007239999999999999,"[133375, 141173]"
CY,20,4335,0.004614,1.00029,1387.4797216057777,0.000721,"[61178, 47583]"
CZ,2,4335,0.000461,1.000015,1387.4797216057777,0.000721,[50113]
SG,2,4335,0.000462,1.0,1387.4797216057777,0.000721,"[150347, 4657]"
PK,1,4335,0.000231,1.0,1387.4797216057777,0.000721,[147057]
PE,1,4335,0.000231,1.0,1387.4797216057777,0.000721,[266732]
AR,1,4335,0.000231,1.0,1387.4797216057777,0.000721,[271991]
KR,1,4335,0.000231,1.0,1387.4797216057777,0.000721,[135605]
JP,1,4335,0.000231,1.0,1387.4797216057777,0.000721,[131910]
EG,1,4335,0.000231,1.0,1387.4797216057777,0.000721,[36992]
ID,128,4335,0.029527,0.601807,1387.4797216057777,0.000434,"[210842, 4761]"
VG,11,4335,0.002537,0.042968,1387.4797216057777,3.1e-05,"[199925, 197730]"
BR,15,4335,0.0034609999999999997,0.010986,1387.4797216057777,8.000000000000001e-06,"[270410, 28573, 263110]"
VN,3,4335,0.000692,0.003937,1387.4797216057777,3e-06,"[38732, 140810]"
RO,34,4335,0.007843,0.002121,1387.4797216057777,2e-06,[9009]
PH,21,4335,0.004844,0.000549,1387.4797216057777,0.0,[200866]
AT,8,4335,0.0018460000000000002,0.000122,1387.4797216057777,0.0,"[207021, 1921, 205989]"
ES,2,4335,0.000461,3.1e-05,1387.4797216057777,0.0,[197606]
BG,2,4335,0.000461,3.1e-05,1387.4797216057777,0.0,[59711]
SE,2,4335,0.000462,3e-05,1387.4797216057777,0.0,"[201633, 30811]"
PL,2,4335,0.000462,3e-05,1387.4797216057777,0.0,"[15967, 201029]"
AU,1,4335,0.000231,1.5e-05,1387.4797216057777,0.0,[133480]
PA,1,4335,0.000231,1.5e-05,1387.4797216057777,0.0,[141039]
IE,1,4335,0.000231,1.5e-05,1387.4797216057777,0.0,[47720]
VU,1,4335,0.000231,1.5e-05,1387.4797216057777,0.0,[43357]
MY,1,4335,0.000231,0.0,1387.4797216057777,0.0,[4788]
