country,number of aliased prefix,ratio of aliased prefix
US,3591,0.74207
IN,170,0.03513
RU,130,0.02691
ID,128,0.026449999999999998
GB,115,0.02382
TH,101,0.02087
NL,80,0.01658
DE,58,0.01208
RO,51,0.01054
HK,39,0.008060000000000001
TR,37,0.00765
IT,28,0.0058
ES,27,0.0056
CY,26,0.00537
FR,24,0.005
UA,21,0.004350000000000001
PH,20,0.00413
CN,16,0.00334
CA,16,0.00333
BR,15,0.00311
PT,13,0.00269
AT,12,0.0025
VG,11,0.0022700000000000003
CH,9,0.0018700000000000001
TW,9,0.0018800000000000002
PL,8,0.00167
LV,8,0.00165
SE,7,0.00146
CZ,7,0.00146
BZ,7,0.00145
VN,5,0.00103
HR,5,0.00103
FI,4,0.00084
BG,4,0.00083
AU,3,0.00062
SA,3,0.00062
SG,2,0.00042
JP,2,0.00042
YE,2,0.00041
AL,2,0.00041
BE,2,0.00042
DK,2,0.00042
LT,2,0.00042
IR,1,0.00021
VU,1,0.00021
AR,1,0.00021
EG,1,0.00021
GR,1,0.00021
IE,1,0.00021
IL,1,0.00021
NO,1,0.00021
None,1,0.00021
KR,1,0.00021
KZ,1,0.00021
MD,1,0.00021
MK,1,0.00021
PK,1,0.00021
MY,1,0.00021
PE,1,0.00021
PA,1,0.00021
AE,1,0.00021
