as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,14293,0.36739,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
396982,8861,0.22777,Google LLC,US,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
199925,1997,0.05133,Phan Nhat Nghi,VG,Construction and Real Estate,Other
32934,1822,0.04683,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1648,0.04236,Google LLC,US,Computer and Information Technology,Software Development
13335,1006,0.02586,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,941,0.02419,Hostinger International Limited,CY,Computer and Information Technology,Software Development
16509,890,0.02288,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
20473,792,0.02036,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,665,0.01709,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
29014,328,0.00843,ScaleUp Technologies GmbH & Co. KG,DE,Computer and Information Technology,None
15943,264,0.00679,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
15169,261,0.00671,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
9009,254,0.00653,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
19551,238,0.00612,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
28573,209,0.00537,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
34762,206,0.0053,Combell NV,BE,Computer and Information Technology,Software Development
209641,199,0.00512,I-SERVERS LTD,GB,Education and Research,None
13213,175,0.0045,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
60294,150,0.00386,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
210644,123,0.00316,AEZA INTERNATIONAL LTD,GB,None,None
58487,122,0.00314,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
30633,111,0.00285,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
6805,105,0.0027,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
6762,91,0.00234,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
1299,72,0.00185,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
36183,70,0.0018,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
46997,69,0.00177,Black Mesa Corporation,US,Health Care Services,Other
212238,66,0.0017,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
8422,59,0.00152,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
7922,59,0.00152,"Comcast Cable Communications, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
9002,58,0.00149,RETN Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
55836,58,0.00149,Reliance Jio Infocomm Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
213220,54,0.00139,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
24203,51,0.00131,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
60781,50,0.00129,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
63410,50,0.00129,PrivateSystems Networks,US,Computer and Information Technology,Internet Service Provider (ISP)
5410,47,0.00121,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
4837,42,0.00108,CHINA UNICOM Industrial Internet Backbone,CN,Computer and Information Technology,Internet Service Provider (ISP)
208058,41,0.00105,InnoGames GmbH,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
1221,40,0.00103,Telstra Corporation Limited,AU,Service,"Law, Business, and Consulting Services"
63949,39,0.001,"Akamai Technologies, Inc.",US,Computer and Information Technology,Software Development
205227,38,0.00098,"IT business solutions, MB",LT,Computer and Information Technology,Hosting and Cloud Provider
212144,38,0.00098,"trafficforce, UAB",LT,Computer and Information Technology,Software Development
45609,37,0.00095,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
6697,35,0.0009,Republican Unitary Telecommunication Enterprise Beltelecom,BY,Computer and Information Technology,Internet Service Provider (ISP)
