category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",41.0,37580.0,0.001091005854177754,0.0,19.08594580980222,0.0
Community Groups and Nonprofits,22.0,41916.0,0.000524859242294112,0.000611,1406.5031979331584,4.3441067243775773e-07
Computer and Information Technology,13942.0,41916.0,0.33261761618475044,280.18878,1406.5031979331584,0.19920948662735674
Construction and Real Estate,2038.0,41916.0,0.04862105162706365,2.104553000000001,1406.5031979331584,0.0014963016103288066
Education and Research,231.0,41916.0,0.005511022044088177,5.014892,1406.5031979331584,0.0035655034466820484
Finance and Insurance,20.0,41916.0,0.00047714476572192005,18.000015,1406.5031979331584,0.012797706415776966
"Freight, Shipment, and Postal Services",18.0,41916.0,0.00042943028914972805,2.000046,1406.5031979331584,0.0014219988997814202
Government and Public Administration,43.0,37580.0,0.0011442256519425226,0.0,19.08594580980222,0.0
Health Care Services,75.0,41916.0,0.0017892928714572,0.000488,1406.5031979331584,3.469597514723826e-07
Manufacturing,5.0,4336.0,0.0011531365313653136,4.000015,1387.417252123356,0.0028830656342770894
"Media, Publishing, and Broadcasting",23066.0,41916.0,0.5502910583070904,2.1722650000000003,1406.5031979331584,0.0015444436978117938
"Museums, Libraries, and Entertainment",6.0,37580.0,0.00015965939329430547,0.0,19.08594580980222,0.0
None,462.0,41916.0,0.011022044088176353,87.01255300000003,1406.5031979331584,0.06186445443413428
Other,12.0,41916.0,0.000286286859433152,1.0001539999999998,1406.5031979331584,0.0007110925886764535
"Retail Stores, Wholesale, and E-commerce Sites",1751.0,41916.0,0.0417740242389541,0.003967,1406.5031979331584,2.8204699469076678e-06
Service,183.0,41916.0,0.004365874606355569,1004.004853,1406.5031979331584,0.7138304800695615
Travel and Accommodation,1.0,4336.0,0.00023062730627306272,1.0,1387.417252123356,0.0007207637057053759
