as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name
38,2,37595,5.3198563638781753e-05,0.0,20.022754,0.0,University of Illinois
174,11,41979,0.0002620357797946592,0.015656,1411.5697670000002,1.109119815825582e-05,['Cogent Communications' 'Cogent Communications']
513,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,CERN - European Organization for Nuclear Research
577,20,37595,0.0005319856363878176,0.0,20.022754,0.0,Bell Canada
680,2,37595,5.3198563638781753e-05,0.0,20.022754,0.0,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
701,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Verizon Business
812,35,37595,0.0009309748636786807,0.0,20.022754,0.0,Rogers Communications Canada Inc.
835,2,37595,5.3198563638781753e-05,0.0,20.022754,0.0,GoCodeIT Inc
852,25,37595,0.0006649820454847719,0.0,20.022754,0.0,TELUS Communications Inc.
949,6,4384,0.0013686131386861315,9.2e-05,1391.547013,6.611346878008784e-08,xTom
1221,40,37595,0.0010639712727756351,0.0,20.022754,0.0,Telstra Corporation Limited
1239,10,4384,0.002281021897810219,10.0,1391.547013,0.007186246606531287,Sprint
1257,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Tele2 Sverige AB
1299,72,37595,0.0019151482909961432,0.0,20.022754,0.0,Arelion Sweden AB
1547,11,37595,0.00029259210001329966,0.0,20.022754,0.0,"Societatea mixta pe actiuni de tip inchis ""Interdnestrcom"""
1653,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Vetenskapsradet / SUNET
1659,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,National Chung Hsing University
1680,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Cellcom Fixed Line Communication L.P
1930,17,37595,0.0004521877909296449,0.0,20.022754,0.0,"Fundacao para a Ciencia e a Tecnologia, I.P."
1955,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,KIFU (Governmental Info Tech Development Agency)
2497,4,37595,0.00010639712727756351,0.0,20.022754,0.0,Internet Initiative Japan Inc.
2860,11,37595,0.00029259210001329966,0.0,20.022754,0.0,"NOS COMUNICACOES, S.A."
3175,3,4384,0.0006843065693430657,3.0,1391.547013,0.002155873981959386,Citytelecom LLC
3214,3,37595,7.979784545817262e-05,0.0,20.022754,0.0,xTom GmbH
3292,3,37595,7.979784545817262e-05,0.0,20.022754,0.0,TDC Holding A/S
3303,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Swisscom (Schweiz) AG
3320,3,37595,7.979784545817262e-05,0.0,20.022754,0.0,Deutsche Telekom AG
3389,13,37595,0.0003457906636520814,0.0,20.022754,0.0,Ford Motor Company
3462,3,37595,7.979784545817262e-05,0.0,20.022754,0.0,"Chunghwa Telecom Co., Ltd."
4134,14,37595,0.00037238994547147226,0.0,20.022754,0.0,"No.31,Jin-rong Street"
4230,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,CLARO S.A.
4538,2,41979,4.7642869053574406e-05,1.0,1411.5697670000002,0.0007084311547174132,"['China Education and Research Network Center'
 'China Education and Research Network Center']"
4637,13,37595,0.0003457906636520814,0.0,20.022754,0.0,Telstra International Limited
4651,4,37595,0.00010639712727756351,0.0,20.022754,0.0,CAT Telecom Public Company Limited
4657,2,41979,4.7642869053574406e-05,0.0,1411.5697670000002,0.0,['Starhub Ltd.' 'Starhub Ltd.']
4761,3,4384,0.0006843065693430657,0.0,1391.547013,0.0,PT. INDOSAT Tbk
4788,13,41979,0.00030967864884823363,0.0,1411.5697670000002,0.0,['TM TECHNOLOGY SERVICES SDN BHD' 'TM TECHNOLOGY SERVICES SDN BHD']
4808,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,China Unicom
4811,2,37595,5.3198563638781753e-05,0.0,20.022754,0.0,China Telecom (Group)
4812,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,China Telecom (Group)
4835,2,37595,5.3198563638781753e-05,0.0,20.022754,0.0,China Telecom (Group)
4837,38,37595,0.0010107727091368532,0.0,20.022754,0.0,CHINA UNICOM Industrial Internet Backbone
5410,47,37595,0.0012501662455113713,0.0,20.022754,0.0,Bouygues Telecom SA
5432,31,37595,0.0008245777364011171,0.0,20.022754,0.0,Proximus NV
5606,30,37595,0.0007979784545817263,0.0,20.022754,0.0,GTS Telecom SRL
6233,3,37595,7.979784545817262e-05,0.0,20.022754,0.0,xTom
6369,1,4384,0.0002281021897810219,1.5e-05,1391.547013,1.0779369909796931e-08,Netrunner Inc
6697,33,37595,0.0008777763000398989,0.0,20.022754,0.0,Republican Unitary Telecommunication Enterprise Beltelecom
6718,2,37595,5.3198563638781753e-05,0.0,20.022754,0.0,NAV COMMUNICATIONS SRL
6724,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Strato AG
6762,93,41979,0.0022153934109912098,0.0,1411.5697670000002,0.0,['TELECOM ITALIA SPARKLE S.p.A.' 'TELECOM ITALIA SPARKLE S.p.A.']
6805,104,37595,0.002766325309216651,0.0,20.022754,0.0,Telefonica Germany GmbH & Co.OHG
6939,594,41979,0.014149932108911599,0.062501,1411.5697670000002,4.427765560099304e-05,['Hurricane Electric LLC' 'Hurricane Electric LLC']
7018,7,4384,0.0015967153284671533,7.0,1391.547013,0.005030372624571901,"AT&T Services, Inc."
7679,13,37595,0.0003457906636520814,0.0,20.022754,0.0,"QTnet,Inc."
7922,58,37595,0.001542758345524671,0.0,20.022754,0.0,"Comcast Cable Communications, LLC"
8100,8,37595,0.00021279425455512701,2e-06,20.022754,9.988635928903687e-08,QuadraNet Enterprises LLC
8283,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Netwerkvereniging Coloclue
8342,8,37595,0.00021279425455512701,0.0,20.022754,0.0,JSC RTComm.RU
8422,61,37595,0.0016225561909828435,0.0,20.022754,0.0,NetCologne Gesellschaft fur Telekommunikation mbH
8560,3,37595,7.979784545817262e-05,0.0,20.022754,0.0,IONOS SE
8657,13,37595,0.0003457906636520814,0.0,20.022754,0.0,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
8697,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Jordan Telecommunications PSC
8772,5,4384,0.0011405109489051094,0.001221,1391.547013,8.774407106574703e-07,NetAssist LLC
8781,11,37595,0.00029259210001329966,0.0,20.022754,0.0,Ooredoo Q.S.C.
8888,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,xTom Pty Ltd
8943,1,37595,2.6599281819390877e-05,0.0,20.022754,0.0,Jump Networks Ltd
9002,58,37595,0.001542758345524671,0.0,20.022754,0.0,RETN Limited
9009,279,41979,0.00664618023297363,0.002166,1411.5697670000002,1.534461881117917e-06,['M247 Europe SRL' 'M247 Europe SRL']
9121,4,37595,0.00010639712727756351,0.0,20.022754,0.0,Turk Telekomunikasyon Anonim Sirketi
