as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name,country,category,sub_category
397165,62,4465,0.013886,992.0,1423.55188,0.696849,EpicUp Holdings Inc,US,Service,"Law, Business, and Consulting Services"
204916,104,4465,0.023292,68.375,1423.55188,0.048031,"RACKTECH CO., LTD.",TH,None,None
396356,2,4465,0.000448,32.0,1423.55188,0.022479,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
210107,32,4465,0.007167,32.0,1423.55188,0.022479,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
44812,29,4465,0.006495,29.0,1423.55188,0.020372,IP SERVER LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
396319,1,4465,0.000224,16.0,1423.55188,0.011239,Oxylabs,US,Computer and Information Technology,Internet Service Provider (ISP)
30633,15,4465,0.003359,14.000015,1423.55188,0.009835,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
20473,18,4465,0.004031,13.000076,1423.55188,0.009132,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
209968,13,4465,0.002912,13.0,1423.55188,0.009132,Kew Solutions Unipessoal Lda,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
1239,11,4465,0.002464,11.0,1423.55188,0.007727,Sprint,US,Computer and Information Technology,Internet Service Provider (ISP)
59504,12,4465,0.002688,9.1875,1423.55188,0.006454,LLC Vpsville,RU,Computer and Information Technology,Software Development
62240,30,4465,0.006719,9.000549,1423.55188,0.006323,Clouvider Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
198231,9,4465,0.002016,9.0,1423.55188,0.006322,SIXNET OPERATION LTD,GB,None,None
7018,8,4465,0.001792,8.0,1423.55188,0.00562,"AT&T Services, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
47596,9,4465,0.002016,7.000031,1423.55188,0.004917,IT Express Ltd.,UA,Service,"Law, Business, and Consulting Services"
210695,7,4465,0.001568,7.0,1423.55188,0.004917,Dmitrii Vladimirovich Malkov,RU,None,None
49581,7,4465,0.001568,7.0,1423.55188,0.004917,Ferdinand Zink trading as Tube-Hosting,DE,Computer and Information Technology,Software Development
49542,6,4465,0.001344,6.0,1423.55188,0.004215,ArtPlanet LLC,RU,Computer and Information Technology,Hosting and Cloud Provider
51837,6,4465,0.001344,6.0,1423.55188,0.004215,Netex Limited,HK,Computer and Information Technology,Software Development
60781,6,4465,0.001344,6.0,1423.55188,0.004215,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
61317,14,4465,0.003135,5.012955,1423.55188,0.003521,Hivelocity Inc,US,Computer and Information Technology,None
206873,5,4465,0.00112,5.0,1423.55188,0.003512,GalaxyStar LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
62217,7,4465,0.001568,4.000275,1423.55188,0.00281,Vinters IT Ltd,GB,Computer and Information Technology,None
198571,4,4465,0.000896,4.0,1423.55188,0.00281,3xK Tech GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
204490,4,4465,0.000896,4.0,1423.55188,0.00281,Kontel LLC,RU,Computer and Information Technology,Hosting and Cloud Provider
51659,4,4465,0.000896,4.0,1423.55188,0.00281,LLC Baxet,RU,Computer and Information Technology,Internet Service Provider (ISP)
207990,4,4465,0.000896,4.0,1423.55188,0.00281,HostRoyale Technologies Pvt Ltd,IN,Computer and Information Technology,Internet Service Provider (ISP)
