sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
"Law, Business, and Consulting Services",92,4465,0.020604999999999995,1004.000275,1423.5518804192543,0.705278,"[397165, 47596, 209242, 61178, 200081, 15967, 201626]"
Internet Service Provider (ISP),665,4465,0.14894300000000002,218.158214,1423.5518804192543,0.15324100000000002,"[396356, 210107, 44812, 396319, 30633, 20473, 1239, 62240, 7018, 206873, 198571, 51659, 207990, 213220, 208626, 3175, 49392, 212521, 56534, 50902, 22773, 53356, 50113, 49981, 266732, 64080, 47447, 396362, 25145, 200373, 396113, 30721, 199669, 15317, 36992, 196968, 150445, 41108, 43317, 6939, 45609, 174, 38732, 211759, 28573, 202528, 36791, 33480, 9009, 15133, 8772, 40509, 136620, 16724, 203314, 32931, 263110, 20253, 20446, 41378, 212238, 46562, 56758, 14153, 56655, 62874, 59711, 140810, 209181, 394923, 6369, 30081, 43357, 47720, 51430, 52041, 55081, 201029, 63213, 400797, 200393, 197433, 139693, 133480, 6762, 4788, 4761, 4657, 58453]"
None,383,4465,0.085783,128.15587099999996,1423.5518804192543,0.090018,"[204916, 198231, 210695, 60781, 61317, 62217, 48108, 29182, 212477, 209641, 202888, 42692, 210852, 209146, 131910, 135605, 28753, 199614, 202235, 196733, 147057, 141444, 271991, 210842, 399558, 151814, 199186, 197730, 200021, 151407, 202911, 141173, 201217, 206981, 398668, 949, 50069, 60539, 207021, 208685, 205544, 1921, 197919, 197606, 48254, 201178, 33760, 40138, 38008, 37963, 201572, 216435, 216452, 399358, 211051, 61323, 58339, 47952, 54197, 203283, 202662, 151464, 141039]"
Software Development,442,4465,0.09899300000000001,28.632079,1423.5518804192543,0.02011,"[59504, 49581, 51837, 210499, 54113, 60703, 150347, 36492, 200866, 199974, 47583, 198412, 210937, 25923]"
"Investment, Portfolio Management, Pensions and Funds",16,4465,0.003584,15.000015,1423.5518804192543,0.010537,"[209968, 51126, 201836]"
Hosting and Cloud Provider,1513,4465,0.3388590000000001,13.352478000000001,1423.5518804192543,0.009380999999999999,"[49542, 204490, 58061, 43260, 53667, 16509, 13335, 212168, 202990, 50867, 40676, 13213]"
Other,73,4465,0.016350999999999997,5.173614000000001,1423.5518804192543,0.0036339999999999996,"[211027, 56849, 133375, 199925, 400519, 205987, 60310, 46997, 205212, 205157, 398962, 207487, 30811, 205989, 201633]"
"Metal, Glass, Wood, and Paper Manufacturing",3,4465,0.000672,3.0,1423.5518804192543,0.002107,[44477]
"Banks, Credit Card Companies, Mortgage Providers",3,4465,0.000672,3.0,1423.5518804192543,0.002107,[60389]
Buildings (Residential or Commercial),16,4465,0.0035830000000000002,2.006851,1423.5518804192543,0.00141,"[52042, 151338]"
Electronics and Computer Components,2,4465,0.000448,1.000015,1423.5518804192543,0.000702,"[51259, 23145]"
Elementary and Secondary Schools,1,4465,0.000224,1.0,1423.5518804192543,0.000702,[56434]
"Colleges, Universities, and Professional Schools",1,4465,0.000224,1.0,1423.5518804192543,0.000702,[4538]
Online Music and Video Streaming Services,10,4465,0.00224,0.039062,1423.5518804192543,2.7e-05,[33905]
Computer and Network Security,1222,4465,0.27368400000000004,0.018630999999999998,1423.5518804192543,1.3000000000000001e-05,"[36183, 19551, 16625]"
Online Informational Content,5,4465,0.00112,0.007859,1423.5518804192543,6e-06,"[61112, 199465, 206843]"
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13,4465,0.002912,0.006836,1423.5518804192543,5e-06,[270410]
Real Estate (Residential and/or Commercial),3,4465,0.000672,4.6e-05,1423.5518804192543,0.0,[39900]
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",2,4465,0.000448,3.1e-05,1423.5518804192543,0.0,[131662]
