country,country_alias_num,country_all_num,country_ratio,sta_country_alias_num,sta_country_all_num,sat_country_ratio,as
RU,137,37989,0.003607,11.437501,31.086095038412317,0.36793,"[29182, 51659, 44812, 30721, 45027, 213220, 51115, 59504, 49542, 197695, 200487, 199274, 210079, 8342, 28890, 25532, 34665, 16345]"
PT,48,37989,0.001263,7.0,31.086095038412317,0.225182,"[209968, 51126, 52042, 8657, 1930, 2860]"
US,16644,37989,0.438127,4.577434,31.086095038412317,0.14724800000000002,"[395839, 197992, 64267, 36492, 41378, 16509, 62874, 36183, 61317, 30633, 396982, 40509, 46841, 55081, 396356, 54113, 12167, 46562, 40676, 11990, 8100, 6939, 26527, 11878, 397373, 54455, 53667, 397031, 397220, 397226, 397232, 397423, 395747, 216435, 46997, 48581, 48261, 197619, 197598, 200827, 204957, 63410, 63023, 209622, 62571, 63949, 38, 7922, 6315, 6233, 11917, 11426, 11019, 701, 3389, 29789, 25923, 32934, 33363, 40630, 174, 36351, 33760, 33438, 33387, 15133, 16625, 15169, 15130, 15108, 14340, 13335, 17185, 17378, 22822, 22697, 21859, 20473, 19969, 19551, 398565]"
TH,41,37989,0.001078,3.0625,31.086095038412317,0.098517,"[204916, 45758, 131445, 4651]"
GB,617,37989,0.01624,3.000281,31.086095038412317,0.096515,"[202888, 62240, 13213, 60068, 62217, 205544, 212238, 210644, 209641, 61323, 64080, 8943, 9002, 41357, 41000, 35826, 13285]"
NL,14284,37989,0.37600300000000003,2.000024,31.086095038412317,0.064338,"[57043, 20940, 213192, 211786, 51430, 49981, 49544, 48635, 208492, 207375, 199752, 60893, 60781, 8283, 12859, 35470, 21342]"
JP,27,37989,0.00071,0.007812,31.086095038412317,0.000251,"[138652, 7679, 9824, 9605, 9354, 2497, 2519, 38631, 17511]"
VN,19,37989,0.0005009999999999999,0.000248,31.086095038412317,8e-06,"[140810, 140824, 149151, 45899, 135967, 135981]"
CA,99,37989,0.002605,9.2e-05,31.086095038412317,3e-06,"[205212, 53356, 200351, 852, 835, 812, 577]"
IN,175,37989,0.004607,6.2e-05,31.086095038412317,2e-06,"[45609, 9498, 55410, 55644, 55836, 9829, 38266, 24309]"
RO,286,37989,0.007529,4.5e-05,31.086095038412317,1e-06,"[9009, 6718, 5606]"
BR,331,37989,0.008712000000000001,4.3e-05,31.086095038412317,1e-06,"[262287, 268972, 4230, 28573]"
HK,50,37989,0.001315,3.9e-05,31.086095038412317,1e-06,"[138997, 41717, 58453, 45474, 149042, 138915, 9312, 9381, 4637]"
AU,51,37989,0.0013419999999999999,7e-06,31.086095038412317,0.0,"[133480, 149485, 8888, 1221]"
LT,4,37989,0.00010499999999999999,3e-06,31.086095038412317,0.0,"[62282, 56630]"
TW,11,37989,0.000289,1e-06,31.086095038412317,0.0,"[134094, 9924, 1659, 3462]"
SC,4,37989,0.000105,0.0,31.086095038412317,0.0,[205125]
PA,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[147049]
MX,13,37989,0.000342,0.0,31.086095038412317,0.0,[13999]
VG,2004,37989,0.052752,0.0,31.086095038412317,0.0,[199925]
MY,26,37989,0.0006850000000000001,0.0,31.086095038412317,0.0,"[9534, 4788]"
UA,4,37989,0.000105,0.0,31.086095038412317,0.0,"[216271, 30860, 21100]"
NO,2,37989,5.2e-05,0.0,31.086095038412317,0.0,"[56655, 25148]"
NP,4,37989,0.000105,0.0,31.086095038412317,0.0,[17501]
NZ,31,37989,0.000816,0.0,31.086095038412317,0.0,[9500]
PE,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[21575]
SA,2,37989,5.2e-05,0.0,31.086095038412317,0.0,"[43766, 25019]"
TR,22,37989,0.00058,0.0,31.086095038412317,0.0,"[42846, 202505, 210107, 9121]"
SK,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[200222]
PH,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[9299]
PL,6,37989,0.000157,0.0,31.086095038412317,0.0,"[204679, 15967, 20853]"
SG,2,37989,5.2e-05,0.0,31.086095038412317,0.0,"[55430, 4657]"
QA,11,37989,0.00029,0.0,31.086095038412317,0.0,[8781]
MD,15,37989,0.000395,0.0,31.086095038412317,0.0,"[1547, 25454]"
SE,75,37989,0.001973,0.0,31.086095038412317,0.0,"[206774, 1299, 1653, 1257]"
AE,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[15802]
JO,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[8697]
LK,3,37989,7.9e-05,0.0,31.086095038412317,0.0,[18001]
DE,1057,37989,0.027822,0.0,31.086095038412317,0.0,"[44974, 44066, 47447, 59437, 208058, 205100, 205766, 209114, 60294, 8560, 8422, 6805, 6724, 12360, 12306, 680, 3214, 3320, 29014, 29413, 29066, 24961, 15943]"
AT,4,37989,0.000105,0.0,31.086095038412317,0.0,"[1921, 40994, 35492]"
BE,242,37989,0.00637,0.0,31.086095038412317,0.0,"[5432, 34762]"
BG,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[44901]
BH,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[59605]
BY,33,37989,0.000869,0.0,31.086095038412317,0.0,[6697]
BZ,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[210083]
