org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
Kew Solutions Unipessoal Lda,7,37989,0.00018400000000000003,7.0,31.086095038412317,0.225182,"[209968, 51126, 52042]",['PT'],['Finance and Insurance' 'Construction and Real Estate'],"['Investment, Portfolio Management, Pensions and Funds'
 'Buildings (Residential or Commercial)']"
JSC IOT,9,37989,0.000237,7.0,31.086095038412317,0.225181,[29182],['RU'],['Computer and Information Technology'],['None']
"RACKTECH CO., LTD.",4,37989,0.000105,3.0625,31.086095038412317,0.098517,[204916],['TH'],['None'],['None']
LLC Baxet,3,37989,7.9e-05,3.0,31.086095038412317,0.096506,[51659],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
UPSTREAM NETWORK LTD,3,37989,7.9e-05,2.000015,31.086095038412317,0.064338,[202888],['GB'],['None'],['None']
HOSTKEY B.V.,6,37989,0.000158,2.0,31.086095038412317,0.064337,[57043],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
HOSTKEY,11,37989,0.00029,2.0,31.086095038412317,0.064337,[395839],['US'],['Computer and Information Technology'],['Phone Provider']
DEFSOLUTION LLC,8,37989,0.000211,2.0,31.086095038412317,0.064337,[197992],['US'],['None'],['None']
IP SERVER LLC,9,37989,0.000237,1.0,31.086095038412317,0.032169,[44812],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Clouvider Limited,1,37989,2.6e-05,1.0,31.086095038412317,0.032169,[62240],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Sprious LLC,8,37989,0.000211,0.5,31.086095038412317,0.016084,[64267],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SatGate LLC,8,37989,0.000211,0.4375,31.086095038412317,0.014074,[30721],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Google LLC,10774,37989,0.28360799999999997,0.075307,31.086095038412317,0.0024230000000000002,"[36492, 396982, 15169]",['US'],"['Computer and Information Technology'
 'Media, Publishing, and Broadcasting']","['Software Development' 'Online Music and Video Streaming Services'
 'Internet Service Provider (ISP)']"
Super Godzilla Communications GK,2,37989,5.3e-05,0.007812,31.086095038412317,0.000251,[138652],['JP'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Kirino LLC,17,37989,0.000447,0.000641,31.086095038412317,2.1e-05,[41378],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Amazon.com, Inc.",851,37989,0.022401,0.000586,31.086095038412317,1.9e-05,[16509],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Web2Objects LLC,2,37989,5.3e-05,0.000488,31.086095038412317,1.6e-05,[62874],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Akamai Technologies, Inc.",68,37989,0.0017900000000000001,0.000275,31.086095038412317,9e-06,"[36183, 63949, 16625]",['US'],['Computer and Information Technology'],['Computer and Network Security' 'Software Development']
Megacore Technology Company Limited,6,37989,0.000158,0.000244,31.086095038412317,8e-06,[140810],['VN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
UK-2 Limited,190,37989,0.005001,0.000159,31.086095038412317,5e-06,[13213],['GB'],['Computer and Information Technology'],['Hosting and Cloud Provider']
LoudTronix Inc.,12,37989,0.000316,9.2e-05,31.086095038412317,3e-06,[205212],['CA'],['Community Groups and Nonprofits'],['Other']
Bharti Airtel Limited,70,37989,0.001843,6.2e-05,31.086095038412317,2e-06,"[45609, 9498]",['IN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Datacamp Limited,13,37989,0.00034199999999999996,6.1e-05,31.086095038412317,2e-06,"[60068, 212238]",['GB'],"['Media, Publishing, and Broadcasting'
 'Computer and Information Technology']","['Online Music and Video Streaming Services'
 'Internet Service Provider (ISP)']"
Vinters IT Ltd,12,37989,0.000316,4.6e-05,31.086095038412317,1e-06,[62217],['GB'],['Computer and Information Technology'],['None']
M247 Europe SRL,254,37989,0.006686,4.5e-05,31.086095038412317,1e-06,[9009],['RO'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Eons Data Communications Limited,4,37989,0.000105,3.1e-05,31.086095038412317,1e-06,[138997],['HK'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Hivelocity Inc,4,37989,0.000105,3.1e-05,31.086095038412317,1e-06,[61317],['US'],['Computer and Information Technology'],['None']
"Leaseweb USA, Inc.",78,37989,0.002053,3e-05,31.086095038412317,1e-06,[30633],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Latitude.sh LTDA,35,37989,0.000921,2.8e-05,31.086095038412317,1e-06,[262287],['BR'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Akamai International B.V.,14190,37989,0.373529,2.4e-05,31.086095038412317,1e-06,"[20940, 21342]",['NL'],"['Media, Publishing, and Broadcasting']",['Online Music and Video Streaming Services']
ERBCOM TELECOMUNICACOES EIRELI - ME,1,37989,2.6e-05,1.5e-05,31.086095038412317,0.0,[268972],['BR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Fly.io, Inc.",1,37989,2.6e-05,1.5e-05,31.086095038412317,0.0,[40509],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Fork Networking, LLC",2,37989,5.3e-05,1.5e-05,31.086095038412317,0.0,[46841],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
24 SHELLS,15,37989,0.000395,1.1e-05,31.086095038412317,0.0,[55081],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Latitude.sh,33,37989,0.000869,1e-05,31.086095038412317,0.0,[396356],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Telfly Technology Limited,9,37989,0.000237,8e-06,31.086095038412317,0.0,[41717],['HK'],['None'],['None']
"Fastly, Inc.",8,37989,0.000211,8e-06,31.086095038412317,0.0,[54113],['US'],['Computer and Information Technology'],['Software Development']
Intergrid Group Pty Ltd,7,37989,0.000184,7e-06,31.086095038412317,0.0,[133480],['AU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
LightWave Networks,4,37989,0.00010499999999999999,4e-06,31.086095038412317,0.0,"[12167, 26527]",['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Performive LLC,14,37989,0.000369,3e-06,31.086095038412317,0.0,[46562],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Psychz Networks,3,37989,7.9e-05,3e-06,31.086095038412317,0.0,[40676],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
UAB Rakrejus,3,37989,7.9e-05,3e-06,31.086095038412317,0.0,[62282],['LT'],['Computer and Information Technology'],['None']
QuadraNet Enterprises LLC,8,37989,0.000211,2e-06,31.086095038412317,0.0,[8100],['US'],['Computer and Information Technology'],['Computer and Network Security']
VNSUN CLOUD COMPANY LIMITED,2,37989,5.3e-05,2e-06,31.086095038412317,0.0,[149151],['VN'],['None'],['None']
VNIDC TECHNOLOGY COMPANY LIMITED,2,37989,5.3e-05,2e-06,31.086095038412317,0.0,[140824],['VN'],['None'],['None']
"Unlimited Net, LLC",2,37989,5.3e-05,2e-06,31.086095038412317,0.0,[11990],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Hurricane Electric LLC,611,37989,0.016084,1e-06,31.086095038412317,0.0,[6939],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"SERVERFIELD CO., LTD.",1,37989,2.6e-05,1e-06,31.086095038412317,0.0,[134094],['TW'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
H4Y Technologies LLC,5,37989,0.000132,1e-06,31.086095038412317,0.0,[397373],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"tzulo, inc.",1,37989,2.6e-05,1e-06,31.086095038412317,0.0,[11878],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"LLC ""Internet Tehnologii""",2,37989,5.3e-05,1e-06,31.086095038412317,0.0,[45027],['RU'],['Computer and Information Technology'],['Software Development']
NETLABS LLC,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[216271],['UA'],['None'],['None']
"PT. Smartfren Telecom, Tbk",1,37989,2.6e-05,0.0,31.086095038412317,0.0,[133798],['ID'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Philippine Long Distance Telephone Co.,1,37989,2.6e-05,0.0,31.086095038412317,0.0,[9299],['PH'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
