org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
EpicUp Holdings Inc,62,4366,0.014201,992.0,1393.4837651848793,0.711885,[397165],['US'],['Service'],"['Law, Business, and Consulting Services']"
"RACKTECH CO., LTD.",99,4366,0.022675,64.3125,1393.4837651848793,0.046152,[204916],['TH'],['None'],['None']
Latitude.sh,2,4366,0.000458,32.0,1393.4837651848793,0.022964,[396356],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
IP SERVER LLC,28,4366,0.006413,28.0,1393.4837651848793,0.020094,[44812],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,24,4366,0.005497,24.0,1393.4837651848793,0.017223,[210107],['TR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Kew Solutions Unipessoal Lda,19,4366,0.004352,19.0,1393.4837651848793,0.013634000000000002,"[209968, 51126, 56849, 52042]",['PT'],"['Finance and Insurance' 'Freight, Shipment, and Postal Services'
 'Construction and Real Estate']","['Investment, Portfolio Management, Pensions and Funds' 'Other'
 'Buildings (Residential or Commercial)']"
Oxylabs,1,4366,0.000229,16.0,1393.4837651848793,0.011482,[396319],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"The Constant Company, LLC",16,4366,0.003665,13.000046,1393.4837651848793,0.009329,[20473],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Leaseweb USA, Inc.",14,4366,0.003207,13.000015,1393.4837651848793,0.00933,"[30633, 396362]",['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Sprint,10,4366,0.00229,10.0,1393.4837651848793,0.007176,[1239],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
LLC Vpsville,12,4366,0.002749,9.1875,1393.4837651848793,0.006593,[59504],['RU'],['Computer and Information Technology'],['Software Development']
Clouvider Limited,31,4366,0.0071,9.000565,1393.4837651848793,0.006459,[62240],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Dmitrii Vladimirovich Malkov,9,4366,0.002061,9.0,1393.4837651848793,0.006458,"[210695, 210852]",['RU'],['None'],['None']
SIXNET OPERATION LTD,9,4366,0.002061,8.003906,1393.4837651848793,0.005744,[198231],['GB'],['None'],['None']
IT Express Ltd.,9,4366,0.002061,7.000031,1393.4837651848793,0.005023,[47596],['UA'],['Service'],"['Law, Business, and Consulting Services']"
Ferdinand Zink trading as Tube-Hosting,7,4366,0.001603,7.0,1393.4837651848793,0.005023,[49581],['DE'],['Computer and Information Technology'],['Software Development']
LLC Baxet,8,4366,0.001832,6.000031,1393.4837651848793,0.004306,"[51659, 49392]",['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Netex Limited,6,4366,0.001374,6.0,1393.4837651848793,0.004306,[51837],['HK'],['Computer and Information Technology'],['Software Development']
ArtPlanet LLC,6,4366,0.001374,6.0,1393.4837651848793,0.004306,[49542],['RU'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Hivelocity Inc,14,4366,0.003207,5.012955,1393.4837651848793,0.003597,[61317],['US'],['Computer and Information Technology'],['None']
LeaseWeb Netherlands B.V.,5,4366,0.001145,5.0,1393.4837651848793,0.003588,[60781],['NL'],['Computer and Information Technology'],['None']
Vinters IT Ltd,9,4366,0.002061,4.000763,1393.4837651848793,0.002871,[62217],['GB'],['Computer and Information Technology'],['None']
Kontel LLC,4,4366,0.000916,4.0,1393.4837651848793,0.002871,[204490],['RU'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"AT&T Services, Inc.",4,4366,0.000916,4.0,1393.4837651848793,0.002871,[7018],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
3xK Tech GmbH,4,4366,0.000916,4.0,1393.4837651848793,0.002871,"[198571, 200373]",['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
HostRoyale Technologies Pvt Ltd,4,4366,0.000916,4.0,1393.4837651848793,0.002871,[207990],['IN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Cloudflare London, LLC",16,4366,0.003665,3.000198,1393.4837651848793,0.002153,[209242],['US'],['Service'],"['Law, Business, and Consulting Services']"
Delta Ltd,7,4366,0.001603,3.000061,1393.4837651848793,0.002153,[213220],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
I-SERVERS LTD,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[209641],['GB'],['Education and Research'],['None']
Al Asmary Abdullah Ibrahim A,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[210499],['SA'],['Computer and Information Technology'],['Software Development']
Citytelecom LLC,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[3175],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
STARK INDUSTRIES SOLUTIONS LTD,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[44477],['GB'],['Manufacturing'],"['Metal, Glass, Wood, and Paper Manufacturing']"
GalaxyStar LLC,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[206873],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Sole trader Malkov Dmitrii Vladimirovich,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[48108],['RU'],['Computer and Information Technology'],['None']
RoyaleHosting BV,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[212477],['NL'],['Computer and Information Technology'],['None']
JSC IOT,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[29182],['RU'],['Computer and Information Technology'],['None']
ServTech LTD,3,4366,0.000687,3.0,1393.4837651848793,0.002153,[208626],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Malkov D.V.,3,4366,0.000687,2.000015,1393.4837651848793,0.001435,[212521],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Comfortel Ltd.,3,4366,0.000687,2.000015,1393.4837651848793,0.001435,[56534],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
UPSTREAM NETWORK LTD,3,4366,0.000687,2.000015,1393.4837651848793,0.001435,[202888],['GB'],['None'],['None']
DNS0.EU A.D.,2,4366,0.000458,2.0,1393.4837651848793,0.001435,[50902],['FR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Scalaxy B.V.,2,4366,0.000458,2.0,1393.4837651848793,0.001435,[58061],['LV'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Cox Communications Inc.,2,4366,0.000458,2.0,1393.4837651848793,0.001435,[22773],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Manir LLC,2,4366,0.000458,2.0,1393.4837651848793,0.001435,[60389],['RU'],['Finance and Insurance'],"['Banks, Credit Card Companies, Mortgage Providers']"
Overweb Srl,2,4366,0.000458,2.0,1393.4837651848793,0.001435,[42692],['IT'],['None'],['None']
"Fastly, Inc.",139,4366,0.031837,1.439728,1393.4837651848793,0.001033,[54113],['US'],['Computer and Information Technology'],['Software Development']
Perfect Cloud Technologies LLC,3,4366,0.000687,1.125,1393.4837651848793,0.000807,[211027],['RU'],"['Media, Publishing, and Broadcasting']",['Other']
NTX Technologies s.r.o.,2,4366,0.000458,1.000015,1393.4837651848793,0.000718,[50113],['CZ'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Wicked Networks Limited,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[141444],['HK'],['Other'],['None']
SIA VEESP,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[43317],['LV'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Getechbrothers,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[150445],['LT'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SatGate LLC,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[30721],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Netversor GmbH,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[200081],['DE'],['Service'],"['Law, Business, and Consulting Services']"
FIBERTEL PERU S.A.,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[266732],['PE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Okay-Telecom Ltd.,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[199669],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Arcus Novus UAB,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[51259],['LT'],['Manufacturing'],['Electronics and Computer Components']
hosTELyon SAS,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[209146],['FR'],['Computer and Information Technology'],['None']
First Root UG (haftungsbeschraenkt),1,4366,0.000229,1.0,1393.4837651848793,0.000718,[41108],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Fiberocity Ltd,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[199614],['GB'],['None'],['None']
UK On-line Agri-sales Limited,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[202235],['GB'],['Computer and Information Technology'],['None']
Ilm-Provider UG (haftungsbeschraenkt),1,4366,0.000229,1.0,1393.4837651848793,0.000718,[196968],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Leaseweb Deutschland GmbH,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[28753],['DE'],['Computer and Information Technology'],['None']
SORACOM. INC.,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[131910],['JP'],['None'],['None']
MOACK.Co.LTD,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[135605],['KR'],['Computer and Information Technology'],['None']
"CHUAN KAI INTERNATIONAL CO., LTD",1,4366,0.000229,1.0,1393.4837651848793,0.000718,[133375],['TW'],['Travel and Accommodation'],['Other']
DGN TEKNOLOJI A.S.,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[43260],['TR'],['Computer and Information Technology'],['Hosting and Cloud Provider']
China Education and Research Network Center,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[4538],['CN'],['Education and Research'],"['Colleges, Universities, and Professional Schools']"
DNT Solutions,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[147057],['PK'],['None'],['None']
TEKNOTEL TELEKOMUNIKASYON SANAYI VE TICARET A.S.,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[25145],['TR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
MRGROUP INVESTMENTS LIMITED,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[61178],['CY'],['Service'],"['Law, Business, and Consulting Services']"
MULTIDIST SARL,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[60703],['FR'],['Computer and Information Technology'],['Software Development']
23M GmbH,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[47447],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Eskisehir Bilisim Iletisim San. ve Tic. A.S.,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[196733],['TR'],['Computer and Information Technology'],['None']
Planisware Singapore Pte. Ltd,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[150347],['SG'],['Computer and Information Technology'],['Software Development']
Serverel Inc.,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[15317],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
ETISALAT MISR,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[36992],['EG'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
RODRIGUEZ PEDRO ALBERTO JUAN,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[271991],['AR'],['None'],['None']
Modesco LLC,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[56434],['RU'],['Education and Research'],['Elementary and Secondary Schools']
