category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,4211,4894,0.860398,1248.427984,2606.7994847893715,0.47893299999999994,"[204790, 22773, 49581, 396356, 30633, 44812, 210107, 209368, 60781, 35761, 197204, 197706, 42034, 200187, 59848, 57795, 201984, 20988, 56485, 52209, 31543, 13178, 42929, 25003, 43341, 49191, 48288, 43350, 47540, 44851, 44205, 202053, 34907, 203361, 44050, 396319, 212786, 212144, 35579, 3352, 3549, 35712, 208124, 207083, 206028, 35829, 8769, 204326, 12552, 12400, 41327, 40970, 205068, 205227, 8511, 20473, 59504, 62240, 200373, 49542, 51837, 35048, 61317, 7018, 209097, 62217, 205544, 51659, 204490, 207990, 30873, 213220, 29182, 198571, 3175, 212477, 208626, 62068, 48108, 206873, 210499, 49392, 56534, 212521, 32489, 203498, 58061, 50902, 34939, 39384, 35574, 137409, 1239, 54113, 40676, 50113, 150445, 150347, 12630, 12306, 8820, 135605, 64080, 7979, 202235, 201080, 196968, 21378, 21269, 200416, 60703, 200128, 206075, 15317, 199669, 196733, 25145, 43317, 211752, 30721, 30742, 49981, 43260, 41108, 1764, 209146, 39824, 266732, 36992, 396113, 945, 396362, 34762, 29551, 48070, 209045, 6663, 206150, 28753, 206499, 209041, 47447, 24971, 53667, 35507, 202503, 6939, 45609, 3320, 16509, 36183, 60539, 174, 13335, 38732, 58057, 53356, 33480, 202528, 202990, 203500, 12676, 36791, 8100, 28573, 48582, 36492, 9009, 19551, 15133, 50867, 40509, 200866, 199974, 136620, 47583, 16724, 208046, 263110, 203314, 32931, 22439, 48231, 49544, 142594, 20446, 41378, 20253, 212238, 46562, 949, 44016, 207021, 8666, 208972, 52048, 3356, 56758, 208685, 14153, 198412, 42831, 48254, 60567, 211083, 1921, 200746, 201178, 13213, 140810, 37963, 59711, 62874, 9121, 43357, 42675, 209626, 30811, 211759, 42673, 139693, 400797, 135671, 34534, 36040, 63213, 394923, 141039, 213268, 211547, 211400, 210937, 30081, 20546, 29290, 209181, 23764, 203557, 51972, 12859, 203339, 52041, 201949, 55081, 201029, 58336, 200393, 24239, 204915, 51430, 61323, 47720, 150698, 208223, 203, 6369, 197433, 25923, 49673, 205726, 8075, 50926, 133480, 58453, 6762, 4761, 16625, 4657, 4788]"
Service,156,4894,0.031874000000000006,1056.0675210000002,2606.7994847893715,0.40512200000000004,"[397165, 42275, 207289, 206616, 47596, 209242, 201364, 61178, 200081, 48638, 58036, 400519, 212149, 205398, 203843, 201633, 205989, 15967]"
None,311,4894,0.06354099999999999,125.47387500000002,2606.7994847893715,0.048133,"[204916, 56708, 198231, 210695, 400842, 42692, 210852, 147057, 199614, 200157, 271991, 131910, 210842, 202685, 924, 151814, 207252, 198304, 199186, 197730, 200021, 202911, 208078, 151407, 216398, 201217, 200690, 200959, 197919, 197606, 33760, 204318, 399358, 216452, 210644, 216435, 211051, 199052, 203283, 202888, 202662, 199656, 199684, 54197]"
Manufacturing,23,4894,0.004697000000000001,41.25035,2606.7994847893715,0.015826,"[210167, 205856, 205432, 44477, 51259, 5420, 207242, 210462, 212085, 23145, 203635]"
Finance and Insurance,21,4894,0.00429,35.000015,2606.7994847893715,0.013427,"[57574, 209968, 60389, 51126, 2027, 201836]"
Education and Research,30,4894,0.006128000000000001,24.019316,2606.7994847893715,0.009215,"[209641, 61161, 56434, 4538, 209650, 270410, 210152, 60310, 141173, 209306, 206981, 210025]"
"Retail Stores, Wholesale, and E-commerce Sites",8,4894,0.001633,16.003997000000005,2606.7994847893715,0.006139,"[205243, 205987, 201572, 204720, 58339, 204755, 207487]"
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",1,4894,0.000204,16.0,2606.7994847893715,0.006138,[51711]
Government and Public Administration,1,4894,0.000204,16.0,2606.7994847893715,0.006138,[204319]
"Museums, Libraries, and Entertainment",1,4894,0.000204,16.0,2606.7994847893715,0.006138,[207092]
Construction and Real Estate,46,4894,0.009398,5.124221,2606.7994847893715,0.0019660000000000003,"[52042, 204880, 203299, 35085, 399558, 199925, 59538, 151338, 48043, 211358, 39900, 208699, 204736, 50007]"
"Media, Publishing, and Broadcasting",50,4894,0.010214,2.363966,2606.7994847893715,0.000907,"[211027, 208985, 210916, 51579, 33905, 61112, 63399, 199465, 398668, 20940, 34164, 206843, 210348, 210335, 208850, 208771, 208749]"
"Freight, Shipment, and Postal Services",7,4894,0.001431,2.000076,2606.7994847893715,0.000767,"[56849, 205157]"
Other,15,4894,0.003066,1.0041069999999996,2606.7994847893715,0.000386,"[141444, 35487, 50069, 42198, 38008, 40138]"
Travel and Accommodation,1,4894,0.000204,1.0,2606.7994847893715,0.000384,[133375]
Community Groups and Nonprofits,10,4894,0.0020440000000000002,0.06355300000000001,2606.7994847893715,2.4e-05,"[197634, 205212, 64475, 208753, 398962]"
Health Care Services,2,4894,0.000409,0.000488,2606.7994847893715,0.0,[46997]
