as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name,country,category,sub_category
397165,62,5022,0.012346,992.0,3132.765946,0.316653,EpicUp Holdings Inc,US,Service,"Law, Business, and Consulting Services"
204916,104,5022,0.020709,97.4375,3132.765946,0.031103,"RACKTECH CO., LTD.",TH,None,None
204790,5,5022,0.000996,80.0,3132.765946,0.025537,Falco ISP Services B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
22773,6,5022,0.001195,66.0,3132.765946,0.021068,Cox Communications Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
49581,9,5022,0.001792,39.0,3132.765946,0.012449,Ferdinand Zink trading as Tube-Hosting,DE,Computer and Information Technology,Software Development
60781,9,5022,0.001792,38.000015,3132.765946,0.01213,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
396356,2,5022,0.000398,32.0,3132.765946,0.010215,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
40970,2,5022,0.000398,32.0,3132.765946,0.010215,IP SERVICES Sp. zo.o.,PL,Computer and Information Technology,Internet Service Provider (ISP)
30823,2,5022,0.000398,32.0,3132.765946,0.010215,aurologic GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
34907,2,5022,0.000398,32.0,3132.765946,0.010215,IP SERVICES Sp. zo.o.,PL,Computer and Information Technology,Internet Service Provider (ISP)
210434,2,5022,0.000398,32.0,3132.765946,0.010215,Hizakura Limited,GB,None,None
30633,17,5022,0.003385,29.000046,3132.765946,0.009257,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
44812,28,5022,0.005575,28.0,3132.765946,0.008938,IP SERVER LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
210107,25,5022,0.004978,25.0,3132.765946,0.00798,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
32489,9,5022,0.001792,24.0,3132.765946,0.007661,Amanah Tech Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
209368,9,5022,0.001792,24.0,3132.765946,0.007661,Noinet Societa Cooperativa,IT,Computer and Information Technology,Internet Service Provider (ISP)
400842,7,5022,0.001394,22.0,3132.765946,0.007023,Tunbroker LLC,US,None,None
213220,7,5022,0.001394,19.000046,3132.765946,0.006065,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
35048,4,5022,0.000796,19.0,3132.765946,0.006065,Biterika Group LLC,RU,Computer and Information Technology,Software Development
49981,3,5022,0.000597,17.003906,3132.765946,0.005428,WorldStream B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
197706,3,5022,0.000597,17.000015,3132.765946,0.005427,Keminet SHPK,AL,Computer and Information Technology,None
203498,2,5022,0.000398,17.0,3132.765946,0.005427,JSC Intellin,RU,Computer and Information Technology,None
212238,9,5022,0.001792,16.000122,3132.765946,0.005107,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
34534,2,5022,0.000398,16.000015,3132.765946,0.005107,Harmony Hosting SARL,FR,Computer and Information Technology,Internet Service Provider (ISP)
35829,2,5022,0.000398,16.000015,3132.765946,0.005107,"auth-servers, LLC",US,Computer and Information Technology,Hosting and Cloud Provider
197204,1,5022,0.000199,16.0,3132.765946,0.005107,TeleMaks Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
60111,1,5022,0.000199,16.0,3132.765946,0.005107,ASOM-Net Forening,DK,Computer and Information Technology,Internet Service Provider (ISP)
58011,1,5022,0.000199,16.0,3132.765946,0.005107,CHEOPS TECHNOLOGY FRANCE S.A.,FR,Computer and Information Technology,None
42034,1,5022,0.000199,16.0,3132.765946,0.005107,DN-Systems Enterprise Internet Solutions GmbH,DE,Computer and Information Technology,None
59848,1,5022,0.000199,16.0,3132.765946,0.005107,"LLC ""LURE IT""",RU,Computer and Information Technology,Internet Service Provider (ISP)
60021,1,5022,0.000199,16.0,3132.765946,0.005107,EDGE CLOUD NETWORK TECHNOLOGY PTE LTD.,SG,Computer and Information Technology,Technology Consulting Services
60262,1,5022,0.000199,16.0,3132.765946,0.005107,Panq B.V.,NL,Computer and Information Technology,None
133944,1,5022,0.000199,16.0,3132.765946,0.005107,"trafficforce, UAB",LT,Computer and Information Technology,Computer and Network Security
60584,1,5022,0.000199,16.0,3132.765946,0.005107,Prime Studio s.r.o.,CZ,Computer and Information Technology,Software Development
57795,1,5022,0.000199,16.0,3132.765946,0.005107,NG-BLU Networks B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
60636,1,5022,0.000199,16.0,3132.765946,0.005107,Coolnet Communications ltd,IL,Computer and Information Technology,Internet Service Provider (ISP)
25415,1,5022,0.000199,16.0,3132.765946,0.005107,ADDIX GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
41230,1,5022,0.000199,16.0,3132.765946,0.005107,ASK4 Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
25003,1,5022,0.000199,16.0,3132.765946,0.005107,Internet Binat Ltd,IL,Computer and Information Technology,Internet Service Provider (ISP)
35579,1,5022,0.000199,16.0,3132.765946,0.005107,KELAG-Karntner Elektrizitats - Aktiengesellschaft,AT,Computer and Information Technology,Internet Service Provider (ISP)
44050,1,5022,0.000199,16.0,3132.765946,0.005107,Petersburg Internet Network ltd.,RU,Computer and Information Technology,Internet Service Provider (ISP)
30813,1,5022,0.000199,16.0,3132.765946,0.005107,Fione Spolka z Ogranicznona Odpowiedzialnoscia Spolka Komandytowa,PL,Computer and Information Technology,Internet Service Provider (ISP)
57773,1,5022,0.000199,16.0,3132.765946,0.005107,1Access Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
31019,1,5022,0.000199,16.0,3132.765946,0.005107,Paulus M. Hoogsteder,NL,Education and Research,None
31543,1,5022,0.000199,16.0,3132.765946,0.005107,myNet GmbH,AT,Computer and Information Technology,Internet Service Provider (ISP)
31617,1,5022,0.000199,16.0,3132.765946,0.005107,REEVO S.P.A.,IT,Computer and Information Technology,Software Development
47540,1,5022,0.000199,16.0,3132.765946,0.005107,Wipak Walsrode Geschaeftsfuhrungs GmbH trading as Wipak Walsrode GmbH & Co. KG,DE,Computer and Information Technology,Internet Service Provider (ISP)
57574,1,5022,0.000199,16.0,3132.765946,0.005107,Agriculture bank,IR,Finance and Insurance,"Banks, Credit Card Companies, Mortgage Providers"
56722,1,5022,0.000199,16.0,3132.765946,0.005107,Van Berkel en Bos U.N. Studio BV,NL,Construction and Real Estate,Other
51711,1,5022,0.000199,16.0,3132.765946,0.005107,Insys Ltd,GB,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
50629,1,5022,0.000199,16.0,3132.765946,0.005107,LWLcom GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
34665,1,5022,0.000199,16.0,3132.765946,0.005107,Petersburg Internet Network ltd.,RU,Computer and Information Technology,Internet Service Provider (ISP)
50582,1,5022,0.000199,16.0,3132.765946,0.005107,Bent Oystein Bostad,NO,"Retail Stores, Wholesale, and E-commerce Sites",None
48352,1,5022,0.000199,16.0,3132.765946,0.005107,LIS Logistische Informationssysteme GmbH,DE,Computer and Information Technology,Software Development
49191,1,5022,0.000199,16.0,3132.765946,0.005107,IP SERVICES Sp. zo.o.,PL,Computer and Information Technology,Internet Service Provider (ISP)
56485,1,5022,0.000199,16.0,3132.765946,0.005107,Oleksandr Siedinkin,UA,Computer and Information Technology,None
198333,1,5022,0.000199,16.0,3132.765946,0.005107,DATAGROUP SE,DE,Computer and Information Technology,None
207289,1,5022,0.000199,16.0,3132.765946,0.005107,Westfalen Weser Netz GmbH,DE,Service,"Law, Business, and Consulting Services"
5582,1,5022,0.000199,16.0,3132.765946,0.005107,Wojewodztwo Lubelskie,PL,Computer and Information Technology,Internet Service Provider (ISP)
207083,1,5022,0.000199,16.0,3132.765946,0.005107,HostSlim B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
39591,1,5022,0.000199,16.0,3132.765946,0.005107,Global-e ICT solutions B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
8769,1,5022,0.000199,16.0,3132.765946,0.005107,IT-Total Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
208124,1,5022,0.000199,16.0,3132.765946,0.005107,Negin Narmafzar Asak Research and Information Cooperative Company,IR,Computer and Information Technology,None
8422,1,5022,0.000199,16.0,3132.765946,0.005107,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
208257,1,5022,0.000199,16.0,3132.765946,0.005107,CELENETWORKS SL,ES,Computer and Information Technology,Internet Service Provider (ISP)
208261,1,5022,0.000199,16.0,3132.765946,0.005107,Pomme Telecom SASU,FR,Computer and Information Technology,Internet Service Provider (ISP)
208906,1,5022,0.000199,16.0,3132.765946,0.005107,"SYNOT ICT Services, a.s.",CZ,Service,"Law, Business, and Consulting Services"
5400,1,5022,0.000199,16.0,3132.765946,0.005107,British Telecommunications PLC,GB,Computer and Information Technology,Internet Service Provider (ISP)
206430,1,5022,0.000199,16.0,3132.765946,0.005107,INFOTEC TECNOLOGIA INTEGRAL Y TELECOMUNICACIONES SL,ES,"Media, Publishing, and Broadcasting",Radio and Television Providers
211170,1,5022,0.000199,16.0,3132.765946,0.005107,Stromnetz Berlin GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
3549,1,5022,0.000199,16.0,3132.765946,0.005107,"Level 3 Parent, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
211501,1,5022,0.000199,16.0,3132.765946,0.005107,High Tide Group Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
212144,1,5022,0.000199,16.0,3132.765946,0.005107,"trafficforce, UAB",LT,Computer and Information Technology,Software Development
3267,1,5022,0.000199,16.0,3132.765946,0.005107,"Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""",RU,Education and Research,"Colleges, Universities, and Professional Schools"
213222,1,5022,0.000199,16.0,3132.765946,0.005107,Tida Data Processing Ltd,IR,Computer and Information Technology,Internet Service Provider (ISP)
216349,1,5022,0.000199,16.0,3132.765946,0.005107,"Getechbrothers, MB",LT,None,None
396319,1,5022,0.000199,16.0,3132.765946,0.005107,Oxylabs,US,Computer and Information Technology,Internet Service Provider (ISP)
206833,1,5022,0.000199,16.0,3132.765946,0.005107,Snell Cuenca Minera S.L,ES,Computer and Information Technology,Internet Service Provider (ISP)
39913,1,5022,0.000199,16.0,3132.765946,0.005107,Manuel Wannemacher,DE,Service,Other
12552,1,5022,0.000199,16.0,3132.765946,0.005107,GlobalConnect AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
203361,1,5022,0.000199,16.0,3132.765946,0.005107,MASSELIN COMMUNICATION SAS,FR,Computer and Information Technology,Internet Service Provider (ISP)
205816,1,5022,0.000199,16.0,3132.765946,0.005107,Elkaim Elie,FR,Service,Other
201984,1,5022,0.000199,16.0,3132.765946,0.005107,E-Solutions BV,BE,Computer and Information Technology,Computer and Network Security
200187,1,5022,0.000199,16.0,3132.765946,0.005107,CloudKleyer Frankfurt GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
202844,1,5022,0.000199,16.0,3132.765946,0.005107,Airsip Telecomunicaciones S.L.,ES,Computer and Information Technology,Internet Service Provider (ISP)
198668,1,5022,0.000199,16.0,3132.765946,0.005107,Tlapnet s.r.o.,CZ,Manufacturing,Electronics and Computer Components
200430,1,5022,0.000199,16.0,3132.765946,0.005107,WEBO LLC,RU,Computer and Information Technology,Computer and Network Security
200750,1,5022,0.000199,16.0,3132.765946,0.005107,Klikom.net Sp.z o.o.,PL,Computer and Information Technology,Internet Service Provider (ISP)
204171,1,5022,0.000199,16.0,3132.765946,0.005107,TD-K A/S,DK,Computer and Information Technology,None
204760,1,5022,0.000199,16.0,3132.765946,0.005107,MOMIT SRL,IT,Computer and Information Technology,Internet Service Provider (ISP)
204860,1,5022,0.000199,16.0,3132.765946,0.005107,NetX Networks a.s.,CZ,Manufacturing,Electronics and Computer Components
204920,1,5022,0.000199,16.0,3132.765946,0.005107,Vestas Wind Systems A/S,DK,Manufacturing,Automotive and Transportation
205068,1,5022,0.000199,16.0,3132.765946,0.005107,ADVCOM SARL,FR,Computer and Information Technology,Software Development
20473,16,5022,0.003186,13.000046,3132.765946,0.00415,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
209968,13,5022,0.002589,13.0,3132.765946,0.00415,Kew Solutions Unipessoal Lda,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
59504,12,5022,0.002389,9.1875,3132.765946,0.002933,LLC Vpsville,RU,Computer and Information Technology,Software Development
200373,9,5022,0.001792,9.0,3132.765946,0.002873,3xK Tech GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
62240,31,5022,0.006173,8.00058,3132.765946,0.002554,Clouvider Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
198231,8,5022,0.001593,8.0,3132.765946,0.002554,SIXNET OPERATION LTD,GB,None,None
47596,9,5022,0.001792,7.000031,3132.765946,0.002234,IT Express Ltd.,UA,Service,"Law, Business, and Consulting Services"
210695,7,5022,0.001394,7.0,3132.765946,0.002234,Dmitrii Vladimirovich Malkov,RU,None,None
7018,7,5022,0.001394,7.0,3132.765946,0.002234,"AT&T Services, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
49542,6,5022,0.001195,6.0,3132.765946,0.001915,ArtPlanet LLC,RU,Computer and Information Technology,Hosting and Cloud Provider
209097,6,5022,0.001195,6.0,3132.765946,0.001915,NETSYST SAS,FR,Computer and Information Technology,Software Development
51837,6,5022,0.001195,6.0,3132.765946,0.001915,Netex Limited,HK,Computer and Information Technology,Software Development
61317,14,5022,0.002788,5.012955,3132.765946,0.0016,Hivelocity Inc,US,Computer and Information Technology,None
201364,5,5022,0.000996,5.0,3132.765946,0.001596,TEKNOBOSS TEKNOLOJI VE DANISMANLIK HIZMETLERI LIMITED SIRKETI,TR,Service,"Law, Business, and Consulting Services"
62217,9,5022,0.001792,4.000763,3132.765946,0.001277,Vinters IT Ltd,GB,Computer and Information Technology,None
205544,7,5022,0.001394,4.000046,3132.765946,0.001277,LEASEWEB UK LIMITED,GB,Computer and Information Technology,None
207990,4,5022,0.000796,4.0,3132.765946,0.001277,HostRoyale Technologies Pvt Ltd,IN,Computer and Information Technology,Internet Service Provider (ISP)
51659,4,5022,0.000796,4.0,3132.765946,0.001277,LLC Baxet,RU,Computer and Information Technology,Internet Service Provider (ISP)
204490,4,5022,0.000796,4.0,3132.765946,0.001277,Kontel LLC,RU,Computer and Information Technology,Hosting and Cloud Provider
209242,16,5022,0.003186,3.000198,3132.765946,0.000958,"Cloudflare London, LLC",US,Service,"Law, Business, and Consulting Services"
62068,3,5022,0.000597,3.0,3132.765946,0.000958,SpectraIP B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
212477,3,5022,0.000597,3.0,3132.765946,0.000958,RoyaleHosting BV,NL,Computer and Information Technology,None
208626,3,5022,0.000597,3.0,3132.765946,0.000958,ServTech LTD,RU,Computer and Information Technology,Internet Service Provider (ISP)
137409,3,5022,0.000597,3.0,3132.765946,0.000958,GSL Networks Pty LTD,AU,Computer and Information Technology,None
209641,3,5022,0.000597,3.0,3132.765946,0.000958,I-SERVERS LTD,GB,Education and Research,None
48108,3,5022,0.000597,3.0,3132.765946,0.000958,Sole trader Malkov Dmitrii Vladimirovich,RU,Computer and Information Technology,None
210499,3,5022,0.000597,3.0,3132.765946,0.000958,Al Asmary Abdullah Ibrahim A,SA,Computer and Information Technology,Software Development
206873,3,5022,0.000597,3.0,3132.765946,0.000958,GalaxyStar LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
1239,3,5022,0.000597,3.0,3132.765946,0.000958,Sprint,US,Computer and Information Technology,Internet Service Provider (ISP)
30873,3,5022,0.000597,3.0,3132.765946,0.000958,Public Telecommunication Corporation,YE,Computer and Information Technology,Internet Service Provider (ISP)
3175,3,5022,0.000597,3.0,3132.765946,0.000958,Citytelecom LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
60389,3,5022,0.000597,3.0,3132.765946,0.000958,Manir LLC,RU,Finance and Insurance,"Banks, Credit Card Companies, Mortgage Providers"
29182,3,5022,0.000597,3.0,3132.765946,0.000958,JSC IOT,RU,Computer and Information Technology,None
198571,3,5022,0.000597,3.0,3132.765946,0.000958,3xK Tech GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
205432,4,5022,0.000796,2.125,3132.765946,0.000678,William Weber,HR,Manufacturing,Chemical and Pharmaceutical Manufacturing
211083,6,5022,0.001195,2.000061,3132.765946,0.000638,ServerGurus UG,DE,Computer and Information Technology,Internet Service Provider (ISP)
49392,4,5022,0.000796,2.000031,3132.765946,0.000638,LLC Baxet,RU,Computer and Information Technology,Internet Service Provider (ISP)
212521,3,5022,0.000597,2.000015,3132.765946,0.000638,Malkov D.V.,RU,Computer and Information Technology,Internet Service Provider (ISP)
56534,3,5022,0.000597,2.000015,3132.765946,0.000638,Comfortel Ltd.,RU,Computer and Information Technology,Internet Service Provider (ISP)
52042,2,5022,0.000398,2.0,3132.765946,0.000638,Kew Solutions Unipessoal Lda,PT,Construction and Real Estate,Buildings (Residential or Commercial)
51126,2,5022,0.000398,2.0,3132.765946,0.000638,Kew Solutions Unipessoal Lda,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
34939,2,5022,0.000398,2.0,3132.765946,0.000638,"nextdns, Inc.",US,Computer and Information Technology,None
50902,2,5022,0.000398,2.0,3132.765946,0.000638,DNS0.EU A.D.,FR,Computer and Information Technology,Internet Service Provider (ISP)
62075,2,5022,0.000398,2.0,3132.765946,0.000638,Julian Lannert,DE,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
205718,2,5022,0.000398,2.0,3132.765946,0.000638,ALCORT INGENIERIA Y ASESORIA S.L.,ES,Computer and Information Technology,Internet Service Provider (ISP)
58061,2,5022,0.000398,2.0,3132.765946,0.000638,Scalaxy B.V.,LV,Computer and Information Technology,Hosting and Cloud Provider
28753,2,5022,0.000398,2.0,3132.765946,0.000638,Leaseweb Deutschland GmbH,DE,Computer and Information Technology,None
210852,2,5022,0.000398,2.0,3132.765946,0.000638,Dmitrii Vladimirovich Malkov,RU,None,None
56849,2,5022,0.000398,2.0,3132.765946,0.000638,Kew Solutions Unipessoal Lda,PT,"Freight, Shipment, and Postal Services",Other
43202,2,5022,0.000398,2.0,3132.765946,0.000638,Elektrorazpredelenie Yug EAD,BG,Utilities (Excluding Internet Service),"Electric Power Generation, Transmission, Distribution"
42692,2,5022,0.000398,2.0,3132.765946,0.000638,Overweb Srl,IT,None,None
54113,144,5022,0.028674,1.439804,3132.765946,0.00046,"Fastly, Inc.",US,Computer and Information Technology,Software Development
211027,3,5022,0.000597,1.125,3132.765946,0.000359,Perfect Cloud Technologies LLC,RU,"Media, Publishing, and Broadcasting",Other
202503,17,5022,0.003385,1.0625,3132.765946,0.000339,"DESIS INFORMATICA, SL",ES,Computer and Information Technology,Internet Service Provider (ISP)
