org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
Akamai International B.V.,"[20940, 21342]",9794,0.3434,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
"Amazon.com, Inc.",[16509],5559,0.19491,US,Computer and Information Technology,Hosting and Cloud Provider
"Facebook, Inc.",[32934],1920,0.06732,US,"Retail Stores, Wholesale, and E-commerce Sites",None
Google LLC,"[36492, 15169, 396982]",1822,0.06389,US,Computer and Information Technology,Software Development
"Cloudflare, Inc.","[13335, 395747]",1405,0.04926,US,Computer and Information Technology,Hosting and Cloud Provider
Hostinger International Limited,[47583],963,0.03376,CY,Computer and Information Technology,Software Development
"The Constant Company, LLC",[20473],720,0.02524,US,Computer and Information Technology,Internet Service Provider (ISP)
Hurricane Electric LLC,[6939],687,0.02409,US,Computer and Information Technology,Internet Service Provider (ISP)
wilhelm.tel GmbH,[15943],265,0.00929,DE,Computer and Information Technology,Internet Service Provider (ISP)
Claro NXT Telecomunicacoes Ltda,[28573],264,0.00926,BR,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],227,0.00796,US,Computer and Information Technology,Computer and Network Security
Combell NV,[34762],206,0.00722,BE,Computer and Information Technology,Software Development
VisualViet Company Limited,[135981],179,0.00628,VN,Computer and Information Technology,Internet Service Provider (ISP)
M247 Europe SRL,[9009],168,0.00589,RO,Computer and Information Technology,Internet Service Provider (ISP)
HOSTKEY,[395839],167,0.00586,US,Computer and Information Technology,Phone Provider
UK-2 Limited,[13213],164,0.00575,GB,Computer and Information Technology,Hosting and Cloud Provider
Deutsche Glasfaser Wholesale GmbH,[60294],154,0.0054,DE,Computer and Information Technology,Internet Service Provider (ISP)
Rumahweb,[58487],124,0.00435,ID,Computer and Information Technology,Internet Service Provider (ISP)
Telefonica Germany GmbH & Co.OHG,[6805],115,0.00403,DE,Computer and Information Technology,Internet Service Provider (ISP)
"Akamai Technologies, Inc.","[36183, 63949, 16625]",107,0.0037600000000000003,US,Computer and Information Technology,Computer and Network Security
