category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Service,134,4450,0.030114000000000002,1004.0048059999999,1416.6888585686684,0.7086979999999999,"[397165, 47596, 209242, 61178, 200081, 400519, 15967, 205989, 131662, 201633]"
Computer and Information Technology,3904,4450,0.8773089999999999,284.237973,1416.6888585686684,0.20064099999999996,"[396356, 44812, 210107, 396319, 30633, 20473, 1239, 59504, 62240, 200373, 49581, 7018, 49542, 51837, 61317, 60781, 62217, 51659, 204490, 207990, 213220, 208626, 3175, 29182, 48108, 198571, 212477, 206873, 210499, 49392, 212521, 56534, 22773, 58061, 50902, 54113, 50113, 202235, 49981, 64080, 396362, 15317, 266732, 209146, 60703, 25145, 196733, 43317, 36992, 199669, 196968, 150445, 150347, 28753, 43260, 41108, 396113, 47447, 135605, 30721, 53667, 8772, 6939, 45609, 16509, 36183, 174, 13335, 38732, 53356, 28573, 202528, 33480, 202990, 36791, 58057, 36492, 9009, 15133, 19551, 50867, 40509, 200866, 136620, 199974, 47583, 16724, 203314, 32931, 263110, 20253, 20446, 41378, 212238, 46562, 40676, 60539, 949, 207021, 1921, 205544, 56758, 14153, 208685, 37963, 140810, 48254, 201178, 13213, 198412, 59711, 62874, 56655, 210937, 394923, 209181, 211759, 61323, 63213, 6369, 25923, 30081, 30811, 43357, 47720, 51430, 52041, 55081, 201029, 400797, 200393, 197433, 141039, 139693, 133480, 16625, 6762, 4788, 4761, 4657, 58453]"
None,288,4450,0.06472000000000001,93.14922900000002,1416.6888585686684,0.065753,"[204916, 198231, 210695, 202888, 210852, 42692, 199614, 131910, 147057, 271991, 210842, 151814, 199186, 197730, 200021, 202911, 151407, 216157, 201217, 197919, 197606, 33760, 399358, 216435, 211051, 216452, 54197, 203283, 202662]"
Finance and Insurance,19,4450,0.004269,18.000015,1416.6888585686684,0.012706,"[209968, 60389, 51126, 201836]"
Education and Research,22,4450,0.004945,5.014907,1416.6888585686684,0.003541,"[209641, 56434, 4538, 270410, 141173, 60310, 206981, 140731]"
Manufacturing,6,4450,0.001349,4.000030000000001,1416.6888585686684,0.002824,"[44477, 51259, 23145, 203635]"
"Media, Publishing, and Broadcasting",20,4450,0.004494,2.172165,1416.6888585686684,0.001534,"[211027, 33905, 61112, 199465, 398668, 206843]"
Construction and Real Estate,29,4450,0.006516,2.1045530000000006,1416.6888585686684,0.0014860000000000001,"[52042, 399558, 199925, 151338, 39900]"
"Freight, Shipment, and Postal Services",5,4450,0.001123,2.000046,1416.6888585686684,0.001412,"[56849, 205157]"
Other,11,4450,0.002471,1.0001539999999998,1416.6888585686684,0.000706,"[141444, 50069, 40138, 38008]"
Travel and Accommodation,1,4450,0.000225,1.0,1416.6888585686684,0.000706,[133375]
"Retail Stores, Wholesale, and E-commerce Sites",5,4450,0.001124,0.003967000000000001,1416.6888585686684,3e-06,"[205987, 201572, 207487, 58339]"
Community Groups and Nonprofits,4,4450,0.000898,0.000519,1416.6888585686684,0.0,"[205212, 398962]"
Health Care Services,2,4450,0.000449,0.000488,1416.6888585686684,0.0,[46997]
