category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,4510,5281,0.853939,2134.6593540000003,3782.3209691643715,0.564338,"[204790, 22773, 40970, 30633, 49581, 60781, 34907, 30823, 49191, 396356, 44812, 210107, 32489, 209368, 35048, 213220, 203498, 49981, 197706, 212238, 35761, 35829, 34534, 60111, 60636, 200750, 200430, 60584, 34665, 133944, 200187, 197204, 31617, 31543, 198333, 30813, 60262, 57795, 60021, 59848, 42929, 44050, 44205, 44851, 47540, 42034, 41327, 41230, 48288, 48352, 50629, 39591, 52209, 56485, 57773, 201984, 58011, 35712, 35579, 43341, 25415, 25003, 206833, 13178, 207083, 12552, 208124, 208257, 208261, 8769, 8511, 8422, 5582, 5400, 211170, 211501, 3549, 212144, 3352, 212786, 213222, 396319, 12400, 206028, 205227, 202053, 202844, 203361, 204171, 204326, 204760, 20988, 205068, 43350, 20473, 1239, 59504, 62240, 200373, 7018, 209097, 49542, 51837, 61317, 30873, 62217, 205544, 207990, 51659, 204490, 48108, 198571, 206873, 212477, 210499, 208626, 137409, 62068, 3175, 29182, 211083, 49392, 56534, 212521, 28753, 206150, 50902, 35574, 39384, 58061, 205718, 34939, 206075, 54113, 202503, 16509, 49544, 40676, 50113, 196733, 30742, 202235, 196968, 21378, 135605, 21269, 150445, 36992, 150347, 37204, 15317, 30721, 200128, 61049, 199669, 64080, 198722, 200416, 24971, 25623, 60703, 201080, 34762, 43260, 29551, 25145, 60022, 43317, 50495, 209146, 7979, 6663, 41108, 41114, 211752, 48070, 211895, 47447, 1764, 266732, 396113, 945, 396362, 209045, 8820, 206499, 206548, 12630, 12306, 207729, 39824, 51803, 209041, 53667, 35507, 25198, 8772, 6939, 45609, 60539, 3320, 36183, 174, 13335, 48582, 38732, 58057, 53356, 36791, 4842, 59795, 202528, 8100, 202990, 203500, 12676, 33480, 28573, 213354, 36492, 9009, 19551, 15133, 50867, 40509, 49548, 200866, 199974, 136620, 47583, 208046, 16724, 22439, 263110, 203314, 142594, 48231, 200198, 32931, 20253, 20446, 41378, 208972, 46562, 29290, 42831, 949, 207021, 44016, 42675, 1921, 3356, 56758, 8666, 52048, 41155, 205726, 208685, 14153, 198412, 201178, 203819, 48254, 24239, 209626, 9121, 211400, 199285, 59711, 62874, 136258, 13213, 150698, 200746, 210895, 37963, 140810, 56655, 204915, 60567, 42652, 48619, 41179, 211759, 203, 25923, 200393, 211691, 211547, 61323, 200299, 210937, 400797, 141039, 43357, 139693, 30811, 42673, 394923, 197433, 135671, 30081, 133480, 213268, 47215, 42209, 3194, 47720, 63213, 205090, 50926, 12859, 208223, 203339, 208041, 39216, 51972, 52041, 23764, 203557, 204094, 58336, 55081, 205876, 20546, 51430, 6369, 208333, 209181, 49367, 201029, 209686, 49673, 209225, 8075, 201949, 201958, 36040, 24940, 6762, 4657, 58453, 4761, 16625, 4788]"
Service,172,5281,0.032564,1106.067916,3782.3209691643715,0.29242899999999994,"[397165, 42275, 39913, 208906, 207289, 206616, 205816, 47596, 201364, 209242, 200081, 61178, 48638, 58036, 400519, 199514, 212149, 203843, 205398, 131662, 205989, 204611, 15967, 201633]"
None,340,5281,0.06437399999999999,230.62263099999998,3782.3209691643715,0.060971000000000004,"[204916, 210434, 400842, 56708, 216349, 198231, 210695, 202888, 210852, 42692, 204318, 199614, 200157, 131910, 271991, 147057, 210842, 202685, 198304, 924, 207252, 151814, 199186, 197730, 200021, 199656, 211480, 202911, 208078, 216157, 151407, 216398, 201217, 200690, 216024, 200959, 33760, 197919, 197606, 211381, 211051, 199052, 199684, 399358, 216452, 216435, 210644, 203283, 54197, 209768, 202662]"
Manufacturing,28,5281,0.005299,89.31286600000001,3782.3209691643715,0.023611,"[198668, 210167, 205856, 204860, 204920, 205432, 44477, 5420, 207242, 51259, 210462, 212085, 203635, 23145]"
Education and Research,37,5281,0.007004,56.019392,3782.3209691643715,0.014808999999999998,"[209641, 31019, 3267, 61161, 56434, 4538, 209650, 270410, 210152, 60310, 141173, 209306, 206981, 210025, 140731]"
Finance and Insurance,25,5281,0.004733,39.000015,3782.3209691643715,0.01031,"[57574, 209968, 60389, 62075, 51126, 212944, 2027, 50395, 201836]"
"Retail Stores, Wholesale, and E-commerce Sites",14,5281,0.0026490000000000003,32.004074,3782.3209691643715,0.008461,"[50582, 205243, 205987, 204755, 201572, 204720, 211891, 58339, 207487]"
Construction and Real Estate,51,5281,0.009655,21.124282,3782.3209691643715,0.005584,"[56722, 52042, 203299, 204880, 35085, 399558, 199925, 59538, 151338, 48043, 211358, 39900, 208699, 33932, 204736, 50007]"
"Media, Publishing, and Broadcasting",58,5281,0.010977999999999998,19.434323000000006,3782.3209691643715,0.005138,"[206430, 211027, 208985, 210916, 51579, 33905, 63399, 61112, 199465, 213204, 398668, 20940, 34164, 206843, 22604, 210348, 210344, 210335, 208421, 208850, 208771, 208749]"
"Museums, Libraries, and Entertainment",1,5281,0.000189,16.0,3782.3209691643715,0.00423,[207092]
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",1,5281,0.000189,16.0,3782.3209691643715,0.00423,[51711]
Government and Public Administration,1,5281,0.000189,16.0,3782.3209691643715,0.00423,[204319]
