sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Internet Service Provider (ISP),972,5281,0.184014,1506.4659649999999,3782.3209691643715,0.398264,"[204790, 22773, 40970, 30633, 34907, 30823, 49191, 396356, 44812, 210107, 32489, 209368, 213220, 49981, 212238, 35761, 34534, 60111, 60636, 200750, 34665, 200187, 197204, 31543, 30813, 57795, 59848, 42929, 44050, 44205, 44851, 47540, 41327, 41230, 50629, 39591, 52209, 57773, 35579, 43341, 25415, 25003, 206833, 13178, 207083, 12552, 208257, 208261, 8769, 8511, 8422, 5582, 5400, 211170, 3549, 3352, 213222, 396319, 12400, 202844, 203361, 204326, 204760, 43350, 20473, 1239, 62240, 200373, 7018, 30873, 207990, 51659, 198571, 206873, 208626, 62068, 3175, 211083, 49392, 56534, 212521, 206150, 50902, 35574, 39384, 205718, 202503, 49544, 50113, 196968, 150445, 36992, 37204, 15317, 30721, 61049, 199669, 64080, 198722, 25623, 201080, 29551, 25145, 60022, 43317, 50495, 7979, 6663, 41108, 41114, 48070, 47447, 1764, 266732, 396113, 945, 396362, 209045, 206499, 12630, 12306, 39824, 25198, 8772, 6939, 45609, 3320, 174, 38732, 58057, 53356, 36791, 59795, 202528, 203500, 12676, 33480, 28573, 9009, 15133, 40509, 136620, 16724, 22439, 263110, 203314, 142594, 200198, 32931, 20253, 20446, 41378, 208972, 46562, 42831, 44016, 42675, 3356, 56758, 52048, 41155, 205726, 14153, 203819, 209626, 9121, 211400, 199285, 59711, 62874, 150698, 210895, 140810, 56655, 60567, 42652, 211759, 203, 200393, 400797, 43357, 139693, 42673, 394923, 197433, 30081, 133480, 213268, 47215, 42209, 3194, 47720, 63213, 12859, 208041, 39216, 51972, 52041, 23764, 203557, 204094, 58336, 55081, 205876, 51430, 6369, 209181, 49367, 201029, 209686, 49673, 209225, 201949, 6762, 4657, 58453, 4761, 4788]"
"Law, Business, and Consulting Services",105,5281,0.019880000000000005,1041.0003660000002,3782.3209691643715,0.275227,"[397165, 208906, 207289, 47596, 201364, 209242, 200081, 61178, 203843, 205398, 204611, 15967]"
None,551,5281,0.10431400000000002,597.877514,3782.3209691643715,0.15805900000000003,"[204916, 60781, 210434, 400842, 203498, 209641, 197706, 31019, 198333, 60262, 42034, 48288, 50582, 51711, 56485, 56708, 58011, 35712, 208124, 216349, 206028, 204171, 205243, 198231, 210695, 61317, 62217, 205544, 48108, 212477, 137409, 29182, 202888, 210852, 28753, 61161, 34939, 206075, 42692, 204318, 196733, 30742, 202235, 21378, 135605, 21269, 199614, 200157, 200416, 131910, 209146, 141444, 5420, 48638, 211752, 211895, 271991, 209650, 8820, 51803, 147057, 209041, 210842, 202685, 198304, 35507, 924, 399558, 207252, 151814, 60539, 199186, 48582, 197730, 35487, 200021, 199656, 211480, 60391, 202911, 208078, 141173, 216157, 151407, 216398, 64475, 201217, 200690, 209306, 206981, 398668, 199514, 216024, 212149, 949, 50069, 210025, 207021, 1921, 208753, 208685, 200959, 201178, 201572, 33760, 48254, 197919, 42198, 40138, 197606, 37963, 38008, 211381, 211691, 61323, 211051, 199052, 211944, 199684, 141039, 399358, 140731, 216452, 216435, 210644, 50926, 203283, 58339, 54197, 22604, 208333, 209768, 202662, 24940]"
Software Development,486,5281,0.09202099999999998,206.63300999999998,3782.3209691643715,0.05462700000000001,"[49581, 35048, 60584, 31617, 48352, 212144, 202053, 20988, 205068, 59504, 209097, 51837, 210499, 54113, 150347, 200128, 24971, 60703, 34762, 206548, 207729, 36492, 49548, 200866, 199974, 47583, 198412, 204915, 25923, 211547, 200299, 210937, 8075, 201958, 36040]"
Other,105,5281,0.019876000000000005,85.31478400000005,3782.3209691643715,0.022555000000000002,"[42275, 39913, 56722, 205856, 205816, 211027, 56849, 133375, 197634, 58036, 199925, 63399, 400519, 210152, 205232, 60310, 205987, 46997, 205212, 205157, 136258, 204720, 398962, 211891, 30811, 208223, 207487, 33932, 14445, 205989, 210348, 210344, 210335, 201633, 208421, 208850, 208771, 208749]"
Hosting and Cloud Provider,1539,5281,0.291418,79.35713200000002,3782.3209691643715,0.020980000000000002,"[35829, 211501, 212786, 205227, 49542, 204490, 58061, 16509, 40676, 43260, 53667, 13335, 4842, 202990, 213354, 50867, 208046, 48231, 29290, 8666, 24239, 13213, 200746, 48619, 135671, 205090, 203339]"
Computer and Network Security,1362,5281,0.257903,48.024612000000005,3782.3209691643715,0.012697000000000002,"[200430, 133944, 201984, 36183, 8100, 19551, 41179, 20546, 16625]"
Electronics and Computer Components,6,5281,0.001135,33.125015,3782.3209691643715,0.008757000000000001,"[198668, 204860, 51259, 210462, 23145]"
"Investment, Portfolio Management, Pensions and Funds",21,5281,0.003976,20.000015,3782.3209691643715,0.005287000000000001,"[209968, 62075, 51126, 212944, 2027, 50395, 201836]"
"Banks, Credit Card Companies, Mortgage Providers",4,5281,0.0007570000000000001,19.0,3782.3209691643715,0.0050230000000000006,"[57574, 60389]"
Machinery,2,5281,0.000378,17.0,3782.3209691643715,0.004494000000000001,"[210167, 207242]"
"Colleges, Universities, and Professional Schools",2,5281,0.000378,17.0,3782.3209691643715,0.004494000000000001,"[3267, 4538]"
Radio and Television Providers,2,5281,0.000378,16.0625,3782.3209691643715,0.004247,"[206430, 51579]"
Automotive and Transportation,1,5281,0.000189,16.0,3782.3209691643715,0.00423,[204920]
"Personal Care and Lifestyle (Barber Shops, Nail Salons, Diet Centers, Laundry, etc)",1,5281,0.000189,16.0,3782.3209691643715,0.00423,[206616]
"Law Enforcement, Public Safety, and Justice",1,5281,0.000189,16.0,3782.3209691643715,0.00423,[204319]
Technology Consulting Services,1,5281,0.000189,16.0,3782.3209691643715,0.00423,[60021]
Casinos and Gambling,1,5281,0.000189,16.0,3782.3209691643715,0.00423,[207092]
Chemical and Pharmaceutical Manufacturing,14,5281,0.0026509999999999997,3.1878509999999998,3782.3209691643715,0.000843,"[205432, 212085, 203635]"
Buildings (Residential or Commercial),30,5281,0.005681,3.022613,3782.3209691643715,0.000799,"[52042, 204880, 59538, 151338, 211358, 204736]"
"Metal, Glass, Wood, and Paper Manufacturing",3,5281,0.000568,3.0,3782.3209691643715,0.000793,[44477]
Real Estate (Residential and/or Commercial),8,5281,0.001514,2.000092,3782.3209691643715,0.000528,"[203299, 35085, 39900, 208699, 50007]"
"Electric Power Generation, Transmission, Distribution",2,5281,0.000379,2.0,3782.3209691643715,0.000529,[43202]
Online Informational Content,6,5281,0.001136,1.0078589999999998,3782.3209691643715,0.00026600000000000007,"[208985, 61112, 199465, 206843]"
Elementary and Secondary Schools,1,5281,0.000189,1.0,3782.3209691643715,0.000264,[56434]
Music and Video Industry,3,5281,0.000568,0.1875,3782.3209691643715,5e-05,[210916]
Online Music and Video Streaming Services,31,5281,0.00587,0.039382,3782.3209691643715,1e-05,"[33905, 20940, 34164]"
