category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,15611,27664,0.5642799999999999,45.425424,95.43043706285349,0.476001,"[395839, 44812, 29182, 213220, 29014, 57043, 48261, 53667, 60781, 62240, 64267, 135981, 30721, 140810, 36492, 41405, 138652, 41378, 62874, 13213, 9009, 13335, 45609, 396356, 16509, 56630, 61317, 62217, 262287, 6939, 46841, 138997, 46562, 30633, 54113, 30860, 12876, 40509, 51115, 56655, 33387, 51430, 45027, 835, 6315, 200866, 268972, 8283, 200827, 212238, 55081, 577, 5410, 133480, 8100, 397373, 12167, 62282, 40676, 11990, 21859, 11878, 9498, 26527, 134094, 55410, 55836, 55644, 55818, 211786, 200222, 55990, 56041, 56046, 209622, 209453, 58057, 58453, 58466, 58487, 56040, 264642, 54455, 213192, 397423, 45090, 45474, 45727, 45758, 45899, 395747, 47447, 47583, 48635, 49542, 49544, 49981, 50113, 266768, 58542, 51468, 51873, 262459, 53356, 58541, 60893, 58777, 59437, 44974, 136959, 204490, 137443, 137697, 137702, 138421, 202505, 138915, 140061, 140716, 140903, 147049, 200738, 197695, 198066, 198068, 200487, 198644, 199244, 199274, 199752, 136188, 135967, 205544, 59504, 59605, 60294, 61098, 207996, 207375, 61323, 205766, 134771, 205125, 63410, 63835, 63949, 131445, 133798, 134238, 134756, 44901, 6233, 9299, 9121, 9002, 8943, 8888, 8781, 8697, 8657, 8560, 8422, 8342, 7922, 6805, 6762, 6724, 6718, 9312, 9381, 12849, 12360, 12306, 11019, 10474, 9929, 9500, 9924, 9829, 9824, 9808, 9806, 9534, 6697, 5606, 12874, 5432, 2527, 2519, 1955, 1930, 1680, 1653, 1547, 1299, 1257, 906, 852, 812, 701, 680, 513, 2860, 3214, 3292, 4651, 4837, 4835, 4812, 4811, 4808, 4788, 4657, 4637, 3303, 4230, 4134, 3741, 3462, 3320, 12859, 13030, 44066, 25454, 33438, 30798, 30781, 30764, 29789, 29413, 29222, 29097, 29075, 29066, 28890, 28573, 28075, 27947, 27823, 25923, 34665, 34762, 40630, 43766, 42846, 42487, 41357, 41000, 39122, 35470, 174, 38365, 38266, 38255, 36351, 35826, 25532, 25148, 13285, 17378, 17185, 16625, 16276, 15943, 15802, 15600, 15169, 15133, 15108, 14522, 14340, 14080, 13999, 17428, 17501, 23724, 24961, 24547, 24444, 24400, 24309, 24203, 22822, 18001, 22697, 21575, 21100, 20853, 20473, 19551, 398565]"
Education and Research,65,27664,0.0023490000000000004,30.000008,95.43043706285349,0.314365,"[209641, 1659, 200351, 204679, 4538, 24357]"
None,109,27664,0.003935,17.000058,95.43043706285349,0.178141,"[198231, 197992, 210644, 204916, 197619, 216435, 202888, 41717, 140824, 149151, 210403, 216271, 149042, 197598, 197730, 200241, 38631, 7679, 9354, 10013, 9605, 2497, 33760, 17511]"
Construction and Real Estate,8,27664,0.000289,2.0,95.43043706285349,0.020958,"[199925, 211309, 210079, 16345]"
Finance and Insurance,2,27664,7.2e-05,1.0,95.43043706285349,0.010479,"[60389, 134762]"
"Media, Publishing, and Broadcasting",9774,27664,0.35331,0.004223000000000001,95.43043706285349,4.4e-05,"[396982, 60068, 149485, 20940, 11426, 33363, 43614, 25019, 21342]"
Other,29,27664,0.001048,0.000443,95.43043706285349,5e-06,[397031]
Community Groups and Nonprofits,14,27664,0.0005059999999999999,0.000122,95.43043706285349,1e-06,"[205212, 208492, 35492]"
Health Care Services,11,27664,0.000397,0.000122,95.43043706285349,1e-06,"[46997, 38]"
Government and Public Administration,45,27664,0.0016269999999999998,1.5e-05,95.43043706285349,0.0,"[19969, 397232, 397226, 397224, 62571, 134768, 15130]"
Service,45,27664,0.001626,1.5e-05,95.43043706285349,0.0,"[205100, 210083, 131662, 1221, 40994, 15967]"
"Retail Stores, Wholesale, and E-commerce Sites",1890,27664,0.06831899999999999,1e-06,95.43043706285349,0.0,"[32934, 48581, 209114, 11917]"
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",42,27664,0.001518,0.0,95.43043706285349,0.0,[208058]
"Freight, Shipment, and Postal Services",13,27664,0.00047,0.0,95.43043706285349,0.0,[3389]
"Museums, Libraries, and Entertainment",6,27664,0.00021700000000000002,0.0,95.43043706285349,0.0,"[137753, 131486]"
