sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
None,2372,27664,0.08573199999999999,59.086381,95.43043706285349,0.619155,"[209641, 29182, 198231, 197992, 29014, 210644, 204916, 60781, 197619, 41405, 397031, 56630, 61317, 62217, 216435, 12876, 51115, 202888, 200827, 41717, 62282, 140824, 149151, 32934, 210403, 55990, 48581, 51468, 216271, 58777, 137697, 137702, 138421, 138915, 140061, 140716, 140903, 149042, 197598, 197695, 197730, 198068, 198644, 205544, 208058, 200241, 61098, 61323, 134756, 38, 38631, 44901, 8888, 7679, 6724, 9354, 10013, 11917, 11426, 9806, 9605, 2497, 513, 3389, 33363, 29222, 29097, 29066, 27823, 33760, 38365, 35492, 17511, 21100]"
Internet Service Provider (ISP),4990,27664,0.18036,22.537965,95.43043706285349,0.23616900000000002,"[44812, 213220, 57043, 48261, 62240, 64267, 135981, 30721, 140810, 138652, 41378, 62874, 9009, 45609, 396356, 6939, 46841, 138997, 46562, 30633, 30860, 40509, 56655, 33387, 51430, 835, 6315, 268972, 212238, 55081, 577, 5410, 133480, 397373, 12167, 11990, 21859, 11878, 9498, 26527, 134094, 55410, 55836, 55644, 55818, 211786, 200222, 56041, 56046, 209453, 58057, 58453, 58487, 56040, 264642, 397423, 45474, 45727, 45758, 45899, 47447, 49544, 49981, 50113, 266768, 58542, 51873, 262459, 53356, 58541, 60893, 59437, 44974, 136959, 147049, 200738, 198066, 199244, 199274, 199752, 136188, 59605, 60294, 207996, 207375, 205766, 134771, 63410, 63835, 131445, 133798, 134238, 9299, 9121, 9002, 8943, 8781, 8697, 8657, 8560, 8422, 8342, 7922, 6805, 6762, 6718, 9312, 9381, 12849, 12360, 12306, 10474, 9929, 9500, 9924, 9829, 9824, 9808, 9534, 6697, 5606, 12874, 5432, 2527, 2519, 1955, 1930, 1680, 1653, 1547, 1299, 1257, 906, 852, 812, 701, 680, 2860, 3214, 3292, 4651, 4837, 4835, 4812, 4811, 4808, 4788, 4657, 4637, 3303, 4230, 4134, 3741, 3462, 3320, 12859, 13030, 44066, 25454, 30798, 30781, 30764, 29789, 29413, 29075, 28890, 28573, 28075, 27947, 34665, 40630, 43766, 42846, 42487, 41357, 41000, 174, 38266, 38255, 35826, 13285, 17378, 17185, 15943, 15802, 15600, 15169, 15133, 15108, 14522, 14080, 13999, 17501, 23724, 24961, 24547, 24444, 24400, 24309, 24203, 22822, 18001, 22697, 21575, 20853, 20473, 398565]"
Phone Provider,168,27664,0.006073,9.672119,95.43043706285349,0.101353,[395839]
Other,27,27664,0.000975,2.0002440000000004,95.43043706285349,0.020960000000000003,"[199925, 205212, 46997, 45090, 200351, 209114, 40994, 25148]"
Hosting and Cloud Provider,7124,27664,0.257516,1.0003549999999999,95.43043706285349,0.010483000000000001,"[53667, 13213, 13335, 16509, 262287, 8283, 40676, 54455, 213192, 395747, 48635, 49542, 204490, 137443, 202505, 200487, 135967, 6233, 35470, 16276, 14340]"
"Banks, Credit Card Companies, Mortgage Providers",1,27664,3.6e-05,1.0,95.43043706285349,0.010479,[60389]
Software Development,2802,27664,0.10128599999999999,0.129101,95.43043706285349,0.001352,"[36492, 54113, 45027, 200866, 209622, 58466, 47583, 59504, 205125, 63949, 25923, 34762, 39122, 36351, 25532, 17428]"
Online Music and Video Streaming Services,9755,27664,0.352624,0.004125000000000001,95.43043706285349,4.2999999999999995e-05,"[396982, 60068, 20940, 43614, 25019, 21342]"
Online Informational Content,15,27664,0.000542,9.8e-05,95.43043706285349,1e-06,[149485]
"Law, Business, and Consulting Services",43,27664,0.001554,1.5e-05,95.43043706285349,0.0,"[205100, 210083, 1221, 15967]"
"Military, Defense, National Security, and International Affairs",37,27664,0.0013379999999999998,1.5e-05,95.43043706285349,0.0,"[19969, 397232, 397226, 397224, 62571]"
"Colleges, Universities, and Professional Schools",14,27664,0.000505,8e-06,95.43043706285349,0.0,"[1659, 204679, 4538, 24357]"
Computer and Network Security,290,27664,0.010482,5e-06,95.43043706285349,0.0,"[8100, 11019, 33438, 16625, 19551]"
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4,27664,0.000145,0.0,95.43043706285349,0.0,[208492]
"Government and Regulatory Agencies, Administrations, Departments, and Services",5,27664,0.000181,0.0,95.43043706285349,0.0,[134768]
"Investment, Portfolio Management, Pensions and Funds",1,27664,3.6e-05,0.0,95.43043706285349,0.0,[134762]
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1,27664,3.6e-05,0.0,95.43043706285349,0.0,[131662]
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6,27664,0.00021700000000000002,0.0,95.43043706285349,0.0,"[211309, 210079, 16345]"
"Recreation, Sports, and Performing Arts",6,27664,0.00021700000000000002,0.0,95.43043706285349,0.0,"[137753, 131486]"
"Law Enforcement, Public Safety, and Justice",3,27664,0.000108,0.0,95.43043706285349,0.0,[15130]
