sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
"Law, Business, and Consulting Services",90,4395,0.020479999999999998,1004.000244,1394.5556035637856,0.719943,"[397165, 47596, 209242, 61178, 200081, 15967]"
Internet Service Provider (ISP),639,4395,0.145416,195.220653,1394.5556035637856,0.139983,"[396356, 44812, 210107, 396319, 30633, 20473, 62240, 200373, 51659, 207990, 213220, 208626, 206873, 3175, 7018, 49392, 56534, 212521, 198571, 50902, 22773, 1239, 50113, 396362, 64080, 15317, 49981, 266732, 47447, 396113, 25145, 30721, 199669, 36992, 150445, 196968, 43317, 41108, 8772, 6939, 45609, 174, 53356, 58057, 38732, 28573, 33480, 202528, 36791, 9009, 15133, 40509, 136620, 16724, 263110, 203314, 32931, 20253, 20446, 41378, 212238, 46562, 56758, 14153, 140810, 59711, 62874, 394923, 209181, 211759, 63213, 6369, 30081, 43357, 47720, 51430, 52041, 55081, 133480, 400797, 201029, 200393, 197433, 139693, 6762, 4788, 4761, 4657, 58453]"
None,380,4395,0.08647700000000004,123.10165500000004,1394.5556035637856,0.08827200000000002,"[204916, 198231, 210695, 61317, 60781, 62217, 48108, 29182, 212477, 209641, 42692, 210852, 209146, 131910, 28753, 271991, 199614, 147057, 141444, 135605, 202235, 196733, 210842, 399558, 151814, 199186, 197730, 200021, 151407, 202911, 141173, 216157, 201217, 398668, 206981, 60539, 949, 50069, 1921, 207021, 208685, 205544, 38008, 40138, 48254, 197606, 197919, 37963, 201572, 201178, 33760, 399358, 211051, 216435, 216452, 61323, 54197, 58339, 202662, 203283, 202888, 141039, 140731]"
Software Development,439,4395,0.09988700000000002,28.632033,1394.5556035637856,0.020529,"[59504, 49581, 51837, 210499, 54113, 60703, 150347, 36492, 200866, 199974, 47583, 198412, 210937, 25923]"
"Investment, Portfolio Management, Pensions and Funds",16,4395,0.003641,15.000015,1394.5556035637856,0.010756,"[209968, 51126, 201836]"
Hosting and Cloud Provider,1489,4395,0.338795,13.348222,1394.5556035637856,0.009570999999999998,"[49542, 204490, 58061, 43260, 53667, 16509, 13335, 202990, 50867, 40676, 13213]"
Other,69,4395,0.015704000000000003,4.173567000000001,1394.5556035637856,0.002992,"[56849, 211027, 133375, 199925, 400519, 205987, 60310, 46997, 205212, 205157, 207487, 30811, 205989, 201633]"
"Metal, Glass, Wood, and Paper Manufacturing",3,4395,0.000683,3.0,1394.5556035637856,0.002151,[44477]
"Banks, Credit Card Companies, Mortgage Providers",3,4395,0.000683,3.0,1394.5556035637856,0.002151,[60389]
Buildings (Residential or Commercial),16,4395,0.00364,2.006851,1394.5556035637856,0.001439,"[52042, 151338]"
Electronics and Computer Components,2,4395,0.000456,1.000015,1394.5556035637856,0.000717,"[51259, 23145]"
Elementary and Secondary Schools,1,4395,0.000228,1.0,1394.5556035637856,0.000717,[56434]
"Colleges, Universities, and Professional Schools",1,4395,0.000228,1.0,1394.5556035637856,0.000717,[4538]
Online Music and Video Streaming Services,10,4395,0.002275,0.039062,1394.5556035637856,2.8e-05,[33905]
Computer and Network Security,1215,4395,0.27645100000000006,0.018524,1394.5556035637856,1.3000000000000001e-05,"[36183, 19551, 16625]"
Online Informational Content,5,4395,0.0011380000000000001,0.007859,1394.5556035637856,6e-06,"[61112, 199465, 206843]"
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13,4395,0.002958,0.006836,1394.5556035637856,5e-06,[270410]
Real Estate (Residential and/or Commercial),3,4395,0.000683,4.6e-05,1394.5556035637856,0.0,[39900]
Chemical and Pharmaceutical Manufacturing,1,4395,0.000228,1.5e-05,1394.5556035637856,0.0,[203635]
