org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
"Amazon.com, Inc.",[16509],1212,0.23732,US,Computer and Information Technology,Hosting and Cloud Provider
"Akamai Technologies, Inc.","[36183, 16625]",1192,0.23341,US,Computer and Information Technology,Computer and Network Security
"Cloudflare, Inc.",[13335],252,0.04934,US,Computer and Information Technology,Hosting and Cloud Provider
Google LLC,[36492],221,0.04327,US,Computer and Information Technology,Software Development
Bharti Airtel Limited,[45609],165,0.03231,IN,Computer and Information Technology,Internet Service Provider (ISP)
"Fastly, Inc.",[54113],144,0.0282,US,Computer and Information Technology,Software Development
Rohmad Kumiadin,[210842],125,0.02448,ID,None,None
Incapsula Inc,[19551],124,0.02428,US,Computer and Information Technology,Computer and Network Security
"RACKTECH CO., LTD.",[204916],102,0.01997,TH,None,None
Edgecast Inc.,"[15133, 14153]",89,0.01743,US,Computer and Information Technology,Internet Service Provider (ISP)
EpicUp Holdings Inc,[397165],62,0.01214,US,Service,"Law, Business, and Consulting Services"
M247 Europe SRL,[9009],57,0.01116,RO,Computer and Information Technology,Internet Service Provider (ISP)
"Fly.io, Inc.",[40509],51,0.00999,US,Computer and Information Technology,Internet Service Provider (ISP)
Developed Methods LLC,[400519],41,0.00803,US,Service,Other
Clouvider Limited,[62240],34,0.00666,GB,Computer and Information Technology,Internet Service Provider (ISP)
Akamai International B.V.,"[20940, 33905, 34164]",31,0.00607,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
IP SERVER LLC,[44812],29,0.00568,RU,Computer and Information Technology,Internet Service Provider (ISP)
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,[210107],24,0.0047,TR,Computer and Information Technology,Internet Service Provider (ISP)
Hostinger International Limited,"[47583, 204915]",22,0.00431,CY,Computer and Information Technology,Software Development
Hivelocity Inc,[61317],22,0.00431,US,Computer and Information Technology,None
John Mark Gabriel Caguicla,[200866],21,0.00411,PH,Computer and Information Technology,Software Development
Kew Solutions Unipessoal Lda,"[209968, 51126, 56849, 52042]",18,0.0035300000000000006,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
"DESIS INFORMATICA, SL",[202503],18,0.00352,ES,Computer and Information Technology,Internet Service Provider (ISP)
"The Constant Company, LLC",[20473],17,0.00333,US,Computer and Information Technology,Internet Service Provider (ISP)
"Cloudflare London, LLC",[209242],16,0.00313,US,Service,"Law, Business, and Consulting Services"
"Leaseweb USA, Inc.","[30633, 396362]",15,0.00294,US,Computer and Information Technology,Internet Service Provider (ISP)
POLONETWORK LIMITED,[151338],14,0.00274,HK,Construction and Real Estate,Buildings (Residential or Commercial)
"StackPath, LLC.",[20446],13,0.00255,US,Computer and Information Technology,Internet Service Provider (ISP)
Kirino LLC,[41378],13,0.00255,US,Computer and Information Technology,Internet Service Provider (ISP)
Infosimples Ltda.,[270410],13,0.00255,BR,Education and Research,"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)"
Qwilt Inc.,[20253],13,0.00255,US,Computer and Information Technology,Internet Service Provider (ISP)
LLC Vpsville,[59504],12,0.00235,RU,Computer and Information Technology,Software Development
3xK Tech GmbH,"[200373, 198571]",12,0.00235,DE,Computer and Information Technology,Internet Service Provider (ISP)
Securebit AG,[58057],11,0.00215,CH,Computer and Information Technology,Internet Service Provider (ISP)
Huicast Telecom Limited,[60539],11,0.00215,HK,Computer and Information Technology,None
Hammy Web Services LLC,[212149],11,0.00215,US,Service,None
Psychz Networks,[40676],11,0.00215,US,Computer and Information Technology,Hosting and Cloud Provider
Deutsche Telekom AG,[3320],9,0.00176,DE,Computer and Information Technology,Internet Service Provider (ISP)
Datacamp Limited,[212238],9,0.00176,GB,Computer and Information Technology,Internet Service Provider (ISP)
Dmitrii Vladimirovich Malkov,"[210695, 210852]",9,0.0017599999999999998,RU,None,None
Vinters IT Ltd,[62217],9,0.00176,GB,Computer and Information Technology,None
SIXNET OPERATION LTD,[198231],9,0.00176,GB,None,None
LeaseWeb Netherlands B.V.,[60781],9,0.00176,NL,Computer and Information Technology,None
Amanah Tech Inc.,[32489],9,0.00176,CA,Computer and Information Technology,Internet Service Provider (ISP)
IT Express Ltd.,[47596],9,0.00176,UA,Service,"Law, Business, and Consulting Services"
Noinet Societa Cooperativa,[209368],9,0.00176,IT,Computer and Information Technology,Internet Service Provider (ISP)
"Misaka Network, Inc.","[50069, 35487]",9,0.00176,US,Other,None
Phan Nhat Nghi,[199925],9,0.00176,VG,Construction and Real Estate,Other
UPSTREAM NETWORK LTD,"[59538, 202888]",8,0.00157,GB,Construction and Real Estate,Buildings (Residential or Commercial)
Ferdinand Zink trading as Tube-Hosting,[49581],8,0.00157,DE,Computer and Information Technology,Software Development
Falco ISP Services B.V.,[204790],8,0.00157,NL,Computer and Information Technology,Internet Service Provider (ISP)
