as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
16509,1225,0.27048,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
36183,1218,0.26893,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
13335,248,0.05476,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
36492,221,0.0488,Google LLC,US,Computer and Information Technology,Software Development
45609,165,0.03643,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
54113,148,0.03268,"Fastly, Inc.",US,Computer and Information Technology,Software Development
210842,125,0.0276,Rohmad Kumiadin,ID,None,None
204916,103,0.02274,"RACKTECH CO., LTD.",TH,None,None
15133,86,0.01899,Edgecast Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
19551,86,0.01899,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
397165,62,0.01369,EpicUp Holdings Inc,US,Service,"Law, Business, and Consulting Services"
40509,52,0.01148,"Fly.io, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
400519,41,0.00905,Developed Methods LLC,US,Service,Other
9009,35,0.00773,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
62240,32,0.00707,Clouvider Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
44812,30,0.00662,IP SERVER LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
47583,21,0.00464,Hostinger International Limited,CY,Computer and Information Technology,Software Development
200866,20,0.00442,John Mark Gabriel Caguicla,PH,Computer and Information Technology,Software Development
210107,17,0.00375,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
209242,16,0.00353,"Cloudflare London, LLC",US,Service,"Law, Business, and Consulting Services"
20253,15,0.00331,Qwilt Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
20473,15,0.00331,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
30633,14,0.00309,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
151338,14,0.00309,POLONETWORK LIMITED,HK,Construction and Real Estate,Buildings (Residential or Commercial)
209968,13,0.00287,Kew Solutions Unipessoal Lda,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
61317,13,0.00287,Hivelocity Inc,US,Computer and Information Technology,None
