country,country_alias_num,country_all_num,country_ratio,sta_country_alias_num,sta_country_all_num,sat_country_ratio,as
GB,320,26614,0.012026,33.000354,87.32851337779826,0.377887,"[209641, 210644, 13213, 60068, 62217, 212238, 202888, 200241, 205544, 61323, 9002, 8943, 13285, 35826]"
RU,106,26614,0.003986,20.000045,87.32851337779826,0.229021,"[29182, 213220, 44812, 30721, 45027, 51115, 59504, 49542, 204490, 199274, 210079, 197695, 8342, 28890, 25532, 34665, 16345]"
US,12285,26614,0.46160199999999996,19.557056000000003,87.32851337779826,0.22394599999999998,"[395839, 197992, 48261, 53667, 197619, 64267, 36492, 396982, 41378, 62874, 397031, 46997, 13335, 61317, 396356, 6939, 46841, 216435, 46562, 16509, 30633, 54113, 19969, 40509, 33387, 200827, 6315, 55081, 8100, 397373, 12167, 40676, 11990, 21859, 32934, 11878, 26527, 48581, 54455, 38, 209622, 395747, 397224, 397226, 397232, 397423, 62571, 63410, 63949, 197598, 7922, 6233, 11917, 11426, 11019, 906, 701, 3389, 33363, 29789, 25923, 33438, 33760, 40630, 174, 36351, 17185, 16625, 15169, 15133, 15130, 15108, 14340, 17378, 22822, 22697, 20473, 19551, 398565]"
NL,9684,26614,0.363869,5.000092,87.32851337779826,0.057256,"[57043, 60781, 20940, 51430, 48635, 49544, 49981, 60893, 207375, 208492, 211786, 213192, 199752, 12859, 35470, 21342]"
DE,646,26614,0.024275000000000005,4.000015,87.32851337779826,0.045804,"[29014, 205100, 60294, 59437, 47447, 209114, 205766, 208058, 44974, 8560, 8422, 6805, 6724, 12360, 12306, 680, 3214, 3320, 44066, 29413, 29066, 24961, 15943]"
TH,57,26614,0.0021409999999999997,3.0,87.32851337779826,0.034353,"[204916, 45758, 131445, 4651]"
VG,3,26614,0.000113,2.0,87.32851337779826,0.022902,"[199925, 197730]"
VN,258,26614,0.009693000000000002,0.6767769999999999,87.32851337779826,0.007749,"[135981, 140810, 149151, 140824, 45899, 135967]"
FR,132,26614,0.004959999999999999,0.085716,87.32851337779826,0.000981,"[41405, 12876, 5410, 209453, 29075, 30781, 42487, 16276]"
JP,29,26614,0.0010910000000000002,0.007812,87.32851337779826,8.9e-05,"[138652, 7679, 9354, 9824, 9605, 2497, 2527, 38631, 17511]"
RO,200,26614,0.007515000000000001,0.000151,87.32851337779826,2e-06,"[9009, 6718, 5606]"
CA,109,26614,0.004096,0.000145,87.32851337779826,1e-06,"[205212, 835, 577, 53356, 200351, 852, 812]"
AU,64,26614,0.002406,0.000106,87.32851337779826,1e-06,"[149485, 133480, 8888, 1221]"
IN,227,26614,0.008528999999999998,6.2e-05,87.32851337779826,1e-06,"[45609, 9498, 55410, 55836, 55644, 9829, 38266, 24309]"
LT,6,26614,0.000226,4.9e-05,87.32851337779826,1e-06,"[56630, 62282]"
BR,232,26614,0.008718,4.9e-05,87.32851337779826,0.0,"[262287, 268972, 262459, 4230, 28573]"
HK,65,26614,0.002443,3.9e-05,87.32851337779826,0.0,"[138997, 41717, 58453, 45474, 138915, 149042, 9312, 9381, 4637]"
UA,3,26614,0.000113,1.5e-05,87.32851337779826,0.0,"[30860, 21100]"
NO,6,26614,0.000226,1.5e-05,87.32851337779826,0.0,"[56655, 211309, 25148]"
TW,41,26614,0.001542,9e-06,87.32851337779826,0.0,"[1659, 134094, 131662, 9924, 3462]"
SC,3,26614,0.000113,0.0,87.32851337779826,0.0,[205125]
PE,1,26614,3.8e-05,0.0,87.32851337779826,0.0,[21575]
MY,25,26614,0.000939,0.0,87.32851337779826,0.0,"[9534, 4788]"
NP,14,26614,0.000526,0.0,87.32851337779826,0.0,[17501]
NZ,31,26614,0.001165,0.0,87.32851337779826,0.0,[9500]
PA,1,26614,3.8e-05,0.0,87.32851337779826,0.0,[147049]
PL,6,26614,0.000226,0.0,87.32851337779826,0.0,"[204679, 15967, 20853]"
SE,75,26614,0.002819,0.0,87.32851337779826,0.0,"[1653, 1299, 1257]"
TR,12,26614,0.00045099999999999996,0.0,87.32851337779826,0.0,"[202505, 9121, 42846]"
SK,1,26614,3.8e-05,0.0,87.32851337779826,0.0,[200222]
PT,28,26614,0.001052,0.0,87.32851337779826,0.0,"[2860, 1930]"
QA,14,26614,0.000526,0.0,87.32851337779826,0.0,[8781]
SG,18,26614,0.000676,0.0,87.32851337779826,0.0,[4657]
MX,9,26614,0.000338,0.0,87.32851337779826,0.0,[13999]
SA,17,26614,0.000639,0.0,87.32851337779826,0.0,"[43766, 25019]"
AE,1,26614,3.8e-05,0.0,87.32851337779826,0.0,[15802]
IT,60,26614,0.002254,0.0,87.32851337779826,0.0,[6762]
MD,9,26614,0.000338,0.0,87.32851337779826,0.0,[1547]
LK,3,26614,0.000113,0.0,87.32851337779826,0.0,[18001]
AT,3,26614,0.000113,0.0,87.32851337779826,0.0,"[40994, 35492]"
