country,number of aliased prefix,ratio of aliased prefix
US,13782,0.45621
NL,10042,0.33243
CY,976,0.03231
DE,833,0.02758
GB,475,0.0157
BR,384,0.01271
CA,309,0.01021
VN,275,0.00912
FR,264,0.00874
BE,247,0.00818
CN,247,0.00814
ID,238,0.00787
IN,233,0.00769
TH,224,0.00741
RO,218,0.00722
RU,143,0.00472
LT,132,0.00436
SE,105,0.00347
ES,92,0.00304
AU,88,0.0029000000000000002
MD,81,0.00268
HK,79,0.0026
TR,68,0.00224
IT,65,0.00215
TW,58,0.00193
CH,55,0.00181
BY,35,0.00116
NZ,32,0.0010600000000000002
JP,32,0.00105
PT,31,0.00102
DK,31,0.00103
MY,29,0.00096
IL,29,0.00095
SA,20,0.00066
SG,20,0.00066
ZA,19,0.0006299999999999999
FI,17,0.0005600000000000001
IE,14,0.00046
MX,14,0.00046
NP,14,0.00046
JO,13,0.00043
CZ,13,0.00043
EC,13,0.00043000000000000004
AT,12,0.0004
LV,12,0.0004
UA,11,0.00035999999999999997
BZ,10,0.00033
NO,9,0.00028
PL,7,0.00021999999999999998
EE,5,0.00017
AR,5,0.00017
HU,5,0.00015999999999999999
SC,4,0.00013
CW,4,0.00013
OM,3,0.0001
GR,3,9.999999999999999e-05
VG,3,9.999999999999999e-05
LB,3,0.0001
LK,3,0.0001
EU,2,7e-05
BG,2,6e-05
CO,2,6e-05
PA,1,3e-05
BH,1,3e-05
VU,1,3e-05
KH,1,3e-05
SI,1,3e-05
SK,1,3e-05
PH,1,3e-05
HR,1,3e-05
QA,1,3e-05
KG,1,3e-05
AE,1,3e-05
