sub_category,number of aliased prefix,ratio of aliased prefix
Online Music and Video Streaming Services,9933,0.32885
Hosting and Cloud Provider,7429,0.24594000000000002
Internet Service Provider (ISP),6152,0.20344
None,3000,0.09924000000000001
Software Development,2902,0.09605999999999999
Computer and Network Security,383,0.01267
Phone Provider,168,0.00556
Other,57,0.00188
"Law, Business, and Consulting Services",50,0.0016400000000000002
"Military, Defense, National Security, and International Affairs",37,0.00123
"Colleges, Universities, and Professional Schools",26,0.0008500000000000001
Online Informational Content,20,0.00066
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",8,0.00026000000000000003
"Recreation, Sports, and Performing Arts",6,0.0002
"Government and Regulatory Agencies, Administrations, Departments, and Services",5,0.00017
"Metal, Glass, Wood, and Paper Manufacturing",5,0.00017
"Banks, Credit Card Companies, Mortgage Providers",4,0.00013
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4,0.00013
"Investment, Portfolio Management, Pensions and Funds",3,9e-05
Insurance Carriers and Agencies,3,0.0001
"Law Enforcement, Public Safety, and Justice",3,0.0001
Machinery,2,6e-05
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",2,7e-05
Radio and Television Providers,2,7e-05
"Food, Grocery, Beverages",1,3e-05
