category,number of aliased prefix,ratio of aliased prefix
Computer and Information Technology,16336,0.56904
"Media, Publishing, and Broadcasting",9853,0.34379
"Retail Stores, Wholesale, and E-commerce Sites",1949,0.06798
None,158,0.00544
Education and Research,91,0.00315
Community Groups and Nonprofits,54,0.00188
Service,49,0.00168
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",44,0.00154
Government and Public Administration,41,0.00142
Other,34,0.00119
"Freight, Shipment, and Postal Services",13,0.00045
Finance and Insurance,9,0.0003
Construction and Real Estate,8,0.00027
Manufacturing,7,0.00023
"Museums, Libraries, and Entertainment",6,0.0002
Health Care Services,5,0.00017
Utilities (Excluding Internet Service),1,3e-05
