country,country_alias_num,country_all_num,country_ratio,sta_country_alias_num,sta_country_all_num,sat_country_ratio
AE,1.0,26105.0,3.830683777054204e-05,0.0,82.32867862469098,0.0
AL,2.0,5107.0,0.00039161934599569217,32.0,3590.034241259098,0.008913564007895633
AM,1.0,5107.0,0.00019580967299784609,16.0,3590.034241259098,0.004456782003947816
AR,10.0,31212.0,0.0003203895937459951,1.0,3672.362919883789,0.0002723042416602019
AT,18.0,31212.0,0.0005767012687427913,49.062652,3672.362919883789,0.013359968246698389
AU,68.0,31212.0,0.002178649237472767,3.000121,3672.362919883789,0.0008169456737938467
BE,248.0,31212.0,0.00794566192490068,18.0,3672.362919883789,0.004901476349883634
BG,7.0,31212.0,0.0002242727156221966,48.000046000000005,3672.362919883789,0.01307061612568481
BH,1.0,26105.0,3.830683777054204e-05,0.0,82.32867862469098,0.0
BR,222.0,31212.0,0.007112648981161092,0.011035,3672.362919883789,3.004877306720328e-06
BY,32.0,26105.0,0.0012258188086573453,0.0,82.32867862469098,0.0
BZ,8.0,31212.0,0.0002563116749967961,0.000107,3672.362919883789,2.9136553857641606e-08
CA,132.0,31212.0,0.004229142637447136,26.075171000000005,3672.362919883789,0.00710037966531509
CH,71.0,31212.0,0.0022747661155965654,66.066788,3672.362919883789,0.01799026660526533
CN,227.0,31212.0,0.00727284377803409,2.07083,3672.362919883789,0.000563895792757196
CO,1.0,26105.0,3.830683777054204e-05,0.0,82.32867862469098,0.0
CY,965.0,31212.0,0.03091759579648853,1.0003960000000005,3672.362919883789,0.0002724120741398995
CZ,17.0,31212.0,0.0005446623093681918,54.00003,3672.362919883789,0.014704437218778154
DE,739.0,31212.0,0.02367679097782904,262.4934820000001,3672.362919883789,0.07147808855675589
DK,35.0,31212.0,0.001121363578110983,17.000015,3672.362919883789,0.004629176192787058
EC,15.0,26105.0,0.0005746025665581306,0.0,82.32867862469098,0.0
EE,4.0,26105.0,0.00015322735108216817,0.0,82.32867862469098,0.0
EG,1.0,5107.0,0.00019580967299784609,1.0,3590.034241259098,0.0002785488752467385
ES,29.0,31212.0,0.0009291298218633858,81.066467,3672.362919883789,0.022074742820506785
FI,6.0,31212.0,0.00019223375624759708,35.0,3672.362919883789,0.009530648458107067
FR,158.0,31212.0,0.005062155581186723,140.085807,3672.362919883789,0.038145959442492404
GB,476.0,31212.0,0.015250544662309368,245.179597,3672.362919883789,0.06676344423163892
GR,1.0,5107.0,0.00019580967299784609,1.0,3590.034241259098,0.0002785488752467385
HK,108.0,31212.0,0.0034602076124567475,7.093483000000001,3672.362919883789,0.0019315855090445344
HR,6.0,31212.0,0.00019223375624759708,3.125,3672.362919883789,0.000850950755188131
HU,2.0,31212.0,6.407791874919902e-05,1.0,3672.362919883789,0.0002723042416602019
ID,351.0,31212.0,0.01124567474048443,0.601807,3672.362919883789,0.00016387459876080114
IE,10.0,31212.0,0.0003203895937459951,1.5e-05,3672.362919883789,4.084563624903029e-09
IL,8.0,31212.0,0.0002563116749967961,32.0,3672.362919883789,0.00871373573312646
IN,396.0,31212.0,0.012687427912341407,4.039674,3672.362919883789,0.0011000203651244345
IR,5.0,5107.0,0.0009790483649892304,80.0,3590.034241259098,0.02228391001973908
IT,92.0,31212.0,0.002947584262463155,109.066787,3672.362919883789,0.02969934872434977
JO,13.0,26105.0,0.0004979888910170466,0.0,82.32867862469098,0.0
JP,33.0,31212.0,0.001057285659361784,1.007827,3672.362919883789,0.0002744355669596763
KG,1.0,5107.0,0.00019580967299784609,16.0,3590.034241259098,0.004456782003947816
KR,1.0,5107.0,0.00019580967299784609,1.0,3590.034241259098,0.0002785488752467385
KZ,1.0,5107.0,0.00019580967299784609,1.0,3590.034241259098,0.0002785488752467385
LK,3.0,26105.0,0.00011492051331162612,0.0,82.32867862469098,0.0
LT,10.0,31212.0,0.0003203895937459951,34.000049,3672.362919883789,0.009258357559354707
LV,7.0,5107.0,0.0013706677109849227,3.000061,3590.034241259098,0.0008356636172216056
MD,10.0,31212.0,0.0003203895937459951,16.0,3672.362919883789,0.00435686786656323
MK,1.0,5107.0,0.00019580967299784609,16.0,3590.034241259098,0.004456782003947816
MT,1.0,5107.0,0.00019580967299784609,1.0,3590.034241259098,0.0002785488752467385
MX,8.0,26105.0,0.00030645470216433634,0.0,82.32867862469098,0.0
MY,26.0,31212.0,0.0008330129437395873,0.0,3672.362919883789,0.0
NL,9548.0,31212.0,0.30590798410867615,294.048994,3672.362919883789,0.08007078832211527
NO,9.0,31212.0,0.0002883506343713956,16.004165,3672.362919883789,0.004358002013729745
NP,14.0,26105.0,0.0005362957287875885,0.0,82.32867862469098,0.0
NZ,32.0,31212.0,0.0010252466999871844,1.5e-05,3672.362919883789,4.084563624903029e-09
None,3.0,5107.0,0.0005874290189935383,1.003921,3590.034241259098,0.000279641065386581
PA,2.0,31212.0,6.407791874919902e-05,1.5e-05,3672.362919883789,4.084563624903029e-09
PE,2.0,31212.0,6.407791874919902e-05,1.0,3672.362919883789,0.0002723042416602019
PH,22.0,31212.0,0.0007048571062411893,0.000549,3672.362919883789,1.4949502867145085e-07
PK,1.0,5107.0,0.00019580967299784609,1.0,3590.034241259098,0.0002785488752467385
PL,17.0,31212.0,0.0005446623093681918,66.00007500000001,3672.362919883789,0.017972100372391452
PT,48.0,31212.0,0.0015378700499807767,19.000015,3672.362919883789,0.0051737846761074615
QA,14.0,26105.0,0.0005362957287875885,0.0,82.32867862469098,0.0
RO,179.0,31212.0,0.005734973728053313,1.0027780000000002,3672.362919883789,0.000273060702843534
RU,236.0,31212.0,0.007561194412405485,259.519806,3672.362919883789,0.07066834396863272
SA,1.0,26105.0,3.830683777054204e-05,0.0,82.32867862469098,0.0
SC,4.0,26105.0,0.00015322735108216817,0.0,82.32867862469098,0.0
SE,84.0,31212.0,0.002691272587466359,49.000091,3672.362919883789,0.013342932621035884
SG,21.0,31212.0,0.0006728181468665898,17.0,3672.362919883789,0.004629172108223433
SK,2.0,31212.0,6.407791874919902e-05,1.5e-05,3672.362919883789,4.084563624903029e-09
TH,159.0,31212.0,0.005094194540561323,100.3125,3672.362919883789,0.027315519241539004
TR,56.0,31212.0,0.0017941817249775727,32.000198999999995,3672.362919883789,0.00871378992167055
TW,49.0,31212.0,0.001569909009355376,2.004235,3672.362919883789,0.0005457616917838348
UA,26.0,31212.0,0.0008330129437395873,39.067733999999994,3672.362919883789,0.010638309680252485
US,15795.0,31212.0,0.5060553633217993,1339.6307490000004,3672.362919883789,0.36478713521113343
VG,14.0,31212.0,0.0004485454312443932,2.042968,3672.362919883789,0.0005563088519760594
VN,260.0,31212.0,0.008330129437395873,0.6768079999999999,3672.362919883789,0.0001842976891895579
VU,1.0,5107.0,0.00019580967299784609,1.5e-05,3590.034241259098,4.178233128701078e-09
YE,6.0,5107.0,0.0011748580379870766,6.0,3590.034241259098,0.001671293251480431
ZA,19.0,26105.0,0.0007278299176402987,0.0,82.32867862469098,0.0
