as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name,country,category,sub_category
397165,62,5225,0.011866,992.0,3608.235062,0.274927,EpicUp Holdings Inc,US,Service,"Law, Business, and Consulting Services"
204790,8,5225,0.001531,128.0,3608.235062,0.035474,Falco ISP Services B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
204916,111,5225,0.021244,103.5,3608.235062,0.028684,"RACKTECH CO., LTD.",TH,None,None
22773,8,5225,0.001531,98.0,3608.235062,0.02716,Cox Communications Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
40970,2,5225,0.000383,32.0,3608.235062,0.008869,IP SERVICES Sp. zo.o.,PL,Computer and Information Technology,Internet Service Provider (ISP)
396356,2,5225,0.000383,32.0,3608.235062,0.008869,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
197706,2,5225,0.000383,32.0,3608.235062,0.008869,Keminet SHPK,AL,Computer and Information Technology,None
44812,30,5225,0.005742,30.0,3608.235062,0.008314,IP SERVER LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
32489,9,5225,0.001722,24.0,3608.235062,0.006651,Amanah Tech Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
209368,9,5225,0.001722,24.0,3608.235062,0.006651,Noinet Societa Cooperativa,IT,Computer and Information Technology,Internet Service Provider (ISP)
210107,24,5225,0.004593,24.0,3608.235062,0.006651,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
49581,10,5225,0.001914,23.007812,3608.235062,0.006376,Ferdinand Zink trading as Tube-Hosting,DE,Computer and Information Technology,Software Development
400842,7,5225,0.00134,22.0,3608.235062,0.006097,Tunbroker LLC,US,None,None
60781,9,5225,0.001722,21.000046,3608.235062,0.00582,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
35048,5,5225,0.000957,20.0,3608.235062,0.005543,Biterika Group LLC,RU,Computer and Information Technology,Software Development
213220,8,5225,0.001531,19.000061,3608.235062,0.005266,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
209641,4,5225,0.000766,19.0,3608.235062,0.005266,I-SERVERS LTD,GB,Education and Research,None
