org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
EpicUp Holdings Inc,62,4560,0.013596,992.0,1405.7533729076385,0.705671,[397165],['US'],['Service'],"['Law, Business, and Consulting Services']"
"RACKTECH CO., LTD.",108,4560,0.023684,70.5,1405.7533729076385,0.050151,[204916],['TH'],['None'],['None']
Latitude.sh,2,4560,0.000439,32.0,1405.7533729076385,0.022764,[396356],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
IP SERVER LLC,30,4560,0.006579,30.0,1405.7533729076385,0.021341,[44812],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,24,4560,0.005263,24.0,1405.7533729076385,0.017073,[210107],['TR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Kew Solutions Unipessoal Lda,19,4560,0.004168,19.0,1405.7533729076385,0.013517000000000001,"[209968, 51126, 52042, 56849]",['PT'],"['Finance and Insurance' 'Construction and Real Estate'
 'Freight, Shipment, and Postal Services']","['Investment, Portfolio Management, Pensions and Funds'
 'Buildings (Residential or Commercial)' 'Other']"
Oxylabs,1,4560,0.000219,16.0,1405.7533729076385,0.011382,[396319],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Leaseweb USA, Inc.",15,4560,0.003289,14.000015,1405.7533729076385,0.009958999999999999,"[30633, 396362]",['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"The Constant Company, LLC",15,4560,0.003289,12.000046,1405.7533729076385,0.008536,[20473],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
3xK Tech GmbH,12,4560,0.002632,12.0,1405.7533729076385,0.008536,"[200373, 198571]",['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
LLC Vpsville,12,4560,0.002632,9.1875,1405.7533729076385,0.006536,[59504],['RU'],['Computer and Information Technology'],['Software Development']
SIXNET OPERATION LTD,10,4560,0.002193,9.003906,1405.7533729076385,0.006405,[198231],['GB'],['None'],['None']
Clouvider Limited,32,4560,0.007018,9.00058,1405.7533729076385,0.006403,[62240],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Dmitrii Vladimirovich Malkov,9,4560,0.001974,9.0,1405.7533729076385,0.006403,"[210695, 210852]",['RU'],['None'],['None']
Ferdinand Zink trading as Tube-Hosting,9,4560,0.001974,7.007812,1405.7533729076385,0.004985,[49581],['DE'],['Computer and Information Technology'],['Software Development']
IT Express Ltd.,9,4560,0.001974,7.000031,1405.7533729076385,0.00498,[47596],['UA'],['Service'],"['Law, Business, and Consulting Services']"
LLC Baxet,8,4560,0.001754,6.000031,1405.7533729076385,0.004268,"[51659, 49392]",['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
ArtPlanet LLC,6,4560,0.001316,6.0,1405.7533729076385,0.004268,[49542],['RU'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Netex Limited,6,4560,0.001316,6.0,1405.7533729076385,0.004268,[51837],['HK'],['Computer and Information Technology'],['Software Development']
Hivelocity Inc,14,4560,0.00307,5.012955,1405.7533729076385,0.003566,[61317],['US'],['Computer and Information Technology'],['None']
LeaseWeb Netherlands B.V.,5,4560,0.001096,5.0,1405.7533729076385,0.003557,[60781],['NL'],['Computer and Information Technology'],['None']
Vinters IT Ltd,9,4560,0.001974,4.000763,1405.7533729076385,0.002846,[62217],['GB'],['Computer and Information Technology'],['None']
"AT&T Services, Inc.",4,4560,0.000877,4.0,1405.7533729076385,0.002845,[7018],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
HostRoyale Technologies Pvt Ltd,4,4560,0.000877,4.0,1405.7533729076385,0.002845,[207990],['IN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Kontel LLC,4,4560,0.000877,4.0,1405.7533729076385,0.002845,[204490],['RU'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"Cloudflare London, LLC",16,4560,0.003509,3.000198,1405.7533729076385,0.002134,[209242],['US'],['Service'],"['Law, Business, and Consulting Services']"
Delta Ltd,7,4560,0.001535,3.000061,1405.7533729076385,0.002134,[213220],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
I-SERVERS LTD,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[209641],['GB'],['Education and Research'],['None']
RoyaleHosting BV,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[212477],['NL'],['Computer and Information Technology'],['None']
Citytelecom LLC,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[3175],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Al Asmary Abdullah Ibrahim A,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[210499],['SA'],['Computer and Information Technology'],['Software Development']
STARK INDUSTRIES SOLUTIONS LTD,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[44477],['GB'],['Manufacturing'],"['Metal, Glass, Wood, and Paper Manufacturing']"
JSC IOT,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[29182],['RU'],['Computer and Information Technology'],['None']
GalaxyStar LLC,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[206873],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Manir LLC,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[60389],['RU'],['Finance and Insurance'],"['Banks, Credit Card Companies, Mortgage Providers']"
Sole trader Malkov Dmitrii Vladimirovich,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[48108],['RU'],['Computer and Information Technology'],['None']
ServTech LTD,3,4560,0.000658,3.0,1405.7533729076385,0.002134,[208626],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Comfortel Ltd.,3,4560,0.000658,2.000015,1405.7533729076385,0.001423,[56534],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Malkov D.V.,3,4560,0.000658,2.000015,1405.7533729076385,0.001423,[212521],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Scalaxy B.V.,2,4560,0.000439,2.0,1405.7533729076385,0.001423,[58061],['LV'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Overweb Srl,2,4560,0.000439,2.0,1405.7533729076385,0.001423,[42692],['IT'],['None'],['None']
Cox Communications Inc.,2,4560,0.000439,2.0,1405.7533729076385,0.001423,[22773],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
DNS0.EU A.D.,2,4560,0.000439,2.0,1405.7533729076385,0.001423,[50902],['FR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Sprint,2,4560,0.000439,2.0,1405.7533729076385,0.001423,[1239],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Fastly, Inc.",148,4560,0.032456,1.439865,1405.7533729076385,0.001024,[54113],['US'],['Computer and Information Technology'],['Software Development']
Perfect Cloud Technologies LLC,3,4560,0.000658,1.125,1405.7533729076385,0.0008,[211027],['RU'],"['Media, Publishing, and Broadcasting']",['Other']
NTX Technologies s.r.o.,2,4560,0.000439,1.000015,1405.7533729076385,0.000711,[50113],['CZ'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Arcus Novus UAB,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[51259],['LT'],['Manufacturing'],['Electronics and Computer Components']
hosTELyon SAS,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[209146],['FR'],['Computer and Information Technology'],['None']
SYN LTD,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[64080],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"CHUAN KAI INTERNATIONAL CO., LTD",1,4560,0.000219,1.0,1405.7533729076385,0.000711,[133375],['TW'],['Travel and Accommodation'],['Other']
Getechbrothers,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[150445],['LT'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SatGate LLC,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[30721],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SORACOM. INC.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[131910],['JP'],['None'],['None']
SIA VEESP,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[43317],['LV'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
WorldStream B.V.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[49981],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Netversor GmbH,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[200081],['DE'],['Service'],"['Law, Business, and Consulting Services']"
First Root UG (haftungsbeschraenkt),1,4560,0.000219,1.0,1405.7533729076385,0.000711,[41108],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Hydra Communications Ltd,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[25369],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
23M GmbH,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[47447],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
BAI Communications Inc.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[396113],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
UK On-line Agri-sales Limited,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[202235],['GB'],['Computer and Information Technology'],['None']
Ilm-Provider UG (haftungsbeschraenkt),1,4560,0.000219,1.0,1405.7533729076385,0.000711,[196968],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Universitas Brawijaya,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[46019],['ID'],['Education and Research'],"['Colleges, Universities, and Professional Schools']"
RODRIGUEZ PEDRO ALBERTO JUAN,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[271991],['AR'],['None'],['None']
Okay-Telecom Ltd.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[199669],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
