as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name,country,category,sub_category
209641,47,28219,0.001666,30.0,89.332693,0.335823,I-SERVERS LTD,GB,Education and Research,None
395839,168,28219,0.005953,9.672119,89.332693,0.108271,HOSTKEY,US,Computer and Information Technology,Phone Provider
44812,9,28219,0.000319,7.0,89.332693,0.078359,IP SERVER LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
29182,10,28219,0.000354,7.0,89.332693,0.078359,JSC IOT,RU,Computer and Information Technology,None
213220,35,28219,0.00124,6.500015,89.332693,0.072762,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
197992,9,28219,0.000319,5.0,89.332693,0.055971,DEFSOLUTION LLC,US,None,None
29014,4,28219,0.000142,4.0,89.332693,0.044776,ScaleUp Technologies GmbH & Co. KG,DE,Computer and Information Technology,None
57043,6,28219,0.000213,4.0,89.332693,0.044776,HOSTKEY B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
204916,4,28219,0.000142,3.0,89.332693,0.033582,"RACKTECH CO., LTD.",TH,None,None
210644,3,28219,0.000106,3.0,89.332693,0.033582,AEZA INTERNATIONAL LTD,GB,None,None
48261,4,28219,0.000142,2.0,89.332693,0.022388,socialimprove LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
199925,2,28219,7.1e-05,2.0,89.332693,0.022388,Phan Nhat Nghi,VG,Construction and Real Estate,Other
53667,21,28219,0.000744,1.000015,89.332693,0.011194,FranTech Solutions,US,Computer and Information Technology,Hosting and Cloud Provider
60781,36,28219,0.001276,1.0,89.332693,0.011194,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
64080,1,28219,3.5e-05,1.0,89.332693,0.011194,SYN LTD,GB,Computer and Information Technology,Internet Service Provider (ISP)
197619,2,28219,7.1e-05,1.0,89.332693,0.011194,Telnab Networks LLC,US,None,None
64267,12,28219,0.000425,0.75,89.332693,0.008396,Sprious LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
135981,178,28219,0.006308,0.551773,89.332693,0.006177,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
30721,8,28219,0.000283,0.5,89.332693,0.005597,SatGate LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
36492,1551,28219,0.054963,0.129056,89.332693,0.001445,Google LLC,US,Computer and Information Technology,Software Development
140810,32,28219,0.001134,0.125,89.332693,0.001399,Megacore Technology Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
41405,52,28219,0.001843,0.085693,89.332693,0.000959,Altinea SAS,FR,Computer and Information Technology,None
138652,2,28219,7.1e-05,0.007812,89.332693,8.7e-05,Super Godzilla Communications GK,JP,Computer and Information Technology,Internet Service Provider (ISP)
