sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
None,2407,26902,0.08947,54.09025200000001,87.33237514154567,0.619364,"[209641, 29182, 197992, 29014, 210644, 204916, 60781, 197619, 41405, 201217, 397031, 56630, 61317, 62217, 216435, 51115, 200827, 202888, 12876, 41717, 62282, 32934, 58777, 44901, 48581, 51468, 55990, 38, 205544, 204055, 203961, 200241, 208058, 198068, 134756, 61323, 140903, 197730, 197695, 197598, 149042, 140716, 140061, 138915, 138421, 137702, 137697, 8888, 7679, 6724, 11426, 9806, 9605, 9354, 2497, 513, 2635, 4802, 3389, 11917, 29222, 29097, 29066, 27823, 33363, 38631, 38365, 35492, 33760, 21100, 17511]"
Internet Service Provider (ISP),4806,26902,0.17863599999999996,20.436357000000005,87.33237514154567,0.234003,"[213220, 44812, 57043, 48261, 64267, 135981, 30721, 140810, 138652, 41378, 62874, 9009, 45609, 396356, 6939, 46841, 138997, 46562, 30633, 51430, 835, 30860, 33387, 56655, 40509, 212238, 268972, 55081, 577, 133480, 5410, 397373, 12167, 11990, 9498, 134094, 26527, 11878, 21859, 56046, 59437, 58542, 58057, 58453, 58541, 58487, 50113, 56041, 56040, 44974, 45430, 45474, 45727, 45758, 45899, 47447, 49544, 49981, 51873, 53356, 55410, 55644, 55818, 55836, 59605, 60294, 60893, 207996, 207375, 205766, 200738, 199752, 199274, 264642, 397423, 266768, 262459, 209453, 211786, 199244, 198571, 133159, 43766, 134238, 133798, 131445, 63835, 63410, 134771, 136188, 198066, 197637, 147049, 136959, 44066, 38040, 12306, 8781, 8697, 8560, 8422, 8342, 7922, 7713, 7545, 6805, 6762, 6718, 6697, 5606, 8943, 9002, 9121, 9824, 10474, 9930, 9929, 9924, 9829, 9808, 9299, 9534, 9500, 9381, 9312, 5432, 4837, 4835, 1299, 2527, 1955, 1930, 1680, 1653, 1547, 1257, 2860, 906, 852, 812, 701, 680, 3214, 4812, 4637, 4811, 4808, 4788, 4739, 4657, 4651, 3292, 4230, 4134, 3741, 3462, 3320, 3303, 12360, 42487, 12849, 29789, 29413, 29075, 28890, 28573, 27947, 25454, 24961, 24547, 24444, 30781, 30798, 38255, 41357, 40630, 38266, 174, 35826, 34665, 24400, 24309, 15943, 15802, 15600, 15169, 15133, 15108, 14522, 14080, 13999, 13285, 13030, 12859, 17185, 24203, 23884, 23724, 23693, 22822, 22697, 21575, 20853, 17378, 20473, 18001, 17639, 17501, 398565]"
Phone Provider,168,26902,0.006245,9.672119,87.33237514154567,0.110751,[395839]
Other,27,26902,0.001002,2.0002440000000004,87.33237514154567,0.022903000000000003,"[199925, 46997, 205212, 45090, 200351, 209114, 25148, 40994]"
Hosting and Cloud Provider,6415,26902,0.238457,1.000306,87.33237514154567,0.011453999999999999,"[53667, 13213, 13335, 262287, 16509, 40676, 58810, 48635, 49542, 54455, 55303, 204490, 202505, 200487, 395747, 213192, 135967, 6233, 35470, 16276, 14340]"
Software Development,2785,26902,0.10352400000000002,0.128827,87.33237514154567,0.001475,"[36492, 45027, 58466, 59504, 47583, 209622, 63949, 25923, 25532, 39122, 36351, 34762, 17428]"
Online Music and Video Streaming Services,9870,26902,0.366888,0.004122000000000001,87.33237514154567,4.7e-05,"[396982, 60068, 20940, 43614, 21342]"
Online Informational Content,15,26902,0.000558,9.8e-05,87.33237514154567,1e-06,[149485]
"Military, Defense, National Security, and International Affairs",37,26902,0.001377,1.5e-05,87.33237514154567,0.0,"[19969, 397232, 397226, 397224, 62571]"
"Law, Business, and Consulting Services",43,26902,0.001598,1.5e-05,87.33237514154567,0.0,"[205100, 210083, 1221, 15967]"
"Colleges, Universities, and Professional Schools",14,26902,0.00052,8e-06,87.33237514154567,0.0,"[1659, 204679, 4538, 24357]"
Computer and Network Security,290,26902,0.010780000000000001,5e-06,87.33237514154567,0.0,"[8100, 11019, 33438, 16625, 19551]"
"Law Enforcement, Public Safety, and Justice",3,26902,0.000112,0.0,87.33237514154567,0.0,[15130]
"Investment, Portfolio Management, Pensions and Funds",1,26902,3.7e-05,0.0,87.33237514154567,0.0,[134762]
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4,26902,0.000149,0.0,87.33237514154567,0.0,[208492]
"Government and Regulatory Agencies, Administrations, Departments, and Services",5,26902,0.000186,0.0,87.33237514154567,0.0,[134768]
"Recreation, Sports, and Performing Arts",6,26902,0.000223,0.0,87.33237514154567,0.0,"[131486, 137753]"
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6,26902,0.000223,0.0,87.33237514154567,0.0,"[211309, 210079, 16345]"
