org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
I-SERVERS LTD,47,26864,0.00175,30.0,87.33261935085571,0.343514,[209641],['GB'],['Education and Research'],['None']
HOSTKEY,168,26864,0.006254,9.672119,87.33261935085571,0.11075,[395839],['US'],['Computer and Information Technology'],['Phone Provider']
JSC IOT,10,26864,0.000372,7.0,87.33261935085571,0.080153,[29182],['RU'],['Computer and Information Technology'],['None']
Delta Ltd,35,26864,0.001303,6.500015,87.33261935085571,0.074428,[213220],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
IP SERVER LLC,8,26864,0.000298,6.0,87.33261935085571,0.068703,[44812],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
DEFSOLUTION LLC,9,26864,0.000335,5.0,87.33261935085571,0.057252,[197992],['US'],['None'],['None']
HOSTKEY B.V.,6,26864,0.000223,4.0,87.33261935085571,0.045802,[57043],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
ScaleUp Technologies GmbH & Co. KG,4,26864,0.000149,4.0,87.33261935085571,0.045802,[29014],['DE'],['Computer and Information Technology'],['None']
AEZA INTERNATIONAL LTD,3,26864,0.000112,3.0,87.33261935085571,0.034351,[210644],['GB'],['None'],['None']
"RACKTECH CO., LTD.",4,26864,0.000149,3.0,87.33261935085571,0.034351,[204916],['TH'],['None'],['None']
socialimprove LLC,4,26864,0.000149,2.0,87.33261935085571,0.022901,[48261],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Phan Nhat Nghi,2,26864,7.4e-05,2.0,87.33261935085571,0.022901,[199925],['VG'],['Construction and Real Estate'],['Other']
FranTech Solutions,21,26864,0.000782,1.000015,87.33261935085571,0.011451,[53667],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
LeaseWeb Netherlands B.V.,36,26864,0.00134,1.0,87.33261935085571,0.01145,[60781],['NL'],['Computer and Information Technology'],['None']
Telnab Networks LLC,2,26864,7.4e-05,1.0,87.33261935085571,0.01145,[197619],['US'],['None'],['None']
Sprious LLC,12,26864,0.000447,0.75,87.33261935085571,0.008588,[64267],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
VisualViet Company Limited,178,26864,0.006626,0.551773,87.33261935085571,0.006318,[135981],['VN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SatGate LLC,8,26864,0.000298,0.5,87.33261935085571,0.005725,[30721],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Google LLC,1831,26864,0.06815800000000001,0.132993,87.33261935085571,0.0015229999999999998,"[36492, 396982, 15169]",['US'],"['Computer and Information Technology'
 'Media, Publishing, and Broadcasting']","['Software Development' 'Online Music and Video Streaming Services'
 'Internet Service Provider (ISP)']"
Megacore Technology Company Limited,32,26864,0.001191,0.125,87.33261935085571,0.001431,[140810],['VN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Altinea SAS,52,26864,0.001936,0.085693,87.33261935085571,0.000981,[41405],['FR'],['Computer and Information Technology'],['None']
Super Godzilla Communications GK,2,26864,7.4e-05,0.007812,87.33261935085571,8.9e-05,[138652],['JP'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
RADISHCLOUD TECHNOLOGY LLC,1,26864,3.7e-05,0.003906,87.33261935085571,4.5e-05,[201217],['US'],['None'],['None']
Kirino LLC,16,26864,0.000596,0.000702,87.33261935085571,8e-06,[41378],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Web2Objects LLC,2,26864,7.4e-05,0.000488,87.33261935085571,6e-06,[62874],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"GALAXYGATE, LLC",27,26864,0.001005,0.000412,87.33261935085571,5e-06,[397031],['US'],['Other'],['None']
UK-2 Limited,179,26864,0.006663,0.000171,87.33261935085571,2e-06,[13213],['GB'],['Computer and Information Technology'],['Hosting and Cloud Provider']
M247 Europe SRL,167,26864,0.006216,0.000151,87.33261935085571,2e-06,[9009],['RO'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
LoudTronix Inc.,8,26864,0.000298,0.000122,87.33261935085571,1e-06,[205212],['CA'],['Community Groups and Nonprofits'],['Other']
Black Mesa Corporation,8,26864,0.000298,0.000122,87.33261935085571,1e-06,[46997],['US'],['Health Care Services'],['Other']
Datacamp Limited,10,26864,0.000372,0.000122,87.33261935085571,1e-06,"[60068, 212238]",['GB'],"['Media, Publishing, and Broadcasting'
 'Computer and Information Technology']","['Online Music and Video Streaming Services'
 'Internet Service Provider (ISP)']"
MonoCloud Pty Ltd,15,26864,0.000558,9.8e-05,87.33261935085571,1e-06,[149485],['AU'],"['Media, Publishing, and Broadcasting']",['Online Informational Content']
Akamai International B.V.,9843,26864,0.366401,7.8e-05,87.33261935085571,1e-06,"[20940, 21342]",['NL'],"['Media, Publishing, and Broadcasting']",['Online Music and Video Streaming Services']
Bharti Airtel Limited,81,26864,0.003015,6.2e-05,87.33261935085571,1e-06,"[45609, 9498]",['IN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Cloudflare, Inc.",1401,26864,0.052150999999999996,6.1e-05,87.33261935085571,1e-06,"[13335, 395747]",['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"Amazon.com, Inc.",4684,26864,0.17436,5.2e-05,87.33261935085571,1e-06,[16509],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Hivelocity Inc,3,26864,0.000112,4.6e-05,87.33261935085571,1e-06,[61317],['US'],['Computer and Information Technology'],['None']
Vinters IT Ltd,12,26864,0.000447,4.6e-05,87.33261935085571,1e-06,[62217],['GB'],['Computer and Information Technology'],['None']
Latitude.sh,40,26864,0.001489,4.4e-05,87.33261935085571,1e-06,[396356],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Latitude.sh LTDA,36,26864,0.00134,3.4e-05,87.33261935085571,0.0,[262287],['BR'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Hurricane Electric LLC,588,26864,0.021888,3.2e-05,87.33261935085571,0.0,[6939],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Plim Mobile Telecom LLC,2,26864,7.4e-05,3.1e-05,87.33261935085571,0.0,[216435],['US'],['None'],['None']
Eons Data Communications Limited,4,26864,0.000149,3.1e-05,87.33261935085571,0.0,[138997],['HK'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Fork Networking, LLC",2,26864,7.4e-05,3.1e-05,87.33261935085571,0.0,[46841],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Performive LLC,78,26864,0.002904,3e-05,87.33261935085571,0.0,[46562],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Leaseweb USA, Inc.",62,26864,0.002308,1.7e-05,87.33261935085571,0.0,[30633],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SCALEWAY S.A.S.,5,26864,0.000186,1.5e-05,87.33261935085571,0.0,[12876],['FR'],['Computer and Information Technology'],['None']
