category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,14670,26771,0.5479489999999999,43.323474000000004,87.33235606785561,0.496073,"[395839, 29182, 213220, 44812, 57043, 29014, 48261, 53667, 60781, 64267, 135981, 30721, 36492, 140810, 41405, 138652, 41378, 62874, 13213, 9009, 13335, 45609, 61317, 62217, 396356, 262287, 6939, 138997, 46841, 19551, 46562, 16509, 56630, 12876, 45027, 835, 51115, 56655, 51430, 30860, 33387, 6315, 212238, 268972, 200827, 30633, 55081, 5410, 133480, 577, 8100, 397373, 62282, 40676, 12167, 11990, 134094, 11878, 21859, 9498, 26527, 59437, 45758, 45899, 59605, 45090, 45430, 59504, 58541, 45474, 47447, 58542, 58777, 45727, 58810, 58487, 50113, 58466, 58453, 49544, 51468, 51873, 53356, 44974, 49542, 54455, 55303, 55410, 55644, 55818, 48635, 55836, 55990, 56040, 56041, 56046, 49981, 47583, 58057, 44901, 60294, 60893, 207375, 205766, 205544, 205125, 204490, 204055, 203961, 202505, 200738, 200487, 199752, 199274, 207996, 262459, 395747, 266768, 264642, 213192, 211786, 209622, 209453, 199244, 198571, 198068, 44066, 134238, 133798, 133159, 131445, 135967, 63949, 63835, 63410, 61323, 61098, 134771, 136188, 140903, 197695, 197637, 147049, 142055, 140716, 136959, 140061, 138915, 138421, 137702, 137697, 134756, 36351, 8781, 8697, 8560, 8422, 8342, 7922, 7713, 7545, 7470, 6805, 6762, 6724, 6718, 6697, 6233, 5606, 8888, 8943, 8966, 9806, 10474, 9930, 9929, 9924, 9829, 9824, 9808, 9002, 9534, 9500, 9381, 9312, 9299, 9121, 5432, 4837, 4835, 1547, 2527, 2519, 1955, 1930, 1680, 1653, 1299, 2860, 1257, 852, 812, 701, 680, 513, 3214, 4812, 4637, 4811, 4808, 4802, 4788, 4739, 4657, 4651, 3292, 4230, 4134, 3741, 3462, 3320, 3303, 11019, 42846, 12306, 30764, 29789, 29413, 29222, 29097, 29075, 29066, 28890, 28573, 27947, 27823, 25923, 25532, 25148, 24961, 24547, 30781, 30798, 38255, 42487, 40630, 39122, 38365, 38266, 38040, 33438, 174, 35826, 35470, 34762, 34665, 24444, 24309, 15108, 15943, 15802, 15600, 15169, 15133, 14522, 14080, 13999, 13285, 13030, 12859, 12849, 12360, 16276, 16625, 24203, 21100, 23884, 23724, 23693, 22822, 22697, 21575, 20853, 17185, 20473, 18001, 17639, 17501, 17428, 17378, 398565]"
Education and Research,65,26771,0.002428,30.000008,87.33235606785561,0.343515,"[209641, 1659, 204679, 200351, 4538, 24357]"
None,72,26771,0.002688,12.00396,87.33235606785561,0.13745299999999996,"[197992, 204916, 210644, 197619, 201217, 216435, 202888, 41717, 200241, 197730, 197598, 149042, 7679, 9605, 9354, 2497, 38631, 33760, 17511]"
Construction and Real Estate,8,26771,0.0002979999999999999,2.0,87.33235606785561,0.022901,"[199925, 211309, 210079, 16345]"
"Media, Publishing, and Broadcasting",9781,26771,0.365358,0.0042190000000000005,87.33235606785561,4.8e-05,"[396982, 60068, 149485, 20940, 43614, 11426, 2635, 25019, 33363, 21342]"
Other,27,26771,0.001009,0.000412,87.33235606785561,5e-06,[397031]
Community Groups and Nonprofits,14,26771,0.000523,0.000122,87.33235606785561,1e-06,"[205212, 208492, 35492]"
Health Care Services,11,26771,0.000411,0.000122,87.33235606785561,1e-06,"[46997, 38]"
Government and Public Administration,45,26771,0.0016799999999999999,1.5e-05,87.33235606785561,0.0,"[19969, 397232, 397226, 397224, 134768, 62571, 15130]"
Service,44,26771,0.001642,1.5e-05,87.33235606785561,0.0,"[205100, 210083, 1221, 40994, 15967]"
"Retail Stores, Wholesale, and E-commerce Sites",1973,26771,0.07369799999999999,1e-06,87.33235606785561,0.0,"[32934, 48581, 209114, 11917]"
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",41,26771,0.001532,0.0,87.33235606785561,0.0,[208058]
Finance and Insurance,1,26771,3.7e-05,0.0,87.33235606785561,0.0,[134762]
"Freight, Shipment, and Postal Services",13,26771,0.000486,0.0,87.33235606785561,0.0,[3389]
"Museums, Libraries, and Entertainment",6,26771,0.000224,0.0,87.33235606785561,0.0,"[131486, 137753]"
