org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
EpicUp Holdings Inc,62,5032,0.012321,992.0,2579.9431161284447,0.384505,[397165],['US'],['Service'],"['Law, Business, and Consulting Services']"
"RACKTECH CO., LTD.",111,5032,0.022059,116.625,2579.9431161284447,0.045204,[204916],['TH'],['None'],['None']
Falco ISP Services B.V.,4,5032,0.000795,64.0,2579.9431161284447,0.024807,[204790],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Cox Communications Inc.,5,5032,0.000994,50.0,2579.9431161284447,0.01938,[22773],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Keminet SHPK,2,5032,0.000397,32.0,2579.9431161284447,0.012403,[197706],['AL'],['Computer and Information Technology'],['None']
Latitude.sh,2,5032,0.000397,32.0,2579.9431161284447,0.012403,[396356],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
IP SERVER LLC,30,5032,0.005962,30.0,2579.9431161284447,0.011628,[44812],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
LeaseWeb Netherlands B.V.,8,5032,0.00159,21.000031,2579.9431161284447,0.00814,[60781],['NL'],['Computer and Information Technology'],['None']
Amanah Tech Inc.,6,5032,0.001192,21.0,2579.9431161284447,0.00814,[32489],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Delta Ltd,8,5032,0.00159,19.000061,2579.9431161284447,0.007365,[213220],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Tunbroker LLC,4,5032,0.000795,19.0,2579.9431161284447,0.007365,[400842],['US'],['None'],['None']
Biterika Group LLC,3,5032,0.000596,18.0,2579.9431161284447,0.006977,[35048],['RU'],['Computer and Information Technology'],['Software Development']
Kew Solutions Unipessoal Lda,18,5032,0.0035759999999999998,18.0,2579.9431161284447,0.006977,"[209968, 56849, 51126, 52042]",['PT'],"['Finance and Insurance' 'Freight, Shipment, and Postal Services'
 'Construction and Real Estate']","['Investment, Portfolio Management, Pensions and Funds' 'Other'
 'Buildings (Residential or Commercial)']"
IGT LOTTERY S.P.A.,2,5032,0.000397,17.0,2579.9431161284447,0.006589,[35574],['IT'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,17,5032,0.003378,17.0,2579.9431161284447,0.006589,[210107],['TR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Amazon.com, Inc.",1223,5032,0.243045,16.020935,2579.9431161284447,0.00621,[16509],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Datacamp Limited,9,5032,0.001789,16.000122,2579.9431161284447,0.006202,[212238],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Three Fourteen SASU,5,5032,0.000994,16.000061,2579.9431161284447,0.006202,[42275],['FR'],['Service'],['Other']
"Level 3 Parent, LLC",3,5032,0.000596,16.000031,2579.9431161284447,0.006202,"[3549, 3356]",['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Harmony Hosting SARL,2,5032,0.000397,16.000015,2579.9431161284447,0.006202,[34534],['FR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
COSYS DATA GmbH,1,5032,0.000199,16.0,2579.9431161284447,0.006202,[50782],['AT'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
