as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name,country,category,sub_category
209641,32,45390,0.000705,32.0,93.759867,0.341297,I-SERVERS LTD,GB,Education and Research,None
395839,11,45390,0.000242,10.0,93.759867,0.106655,HOSTKEY,US,Computer and Information Technology,Phone Provider
29182,10,45390,0.00022,7.0,93.759867,0.074659,JSC IOT,RU,Computer and Information Technology,None
213220,35,45390,0.000771,6.500015,93.759867,0.069326,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
44812,8,45390,0.000176,6.0,93.759867,0.063993,IP SERVER LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
197992,10,45390,0.00022,5.0,93.759867,0.053328,DEFSOLUTION LLC,US,None,None
29014,4,45390,8.8e-05,4.0,93.759867,0.042662,ScaleUp Technologies GmbH & Co. KG,DE,Computer and Information Technology,None
57043,6,45390,0.000132,4.0,93.759867,0.042662,HOSTKEY B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
204916,138,45390,0.00304,3.0,93.759867,0.031997,"RACKTECH CO., LTD.",TH,None,None
210644,3,45390,6.6e-05,3.0,93.759867,0.031997,AEZA INTERNATIONAL LTD,GB,None,None
202888,3,45390,6.6e-05,2.000015,93.759867,0.021331,UPSTREAM NETWORK LTD,GB,None,None
199925,3,45390,6.6e-05,2.0,93.759867,0.021331,Phan Nhat Nghi,VG,Construction and Real Estate,Other
48261,4,45390,8.8e-05,2.0,93.759867,0.021331,socialimprove LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
53667,112,45390,0.002468,1.001694,93.759867,0.010684,FranTech Solutions,US,Computer and Information Technology,Hosting and Cloud Provider
30633,109,45390,0.002401,1.000023,93.759867,0.010666,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
60781,45,45390,0.000991,1.000001,93.759867,0.010666,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
198571,1,45390,2.2e-05,1.0,93.759867,0.010666,3xK Tech GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
197619,2,45390,4.4e-05,1.0,93.759867,0.010666,Telnab Networks LLC,US,None,None
64267,12,45390,0.000264,0.75,93.759867,0.007999,Sprious LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
135981,76,45390,0.001674,0.589844,93.759867,0.006291,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
30721,8,45390,0.000176,0.5,93.759867,0.005333,SatGate LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
140810,47,45390,0.001035,0.183594,93.759867,0.001958,Megacore Technology Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
36492,1731,45390,0.038136,0.105423,93.759867,0.001124,Google LLC,US,Computer and Information Technology,Software Development
41405,142,45390,0.003128,0.100867,93.759867,0.001076,Altinea SAS,FR,Computer and Information Technology,None
138652,2,45390,4.4e-05,0.007812,93.759867,8.3e-05,Super Godzilla Communications GK,JP,Computer and Information Technology,Internet Service Provider (ISP)
6939,731,45390,0.016105,0.007749,93.759867,8.3e-05,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
396982,4,45390,8.8e-05,0.003937,93.759867,4.2e-05,Google LLC,US,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
201217,1,45390,2.2e-05,0.003906,93.759867,4.2e-05,RADISHCLOUD TECHNOLOGY LLC,US,None,None
5410,106,45390,0.002335,0.001045,93.759867,1.1e-05,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
41378,16,45390,0.000353,0.000702,93.759867,7e-06,Kirino LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
62874,2,45390,4.4e-05,0.000488,93.759867,5e-06,Web2Objects LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
397031,28,45390,0.000617,0.000427,93.759867,5e-06,"GALAXYGATE, LLC",US,Other,None
33387,18,45390,0.000397,0.000259,93.759867,3e-06,"Nocix, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
396356,162,45390,0.003569,0.000183,93.759867,2e-06,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
13213,179,45390,0.003944,0.000171,93.759867,2e-06,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
149485,13,45390,0.000286,0.000168,93.759867,2e-06,MonoCloud Pty Ltd,AU,"Media, Publishing, and Broadcasting",Online Informational Content
9009,213,45390,0.004693,0.000154,93.759867,2e-06,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
205212,8,45390,0.000176,0.000122,93.759867,1e-06,LoudTronix Inc.,CA,Community Groups and Nonprofits,Other
46997,8,45390,0.000176,0.000122,93.759867,1e-06,Black Mesa Corporation,US,Health Care Services,Other
60068,10,45390,0.00022,0.000107,93.759867,1e-06,Datacamp Limited,GB,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
20940,12712,45390,0.280062,8.5e-05,93.759867,1e-06,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
13335,2367,45390,0.052148,6.2e-05,93.759867,1e-06,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
45609,37,45390,0.000815,6.1e-05,93.759867,1e-06,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
16509,12045,45390,0.265367,5e-05,93.759867,1e-06,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
51430,5,45390,0.00011,4.6e-05,93.759867,0.0,AltusHost B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
16724,3,45390,6.6e-05,4.6e-05,93.759867,0.0,WideOpenWest Finance LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
61317,3,45390,6.6e-05,4.6e-05,93.759867,0.0,Hivelocity Inc,US,Computer and Information Technology,None
62217,16,45390,0.000353,4.6e-05,93.759867,0.0,Vinters IT Ltd,GB,Computer and Information Technology,None
262287,36,45390,0.000793,3.4e-05,93.759867,0.0,Latitude.sh LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
46841,2,45390,4.4e-05,3.1e-05,93.759867,0.0,"Fork Networking, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
45027,2,45390,4.4e-05,3.1e-05,93.759867,0.0,"LLC ""Internet Tehnologii""",RU,Computer and Information Technology,Software Development
12876,3,45390,6.6e-05,3.1e-05,93.759867,0.0,SCALEWAY S.A.S.,FR,Computer and Information Technology,None
216435,2,45390,4.4e-05,3.1e-05,93.759867,0.0,Plim Mobile Telecom LLC,US,None,None
56655,2,45390,4.4e-05,3.1e-05,93.759867,0.0,TerraHost AS,NO,Computer and Information Technology,Internet Service Provider (ISP)
19969,2,45390,4.4e-05,3.1e-05,93.759867,0.0,"Joe's Datacenter, LLC",US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
138997,4,45390,8.8e-05,3.1e-05,93.759867,0.0,Eons Data Communications Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
46562,33,45390,0.000727,3.1e-05,93.759867,0.0,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
30860,1,45390,2.2e-05,1.5e-05,93.759867,0.0,Virtual Systems LLC,UA,Computer and Information Technology,Internet Service Provider (ISP)
268972,1,45390,2.2e-05,1.5e-05,93.759867,0.0,ERBCOM TELECOMUNICACOES EIRELI - ME,BR,Computer and Information Technology,Internet Service Provider (ISP)
1659,1,45390,2.2e-05,1.5e-05,93.759867,0.0,National Chung Hsing University,TW,Education and Research,"Colleges, Universities, and Professional Schools"
62240,1,45390,2.2e-05,1.5e-05,93.759867,0.0,Clouvider Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
56630,1,45390,2.2e-05,1.5e-05,93.759867,0.0,Melbikomas UAB,LT,Computer and Information Technology,None
54113,1,45390,2.2e-05,1.5e-05,93.759867,0.0,"Fastly, Inc.",US,Computer and Information Technology,Software Development
50113,1,45390,2.2e-05,1.5e-05,93.759867,0.0,NTX Technologies s.r.o.,CZ,Computer and Information Technology,Internet Service Provider (ISP)
205100,1,45390,2.2e-05,1.5e-05,93.759867,0.0,F3 Netze e.V.,DE,Service,"Law, Business, and Consulting Services"
213192,1,45390,2.2e-05,1.5e-05,93.759867,0.0,NetBase BV,NL,Computer and Information Technology,Hosting and Cloud Provider
200827,1,45390,2.2e-05,1.5e-05,93.759867,0.0,vv Network Inc,US,Computer and Information Technology,None
212238,1,45390,2.2e-05,1.5e-05,93.759867,0.0,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
577,36,45390,0.000793,1.5e-05,93.759867,0.0,Bell Canada,CA,Computer and Information Technology,Internet Service Provider (ISP)
