country,country_alias_num,country_all_num,country_ratio,sta_country_alias_num,sta_country_all_num,sat_country_ratio,as
US,3614,4605,0.7847920000000002,1084.923643,1406.7388924956322,0.771232,"[397165, 396356, 396319, 30633, 20473, 61317, 7018, 209242, 1239, 22773, 54113, 396362, 15317, 53667, 6939, 16509, 36183, 174, 13335, 400519, 46997, 33480, 199465, 60310, 36791, 36492, 19551, 15133, 40509, 201217, 16724, 32931, 398668, 20253, 20446, 41378, 46562, 50069, 949, 40676, 205157, 14153, 33760, 37963, 40138, 62874, 23145, 216435, 394923, 399358, 23467, 25923, 55081, 30081, 206368, 207487, 400797, 32150, 16625]"
RU,120,4605,0.026055000000000002,99.320525,1406.7388924956322,0.070608,"[44812, 59504, 51659, 210695, 49542, 204490, 213220, 208626, 48108, 60389, 199669, 3175, 206873, 29182, 211027, 49392, 56534, 212521, 210852, 56434, 30721, 199186, 39900, 207713]"
TH,101,4605,0.021933,63.5,1406.7388924956322,0.04514,[204916]
GB,104,4605,0.022579000000000002,35.010208,1406.7388924956322,0.024889,"[62240, 198231, 62217, 52041, 209641, 44477, 202888, 64080, 202235, 199614, 61112, 136620, 212238, 206981, 56758, 205544, 198412, 13213, 48254, 58339, 209181, 61323, 137502, 203635]"
TR,29,4605,0.0062970000000000005,27.000031,1406.7388924956322,0.019194,"[210107, 196733, 25145, 43260, 201178]"
DE,29,4605,0.006296,25.007842000000004,1406.7388924956322,0.017778,"[200373, 49581, 198571, 47447, 200081, 28753, 196968, 41108, 205987, 210937, 200393]"
PT,18,4605,0.003908,18.0,1406.7388924956322,0.012795999999999998,"[209968, 56849, 51126, 52042]"
NL,32,4605,0.006948,9.040177,1406.7388924956322,0.0064269999999999996,"[60781, 212477, 49981, 33905, 50867, 208685, 197919, 51430]"
UA,19,4605,0.004125,7.067704,1406.7388924956322,0.005024000000000001,"[47596, 8772, 201572, 201836]"
HK,41,4605,0.008901000000000001,7.012176000000001,1406.7388924956322,0.004984,"[51837, 141444, 151338, 151407, 51847, 199974, 209642, 60539, 38008, 211759, 135489, 138190, 202662, 58453]"
IN,170,4605,0.036917000000000005,4.039612,1406.7388924956322,0.002871,"[207990, 45609, 216452]"
FR,4,4605,0.000868,4.0,1406.7388924956322,0.002844,"[50902, 60703, 209146]"
LV,3,4605,0.000651,3.0,1406.7388924956322,0.0021330000000000003,"[58061, 43317]"
IT,4,4605,0.000868,2.0,1406.7388924956322,0.001422,"[42692, 6762]"
SA,2,4605,0.000434,2.0,1406.7388924956322,0.001422,[210499]
LT,2,4605,0.000434,2.0,1406.7388924956322,0.001422,"[51259, 150445]"
ID,133,4605,0.028880999999999997,1.601807,1406.7388924956322,0.001139,"[46019, 210842, 4761, 7713]"
CA,13,4605,0.0028210000000000006,1.0750260000000003,1406.7388924956322,0.000764,"[396113, 399558, 53356, 202911, 202528, 205212, 203314, 54197, 63213, 139693]"
CN,12,4605,0.002604,1.066544,1406.7388924956322,0.000758,"[4538, 151814, 200021, 197433, 206843, 211051, 151464, 140731]"
TW,4,4605,0.000868,1.0039369999999999,1406.7388924956322,0.000714,"[133375, 141173, 131662]"
CY,20,4605,0.0043430000000000005,1.00029,1406.7388924956322,0.000711,"[61178, 47583]"
CZ,2,4605,0.000434,1.000015,1406.7388924956322,0.000711,[50113]
PK,1,4605,0.000217,1.0,1406.7388924956322,0.000711,[147057]
PE,1,4605,0.000217,1.0,1406.7388924956322,0.000711,[266732]
SG,2,4605,0.000434,1.0,1406.7388924956322,0.000711,"[150347, 4657]"
AR,1,4605,0.000217,1.0,1406.7388924956322,0.000711,[271991]
JP,1,4605,0.000217,1.0,1406.7388924956322,0.000711,[131910]
EG,1,4605,0.000217,1.0,1406.7388924956322,0.000711,[36992]
KR,1,4605,0.000217,1.0,1406.7388924956322,0.000711,[135605]
VG,11,4605,0.002388,0.042968,1406.7388924956322,3.1e-05,"[199925, 197730]"
BR,15,4605,0.0032570000000000003,0.010986,1406.7388924956322,8.000000000000001e-06,"[270410, 28573, 263110]"
None,3,4605,0.000651,0.004165,1406.7388924956322,3e-06,"[216157, 216107, 215907]"
VN,3,4605,0.000651,0.003937,1406.7388924956322,3e-06,"[38732, 140810]"
CH,1,4605,0.000217,0.003906,1406.7388924956322,3e-06,[58057]
RO,35,4605,0.0076,0.002365,1406.7388924956322,2e-06,[9009]
PH,20,4605,0.004343,0.000534,1406.7388924956322,0.0,[200866]
AT,14,4605,0.00304,0.000213,1406.7388924956322,0.0,"[1921, 207021, 205989]"
AU,3,4605,0.000651,4.6e-05,1406.7388924956322,0.0,"[133612, 133480]"
KH,3,4605,0.000651,4.6e-05,1406.7388924956322,0.0,[9902]
ES,2,4605,0.000434,3.1e-05,1406.7388924956322,0.0,[197606]
BG,2,4605,0.000434,3.1e-05,1406.7388924956322,0.0,[59711]
SE,2,4605,0.000434,3e-05,1406.7388924956322,0.0,"[201633, 30811]"
PL,2,4605,0.000434,3e-05,1406.7388924956322,0.0,"[15967, 201029]"
IE,2,4605,0.000434,3e-05,1406.7388924956322,0.0,"[47720, 206998]"
VU,1,4605,0.000217,1.5e-05,1406.7388924956322,0.0,[43357]
PA,1,4605,0.000217,1.5e-05,1406.7388924956322,0.0,[141039]
MY,1,4605,0.000217,0.0,1406.7388924956322,0.0,[4788]
