as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name,country,category,sub_category
209641,32,45947,0.000696,32.0,96.764086,0.330701,I-SERVERS LTD,GB,Education and Research,None
395839,12,45947,0.000261,11.0,96.764086,0.113679,HOSTKEY,US,Computer and Information Technology,Phone Provider
29182,10,45947,0.000218,7.0,96.764086,0.072341,JSC IOT,RU,Computer and Information Technology,None
213220,37,45947,0.000805,6.500015,96.764086,0.067174,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
44812,8,45947,0.000174,6.0,96.764086,0.062006,IP SERVER LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
197992,10,45947,0.000218,5.0,96.764086,0.051672,DEFSOLUTION LLC,US,None,None
57043,6,45947,0.000131,4.0,96.764086,0.041338,HOSTKEY B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
29014,4,45947,8.7e-05,4.0,96.764086,0.041338,ScaleUp Technologies GmbH & Co. KG,DE,Computer and Information Technology,None
204916,138,45947,0.003003,3.0,96.764086,0.031003,"RACKTECH CO., LTD.",TH,None,None
210644,3,45947,6.5e-05,3.0,96.764086,0.031003,AEZA INTERNATIONAL LTD,GB,None,None
202888,3,45947,6.5e-05,2.000015,96.764086,0.020669,UPSTREAM NETWORK LTD,GB,None,None
199925,3,45947,6.5e-05,2.0,96.764086,0.020669,Phan Nhat Nghi,VG,Construction and Real Estate,Other
48261,4,45947,8.7e-05,2.0,96.764086,0.020669,socialimprove LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
53667,113,45947,0.002459,1.001709,96.764086,0.010352,FranTech Solutions,US,Computer and Information Technology,Hosting and Cloud Provider
30633,115,45947,0.002503,1.000043,96.764086,0.010335,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
60781,53,45947,0.001154,1.000002,96.764086,0.010334,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
64080,1,45947,2.2e-05,1.0,96.764086,0.010334,SYN LTD,GB,Computer and Information Technology,Internet Service Provider (ISP)
197619,2,45947,4.4e-05,1.0,96.764086,0.010334,Telnab Networks LLC,US,None,None
34665,8,45947,0.000174,1.0,96.764086,0.010334,Petersburg Internet Network ltd.,RU,Computer and Information Technology,Internet Service Provider (ISP)
198571,1,45947,2.2e-05,1.0,96.764086,0.010334,3xK Tech GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
64267,12,45947,0.000261,0.75,96.764086,0.007751,Sprious LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
135981,76,45947,0.001654,0.589844,96.764086,0.006096,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
30721,8,45947,0.000174,0.5,96.764086,0.005167,SatGate LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
140810,47,45947,0.001023,0.183594,96.764086,0.001897,Megacore Technology Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
36492,1731,45947,0.037674,0.105423,96.764086,0.001089,Google LLC,US,Computer and Information Technology,Software Development
41405,142,45947,0.003091,0.100867,96.764086,0.001042,Altinea SAS,FR,Computer and Information Technology,None
6939,760,45947,0.016541,0.007962,96.764086,8.2e-05,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
138652,2,45947,4.4e-05,0.007812,96.764086,8.1e-05,Super Godzilla Communications GK,JP,Computer and Information Technology,Internet Service Provider (ISP)
396982,4,45947,8.7e-05,0.003937,96.764086,4.1e-05,Google LLC,US,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
201217,1,45947,2.2e-05,0.003906,96.764086,4e-05,RADISHCLOUD TECHNOLOGY LLC,US,None,None
210842,1,45947,2.2e-05,0.003906,96.764086,4e-05,Rohmad Kumiadin,ID,None,None
5410,149,45947,0.003243,0.001045,96.764086,1.1e-05,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
41378,16,45947,0.000348,0.000702,96.764086,7e-06,Kirino LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
62874,2,45947,4.4e-05,0.000488,96.764086,5e-06,Web2Objects LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
397031,28,45947,0.000609,0.000427,96.764086,4e-06,"GALAXYGATE, LLC",US,Other,None
33387,18,45947,0.000392,0.000259,96.764086,3e-06,"Nocix, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
396356,162,45947,0.003526,0.000183,96.764086,2e-06,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
13213,179,45947,0.003896,0.000171,96.764086,2e-06,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
149485,13,45947,0.000283,0.000168,96.764086,2e-06,MonoCloud Pty Ltd,AU,"Media, Publishing, and Broadcasting",Online Informational Content
9009,213,45947,0.004636,0.000154,96.764086,2e-06,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
46997,8,45947,0.000174,0.000122,96.764086,1e-06,Black Mesa Corporation,US,Health Care Services,Other
205212,8,45947,0.000174,0.000122,96.764086,1e-06,LoudTronix Inc.,CA,Community Groups and Nonprofits,Other
16509,12089,45947,0.263107,0.000111,96.764086,1e-06,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
60068,10,45947,0.000218,0.000107,96.764086,1e-06,Datacamp Limited,GB,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
20940,12793,45947,0.278429,8.6e-05,96.764086,1e-06,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
13335,2376,45947,0.051712,6.2e-05,96.764086,1e-06,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
45609,37,45947,0.000805,6.1e-05,96.764086,1e-06,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
16724,3,45947,6.5e-05,4.6e-05,96.764086,0.0,WideOpenWest Finance LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
