category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
Computer and Information Technology,24583,45947,0.5350670000000001,48.751183,96.7640863288108,0.503808,"[395839, 29182, 213220, 44812, 57043, 29014, 48261, 53667, 30633, 60781, 64080, 34665, 198571, 64267, 135981, 30721, 140810, 36492, 41405, 6939, 138652, 5410, 41378, 62874, 33387, 396356, 13213, 9009, 16509, 13335, 45609, 16724, 61317, 62217, 51430, 262287, 56655, 46841, 45027, 12876, 138997, 46562, 56630, 62240, 54113, 51115, 50113, 6315, 212238, 40509, 268972, 174, 835, 213192, 577, 30860, 200827, 55081, 133480, 8100, 397373, 62282, 40676, 12167, 11990, 11878, 134094, 55836, 1930, 26527, 21859, 9498, 58542, 44901, 58777, 58810, 58057, 45090, 58541, 58487, 58466, 58453, 59605, 44974, 59437, 59504, 45727, 45430, 55303, 49544, 51468, 49542, 51873, 48635, 53356, 47583, 47447, 54455, 55410, 56046, 45899, 55430, 45758, 55644, 55818, 55990, 56040, 49981, 56041, 45474, 60294, 207375, 205766, 205544, 205125, 204957, 204490, 204055, 203961, 202505, 200738, 200487, 200222, 207996, 199274, 395747, 266768, 264642, 262459, 211786, 210107, 209622, 209453, 199752, 199244, 60893, 136188, 134771, 44066, 134756, 134238, 133798, 133159, 131445, 63949, 63410, 63023, 61323, 61098, 135967, 136959, 198068, 137697, 198066, 197695, 147049, 142055, 140903, 140716, 140061, 139203, 138915, 138421, 137702, 38040, 43766, 8422, 8966, 8943, 8888, 8781, 8772, 8697, 8657, 8560, 8342, 9121, 7922, 7713, 7545, 6805, 6762, 6724, 6718, 9002, 9299, 43641, 9924, 12360, 12306, 11019, 10474, 9930, 9929, 9829, 9312, 9824, 9808, 9806, 9534, 9500, 9381, 6697, 6233, 5606, 1653, 2875, 2860, 2527, 2519, 1955, 1680, 1547, 5432, 1299, 1257, 852, 812, 701, 680, 513, 3214, 3292, 3303, 3320, 4837, 4835, 4812, 4811, 4808, 4802, 4788, 4739, 4657, 4651, 4637, 4230, 4134, 3741, 3462, 12849, 12859, 13030, 28890, 30764, 29789, 29632, 29413, 29222, 29097, 29075, 29066, 28573, 24547, 28075, 27947, 27823, 25923, 25532, 25454, 25148, 30781, 30798, 33438, 42846, 42487, 41357, 40630, 39122, 38365, 38266, 38255, 36351, 35826, 35470, 34762, 24961, 24444, 13285, 15802, 17428, 17378, 17185, 16625, 16276, 15943, 15600, 24400, 15169, 15133, 15108, 14522, 14340, 14080, 13999, 17451, 17501, 17639, 24309, 24203, 23884, 23724, 23693, 22822, 22697, 22439, 21575, 21100, 20853, 20473, 20253, 19551, 18001, 398565]"
Education and Research,39,45947,0.00085,32.000015,96.7640863288108,0.330701,"[209641, 1659, 204679, 200351, 4538, 24357]"
None,214,45947,0.004662,14.007866,96.7640863288108,0.144761,"[197992, 204916, 210644, 202888, 197619, 201217, 210842, 216435, 41717, 200241, 216089, 197730, 197598, 149042, 7679, 9605, 9354, 2497, 38631, 33760, 17511]"
Construction and Real Estate,9,45947,0.000196,2.0,96.7640863288108,0.020669,"[199925, 211309, 210079, 16345]"
"Media, Publishing, and Broadcasting",12850,45947,0.27967099999999995,0.004298,96.7640863288108,4.5e-05,"[396982, 149485, 60068, 20940, 11426, 2635, 25019, 33363, 43614, 21342]"
Other,28,45947,0.000609,0.000427,96.7640863288108,4e-06,[397031]
Community Groups and Nonprofits,14,45947,0.000305,0.000122,96.7640863288108,1e-06,"[205212, 208492, 35492]"
Health Care Services,11,45947,0.000239,0.000122,96.7640863288108,1e-06,"[46997, 38]"
Government and Public Administration,44,45947,0.0009580000000000001,3.1e-05,96.7640863288108,0.0,"[19969, 134768, 397232, 397226, 397224, 62571, 15130]"
Service,44,45947,0.000959,1.5e-05,96.7640863288108,0.0,"[205100, 210083, 1221, 40994, 15967]"
"Retail Stores, Wholesale, and E-commerce Sites",7966,45947,0.17337499999999997,2e-06,96.7640863288108,0.0,"[32934, 48581, 209114, 11917]"
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",124,45947,0.002699,0.0,96.7640863288108,0.0,[208058]
Finance and Insurance,1,45947,2.2e-05,0.0,96.7640863288108,0.0,[134762]
"Freight, Shipment, and Postal Services",13,45947,0.000283,0.0,96.7640863288108,0.0,[3389]
Manufacturing,1,45947,2.2e-05,0.0,96.7640863288108,0.0,[44477]
"Museums, Libraries, and Entertainment",6,45947,0.000131,0.0,96.7640863288108,0.0,"[131486, 137753]"
