country,country_alias_num,country_all_num,country_ratio,sta_country_alias_num,sta_country_all_num,sat_country_ratio,as
GB,319,45947,0.006945000000000001,38.00036899999999,96.7640863288108,0.39271,"[209641, 210644, 202888, 64080, 13213, 60068, 62217, 62240, 212238, 205544, 204055, 203961, 200241, 61323, 44477, 8943, 9002, 41357, 35826, 13285]"
US,26974,45947,0.5870770000000001,21.875659,96.7640863288108,0.22606800000000002,"[395839, 197992, 48261, 53667, 30633, 197619, 64267, 36492, 6939, 396982, 201217, 41378, 62874, 397031, 33387, 396356, 46997, 16509, 13335, 16724, 61317, 216435, 46841, 46562, 19969, 54113, 6315, 40509, 174, 200827, 55081, 8100, 397373, 40676, 12167, 32934, 11990, 11878, 26527, 21859, 48581, 54455, 38, 204957, 397232, 397226, 397224, 395747, 209622, 63949, 63410, 63023, 62571, 197598, 7922, 11917, 11426, 11019, 6233, 2635, 701, 3389, 29789, 25923, 33363, 33438, 40630, 36351, 33760, 17378, 17185, 16625, 15169, 15133, 15130, 15108, 14340, 22822, 22697, 22439, 20473, 20253, 19551, 398565]"
RU,122,45947,0.002657,21.000061000000002,96.7640863288108,0.21702200000000002,"[29182, 213220, 44812, 34665, 30721, 45027, 51115, 59504, 49542, 204490, 200487, 199274, 210079, 197695, 8342, 2875, 28890, 25532, 16345]"
NL,12905,45947,0.28086900000000004,5.000149,96.7640863288108,0.051673,"[57043, 60781, 20940, 51430, 213192, 49544, 48635, 49981, 207375, 208492, 211786, 199752, 60893, 12859, 35470, 21342]"
DE,846,45947,0.018415,5.000015,96.7640863288108,0.051671999999999996,"[29014, 198571, 205100, 44974, 59437, 47447, 60294, 208058, 205766, 209114, 44066, 8422, 8560, 6805, 6724, 12360, 12306, 680, 3214, 3320, 29413, 29066, 24961, 15943]"
TH,220,45947,0.004789000000000001,3.0,96.7640863288108,0.031003,"[204916, 45430, 45758, 131445, 38040, 4651, 23884]"
VG,4,45947,8.7e-05,2.0,96.7640863288108,0.020669,"[199925, 197730]"
VN,223,45947,0.004854,0.7734380000000001,96.7640863288108,0.007993,"[135981, 140810, 45899, 135967]"
FR,310,45947,0.006747999999999999,0.101943,96.7640863288108,0.001053,"[41405, 5410, 12876, 209453, 29075, 30781, 42487, 16276]"
JP,33,45947,0.000721,0.007812,96.7640863288108,8.1e-05,"[138652, 7679, 9824, 9605, 9354, 2527, 2519, 2497, 38631, 17511]"
ID,470,45947,0.01023,0.003906,96.7640863288108,4e-05,"[210842, 58487, 45727, 55818, 133798, 7713, 17451, 24203, 23693]"
AU,94,45947,0.002046,0.000176,96.7640863288108,2e-06,"[149485, 133480, 133159, 8888, 7545, 1221, 4802, 4739]"
RO,247,45947,0.005376000000000001,0.000154,96.7640863288108,2e-06,"[9009, 6718, 5606]"
CA,116,45947,0.002526,0.000152,96.7640863288108,1e-06,"[205212, 835, 577, 53356, 200351, 852, 812]"
IN,306,45947,0.006661,6.3e-05,96.7640863288108,1e-06,"[45609, 55836, 9498, 55410, 55644, 9829, 38266, 24309]"
BR,467,45947,0.010165,4.9e-05,96.7640863288108,0.0,"[262287, 268972, 262459, 4230, 28573]"
HK,72,45947,0.0015680000000000002,3.9e-05,96.7640863288108,0.0,"[138997, 41717, 58453, 45474, 149042, 138915, 9312, 9381, 4637]"
NO,4,45947,8.8e-05,3.1e-05,96.7640863288108,0.0,"[56655, 211309, 25148]"
LT,4,45947,8.7e-05,1.8e-05,96.7640863288108,0.0,"[56630, 62282]"
TW,56,45947,0.001219,1.6e-05,96.7640863288108,0.0,"[1659, 134094, 9924, 3462]"
UA,6,45947,0.00013099999999999999,1.5e-05,96.7640863288108,0.0,"[30860, 8772, 21100]"
CZ,5,45947,0.00010899999999999999,1.5e-05,96.7640863288108,0.0,"[50113, 30764, 43614]"
PT,39,45947,0.000848,1e-06,96.7640863288108,0.0,"[1930, 8657, 2860]"
PE,1,45947,2.2e-05,0.0,96.7640863288108,0.0,[21575]
NZ,31,45947,0.000675,0.0,96.7640863288108,0.0,[9500]
PA,1,45947,2.2e-05,0.0,96.7640863288108,0.0,[147049]
NP,19,45947,0.000414,0.0,96.7640863288108,0.0,[17501]
None,1,45947,2.2e-05,0.0,96.7640863288108,0.0,[216089]
QA,14,45947,0.000305,0.0,96.7640863288108,0.0,[8781]
PH,2,45947,4.4e-05,0.0,96.7640863288108,0.0,"[9299, 17639]"
PL,7,45947,0.000153,0.0,96.7640863288108,0.0,"[204679, 43641, 15967, 20853]"
MY,29,45947,0.000631,0.0,96.7640863288108,0.0,"[9930, 9534, 4788]"
SA,21,45947,0.000457,0.0,96.7640863288108,0.0,"[43766, 25019]"
SC,4,45947,8.7e-05,0.0,96.7640863288108,0.0,[205125]
SE,77,45947,0.0016760000000000002,0.0,96.7640863288108,0.0,"[1653, 1299, 1257]"
SG,19,45947,0.000414,0.0,96.7640863288108,0.0,"[55430, 4657]"
SK,1,45947,2.2e-05,0.0,96.7640863288108,0.0,[200222]
TR,45,45947,0.00098,0.0,96.7640863288108,0.0,"[202505, 210107, 9121, 42846]"
AE,2,45947,4.4e-05,0.0,96.7640863288108,0.0,"[8966, 15802]"
IT,18,45947,0.000392,0.0,96.7640863288108,0.0,[6762]
MX,13,45947,0.000283,0.0,96.7640863288108,0.0,[13999]
DK,34,45947,0.00074,0.0,96.7640863288108,0.0,"[51468, 3292]"
AT,3,45947,6.6e-05,0.0,96.7640863288108,0.0,"[40994, 35492]"
BE,238,45947,0.005180000000000001,0.0,96.7640863288108,0.0,"[5432, 34762]"
BG,1,45947,2.2e-05,0.0,96.7640863288108,0.0,[44901]
BH,1,45947,2.2e-05,0.0,96.7640863288108,0.0,[59605]
BN,7,45947,0.000152,0.0,96.7640863288108,0.0,[58810]
BY,38,45947,0.000827,0.0,96.7640863288108,0.0,[6697]
BZ,21,45947,0.000457,0.0,96.7640863288108,0.0,"[55303, 210083]"
CH,80,45947,0.001743,0.0,96.7640863288108,0.0,"[58057, 51873, 207996, 61098, 513, 3303, 13030, 29222, 29097, 15600]"
