org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
I-SERVERS LTD,32,45947,0.000696,32.0,96.7640863288108,0.330701,[209641],['GB'],['Education and Research'],['None']
HOSTKEY,12,45947,0.000261,11.0,96.7640863288108,0.113679,[395839],['US'],['Computer and Information Technology'],['Phone Provider']
JSC IOT,10,45947,0.000218,7.0,96.7640863288108,0.072341,[29182],['RU'],['Computer and Information Technology'],['None']
Delta Ltd,37,45947,0.000805,6.500015,96.7640863288108,0.067174,[213220],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
IP SERVER LLC,8,45947,0.000174,6.0,96.7640863288108,0.062006,[44812],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
DEFSOLUTION LLC,10,45947,0.000218,5.0,96.7640863288108,0.051672,[197992],['US'],['None'],['None']
ScaleUp Technologies GmbH & Co. KG,4,45947,8.7e-05,4.0,96.7640863288108,0.041338,[29014],['DE'],['Computer and Information Technology'],['None']
HOSTKEY B.V.,6,45947,0.000131,4.0,96.7640863288108,0.041338,[57043],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
AEZA INTERNATIONAL LTD,3,45947,6.5e-05,3.0,96.7640863288108,0.031003,[210644],['GB'],['None'],['None']
"RACKTECH CO., LTD.",138,45947,0.003003,3.0,96.7640863288108,0.031003,[204916],['TH'],['None'],['None']
UPSTREAM NETWORK LTD,3,45947,6.5e-05,2.000015,96.7640863288108,0.020669,[202888],['GB'],['None'],['None']
socialimprove LLC,4,45947,8.7e-05,2.0,96.7640863288108,0.020669,[48261],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Phan Nhat Nghi,3,45947,6.5e-05,2.0,96.7640863288108,0.020669,[199925],['VG'],['Construction and Real Estate'],['Other']
FranTech Solutions,113,45947,0.002459,1.001709,96.7640863288108,0.010352,[53667],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"Leaseweb USA, Inc.",115,45947,0.002503,1.000043,96.7640863288108,0.010335,[30633],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
LeaseWeb Netherlands B.V.,53,45947,0.001154,1.000002,96.7640863288108,0.010334,[60781],['NL'],['Computer and Information Technology'],['None']
Telnab Networks LLC,2,45947,4.4e-05,1.0,96.7640863288108,0.010334,[197619],['US'],['None'],['None']
Petersburg Internet Network ltd.,8,45947,0.000174,1.0,96.7640863288108,0.010334,[34665],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
3xK Tech GmbH,1,45947,2.2e-05,1.0,96.7640863288108,0.010334,[198571],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SYN LTD,1,45947,2.2e-05,1.0,96.7640863288108,0.010334,[64080],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Sprious LLC,12,45947,0.000261,0.75,96.7640863288108,0.007751,[64267],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
VisualViet Company Limited,76,45947,0.001654,0.589844,96.7640863288108,0.006096,[135981],['VN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SatGate LLC,8,45947,0.000174,0.5,96.7640863288108,0.005167,[30721],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Megacore Technology Company Limited,47,45947,0.001023,0.183594,96.7640863288108,0.001897,[140810],['VN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Google LLC,2014,45947,0.043833,0.10936,96.7640863288108,0.00113,"[36492, 396982, 15169]",['US'],"['Computer and Information Technology'
 'Media, Publishing, and Broadcasting']","['Software Development' 'Online Music and Video Streaming Services'
 'Internet Service Provider (ISP)']"
Altinea SAS,142,45947,0.003091,0.100867,96.7640863288108,0.001042,[41405],['FR'],['Computer and Information Technology'],['None']
Hurricane Electric LLC,760,45947,0.016541,0.007962,96.7640863288108,8.2e-05,[6939],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Super Godzilla Communications GK,2,45947,4.4e-05,0.007812,96.7640863288108,8.1e-05,[138652],['JP'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Rohmad Kumiadin,1,45947,2.2e-05,0.003906,96.7640863288108,4e-05,[210842],['ID'],['None'],['None']
RADISHCLOUD TECHNOLOGY LLC,1,45947,2.2e-05,0.003906,96.7640863288108,4e-05,[201217],['US'],['None'],['None']
Bouygues Telecom SA,149,45947,0.003243,0.001045,96.7640863288108,1.1e-05,[5410],['FR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Kirino LLC,16,45947,0.000348,0.000702,96.7640863288108,7e-06,[41378],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Web2Objects LLC,2,45947,4.4e-05,0.000488,96.7640863288108,5e-06,[62874],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"GALAXYGATE, LLC",28,45947,0.000609,0.000427,96.7640863288108,4e-06,[397031],['US'],['Other'],['None']
"Nocix, LLC",18,45947,0.000392,0.000259,96.7640863288108,3e-06,[33387],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Latitude.sh,162,45947,0.003526,0.000183,96.7640863288108,2e-06,[396356],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
UK-2 Limited,179,45947,0.003896,0.000171,96.7640863288108,2e-06,[13213],['GB'],['Computer and Information Technology'],['Hosting and Cloud Provider']
MonoCloud Pty Ltd,13,45947,0.000283,0.000168,96.7640863288108,2e-06,[149485],['AU'],"['Media, Publishing, and Broadcasting']",['Online Informational Content']
M247 Europe SRL,213,45947,0.004636,0.000154,96.7640863288108,2e-06,[9009],['RO'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Datacamp Limited,11,45947,0.00024,0.000122,96.7640863288108,1e-06,"[60068, 212238]",['GB'],"['Media, Publishing, and Broadcasting'
 'Computer and Information Technology']","['Online Music and Video Streaming Services'
 'Internet Service Provider (ISP)']"
Black Mesa Corporation,8,45947,0.000174,0.000122,96.7640863288108,1e-06,[46997],['US'],['Health Care Services'],['Other']
LoudTronix Inc.,8,45947,0.000174,0.000122,96.7640863288108,1e-06,[205212],['CA'],['Community Groups and Nonprofits'],['Other']
"Amazon.com, Inc.",12089,45947,0.263107,0.000111,96.7640863288108,1e-06,[16509],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Akamai International B.V.,12796,45947,0.27849399999999996,8.6e-05,96.7640863288108,1e-06,"[20940, 21342]",['NL'],"['Media, Publishing, and Broadcasting']",['Online Music and Video Streaming Services']
"Cloudflare, Inc.",2379,45947,0.051777000000000004,6.2e-05,96.7640863288108,1e-06,"[13335, 395747]",['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Bharti Airtel Limited,81,45947,0.001763,6.2e-05,96.7640863288108,1e-06,"[45609, 9498]",['IN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Vinters IT Ltd,16,45947,0.000348,4.6e-05,96.7640863288108,0.0,[62217],['GB'],['Computer and Information Technology'],['None']
Hivelocity Inc,3,45947,6.5e-05,4.6e-05,96.7640863288108,0.0,[61317],['US'],['Computer and Information Technology'],['None']
AltusHost B.V.,5,45947,0.000109,4.6e-05,96.7640863288108,0.0,[51430],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
WideOpenWest Finance LLC,3,45947,6.5e-05,4.6e-05,96.7640863288108,0.0,[16724],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Latitude.sh LTDA,36,45947,0.000784,3.4e-05,96.7640863288108,0.0,[262287],['BR'],['Computer and Information Technology'],['Hosting and Cloud Provider']
SCALEWAY S.A.S.,3,45947,6.5e-05,3.1e-05,96.7640863288108,0.0,[12876],['FR'],['Computer and Information Technology'],['None']
Eons Data Communications Limited,5,45947,0.000109,3.1e-05,96.7640863288108,0.0,[138997],['HK'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Joe's Datacenter, LLC",2,45947,4.4e-05,3.1e-05,96.7640863288108,0.0,[19969],['US'],['Government and Public Administration'],"['Military, Defense, National Security, and International Affairs']"
Plim Mobile Telecom LLC,2,45947,4.4e-05,3.1e-05,96.7640863288108,0.0,[216435],['US'],['None'],['None']
Performive LLC,33,45947,0.000718,3.1e-05,96.7640863288108,0.0,[46562],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"LLC ""Internet Tehnologii""",2,45947,4.4e-05,3.1e-05,96.7640863288108,0.0,[45027],['RU'],['Computer and Information Technology'],['Software Development']
"Fork Networking, LLC",2,45947,4.4e-05,3.1e-05,96.7640863288108,0.0,[46841],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
TerraHost AS,2,45947,4.4e-05,3.1e-05,96.7640863288108,0.0,[56655],['NO'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
NetBase BV,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[213192],['NL'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Melbikomas UAB,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[56630],['LT'],['Computer and Information Technology'],['None']
Bell Canada,36,45947,0.000784,1.5e-05,96.7640863288108,0.0,[577],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Virtual Systems LLC,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[30860],['UA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
HLL LLC,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[51115],['RU'],['Computer and Information Technology'],['None']
GoCodeIT Inc,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[835],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Fly.io, Inc.",1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[40509],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"XMission, L.C.",1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[6315],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Fastly, Inc.",1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[54113],['US'],['Computer and Information Technology'],['Software Development']
F3 Netze e.V.,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[205100],['DE'],['Service'],"['Law, Business, and Consulting Services']"
ERBCOM TELECOMUNICACOES EIRELI - ME,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[268972],['BR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
vv Network Inc,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[200827],['US'],['Computer and Information Technology'],['None']
Clouvider Limited,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[62240],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
National Chung Hsing University,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[1659],['TW'],['Education and Research'],"['Colleges, Universities, and Professional Schools']"
NTX Technologies s.r.o.,1,45947,2.2e-05,1.5e-05,96.7640863288108,0.0,[50113],['CZ'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Cogent Communications,7,45947,0.000152,1.5e-05,96.7640863288108,0.0,[174],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
24 SHELLS,14,45947,0.000305,1.2e-05,96.7640863288108,0.0,[55081],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Telfly Technology Limited,9,45947,0.000196,8e-06,96.7640863288108,0.0,[41717],['HK'],['None'],['None']
Intergrid Group Pty Ltd,8,45947,0.000174,8e-06,96.7640863288108,0.0,[133480],['AU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
QuadraNet Enterprises LLC,9,45947,0.000196,5e-06,96.7640863288108,0.0,[8100],['US'],['Computer and Information Technology'],['Computer and Network Security']
H4Y Technologies LLC,4,45947,8.7e-05,4e-06,96.7640863288108,0.0,[397373],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
LightWave Networks,4,45947,8.7e-05,4e-06,96.7640863288108,0.0,"[12167, 26527]",['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Psychz Networks,3,45947,6.5e-05,3e-06,96.7640863288108,0.0,[40676],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
UAB Rakrejus,3,45947,6.5e-05,3e-06,96.7640863288108,0.0,[62282],['LT'],['Computer and Information Technology'],['None']
"Unlimited Net, LLC",2,45947,4.4e-05,2e-06,96.7640863288108,0.0,[11990],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Facebook, Inc.",7958,45947,0.1732,2e-06,96.7640863288108,0.0,[32934],['US'],"['Retail Stores, Wholesale, and E-commerce Sites']",['None']
