sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio,as
None,8744,45947,0.19031899999999993,58.109335,96.7640863288108,0.6005210000000001,"[209641, 29182, 197992, 29014, 204916, 210644, 202888, 60781, 197619, 41405, 201217, 210842, 397031, 61317, 62217, 216435, 12876, 56630, 51115, 200827, 41717, 62282, 32934, 44901, 58777, 51468, 48581, 55990, 38, 208058, 205544, 204055, 203961, 200241, 216089, 134756, 61323, 61098, 198068, 137697, 197730, 197695, 197598, 149042, 140903, 140716, 140061, 139203, 138915, 138421, 137702, 8888, 7679, 6724, 11917, 11426, 9806, 9605, 9354, 2635, 2497, 513, 4802, 3389, 29222, 29097, 29066, 27823, 33363, 38631, 38365, 35492, 33760, 17511, 21100]"
Internet Service Provider (ISP),5957,45947,0.129677,24.542564000000002,96.7640863288108,0.253629,"[213220, 44812, 57043, 48261, 30633, 64080, 34665, 198571, 64267, 135981, 30721, 140810, 6939, 138652, 5410, 41378, 62874, 33387, 396356, 9009, 45609, 16724, 51430, 56655, 46841, 138997, 46562, 62240, 50113, 6315, 212238, 40509, 268972, 174, 835, 577, 30860, 55081, 133480, 397373, 12167, 11990, 11878, 134094, 55836, 1930, 26527, 21859, 9498, 58542, 58057, 58541, 58487, 58453, 59605, 44974, 59437, 45727, 45430, 49544, 51873, 53356, 47447, 55410, 56046, 45899, 55430, 45758, 55644, 55818, 56040, 49981, 56041, 45474, 60294, 207375, 205766, 204957, 200738, 200222, 207996, 199274, 266768, 264642, 262459, 211786, 210107, 209453, 199752, 199244, 60893, 136188, 134771, 44066, 134238, 133798, 133159, 131445, 63410, 63023, 136959, 198066, 147049, 38040, 43766, 8422, 8966, 8943, 8781, 8772, 8697, 8657, 8560, 8342, 9121, 7922, 7713, 7545, 6805, 6762, 6718, 9002, 9299, 9924, 12360, 12306, 10474, 9930, 9929, 9829, 9312, 9824, 9808, 9534, 9500, 9381, 6697, 5606, 1653, 2875, 2860, 2527, 2519, 1955, 1680, 1547, 5432, 1299, 1257, 852, 812, 701, 680, 3214, 3292, 3303, 3320, 4837, 4835, 4812, 4811, 4808, 4788, 4739, 4657, 4651, 4637, 4230, 4134, 3741, 3462, 12849, 12859, 13030, 28890, 30764, 29789, 29632, 29413, 29075, 28573, 24547, 28075, 27947, 25454, 30781, 30798, 42846, 42487, 41357, 40630, 38266, 38255, 35826, 24961, 24444, 13285, 15802, 17378, 17185, 15943, 15600, 24400, 15169, 15133, 15108, 14522, 14080, 13999, 17451, 17501, 17639, 24309, 24203, 23884, 23724, 23693, 22822, 22697, 22439, 21575, 20853, 20473, 20253, 18001, 398565]"
Phone Provider,12,45947,0.000261,11.0,96.7640863288108,0.113679,[395839]
Other,26,45947,0.000567,2.0002440000000004,96.7640863288108,0.020671000000000002,"[199925, 46997, 205212, 45090, 200351, 209114, 25148, 40994]"
Hosting and Cloud Provider,14869,45947,0.323613,1.0021049999999998,96.7640863288108,0.010356,"[53667, 13213, 16509, 13335, 262287, 213192, 40676, 58810, 55303, 49542, 48635, 54455, 204490, 202505, 200487, 395747, 135967, 142055, 6233, 35470, 16276, 14340]"
Software Development,3072,45947,0.06686,0.10546900000000001,96.7640863288108,0.001089,"[36492, 45027, 54113, 58466, 59504, 47583, 205125, 209622, 63949, 43641, 25923, 25532, 39122, 36351, 34762, 17428]"
Online Music and Video Streaming Services,12831,45947,0.279256,0.004130000000000001,96.7640863288108,4.2999999999999995e-05,"[396982, 60068, 20940, 25019, 43614, 21342]"
Online Informational Content,13,45947,0.000283,0.000168,96.7640863288108,2e-06,[149485]
"Military, Defense, National Security, and International Affairs",36,45947,0.000784,3.1e-05,96.7640863288108,0.0,"[19969, 397232, 397226, 397224, 62571]"
"Law, Business, and Consulting Services",43,45947,0.000937,1.5e-05,96.7640863288108,0.0,"[205100, 210083, 1221, 15967]"
"Colleges, Universities, and Professional Schools",5,45947,0.00011,1.5e-05,96.7640863288108,0.0,"[1659, 204679, 4538, 24357]"
Computer and Network Security,313,45947,0.006814,5e-06,96.7640863288108,0.0,"[8100, 11019, 33438, 16625, 19551]"
"Metal, Glass, Wood, and Paper Manufacturing",1,45947,2.2e-05,0.0,96.7640863288108,0.0,[44477]
"Law Enforcement, Public Safety, and Justice",3,45947,6.5e-05,0.0,96.7640863288108,0.0,[15130]
"Investment, Portfolio Management, Pensions and Funds",1,45947,2.2e-05,0.0,96.7640863288108,0.0,[134762]
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4,45947,8.7e-05,0.0,96.7640863288108,0.0,[208492]
"Government and Regulatory Agencies, Administrations, Departments, and Services",5,45947,0.000109,0.0,96.7640863288108,0.0,[134768]
"Recreation, Sports, and Performing Arts",6,45947,0.000131,0.0,96.7640863288108,0.0,"[131486, 137753]"
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6,45947,0.00013099999999999999,0.0,96.7640863288108,0.0,"[211309, 210079, 16345]"
