as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
16509,1177,0.27002,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
36183,1141,0.26176,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
13335,248,0.05689,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
36492,221,0.0507,Google LLC,US,Computer and Information Technology,Software Development
45609,165,0.03785,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
54113,140,0.03212,"Fastly, Inc.",US,Computer and Information Technology,Software Development
210842,125,0.02868,Rohmad Kumiadin,ID,None,None
204916,102,0.0234,"RACKTECH CO., LTD.",TH,None,None
15133,86,0.01973,Edgecast Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
19551,80,0.01835,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
397165,62,0.01422,EpicUp Holdings Inc,US,Service,"Law, Business, and Consulting Services"
40509,47,0.01078,"Fly.io, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
400519,41,0.00941,Developed Methods LLC,US,Service,Other
9009,34,0.0078,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
62240,30,0.00688,Clouvider Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
44812,29,0.00665,IP SERVER LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
210107,22,0.00505,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
200866,21,0.00482,John Mark Gabriel Caguicla,PH,Computer and Information Technology,Software Development
47583,19,0.00436,Hostinger International Limited,CY,Computer and Information Technology,Software Development
20473,18,0.00413,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
209242,17,0.0039,"Cloudflare London, LLC",US,Service,"Law, Business, and Consulting Services"
30633,15,0.00344,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
151338,14,0.00321,POLONETWORK LIMITED,HK,Construction and Real Estate,Buildings (Residential or Commercial)
20253,13,0.00298,Qwilt Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
270410,13,0.00298,Infosimples Ltda.,BR,Education and Research,"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)"
209968,13,0.00298,Kew Solutions Unipessoal Lda,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
20446,13,0.00298,"StackPath, LLC.",US,Computer and Information Technology,Internet Service Provider (ISP)
41378,12,0.00275,Kirino LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
59504,12,0.00275,LLC Vpsville,RU,Computer and Information Technology,Software Development
1239,11,0.00252,Sprint,US,Computer and Information Technology,Internet Service Provider (ISP)
61317,11,0.00252,Hivelocity Inc,US,Computer and Information Technology,None
33905,10,0.00229,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
199925,9,0.00206,Phan Nhat Nghi,VG,Construction and Real Estate,Other
47596,9,0.00206,IT Express Ltd.,UA,Service,"Law, Business, and Consulting Services"
212238,8,0.00184,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
40676,7,0.00161,Psychz Networks,US,Computer and Information Technology,Hosting and Cloud Provider
46562,7,0.00161,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
49581,7,0.00161,Ferdinand Zink trading as Tube-Hosting,DE,Computer and Information Technology,Software Development
7018,7,0.00161,"AT&T Services, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
62217,7,0.00161,Vinters IT Ltd,GB,Computer and Information Technology,None
210695,7,0.00161,Dmitrii Vladimirovich Malkov,RU,None,None
213220,7,0.00161,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
50069,6,0.00138,"Misaka Network, Inc.",US,Other,None
201217,6,0.00138,RADISHCLOUD TECHNOLOGY LLC,US,None,None
51837,6,0.00138,Netex Limited,HK,Computer and Information Technology,Software Development
60781,6,0.00138,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
174,6,0.00138,Cogent Communications,US,Computer and Information Technology,Internet Service Provider (ISP)
49542,6,0.00138,ArtPlanet LLC,RU,Computer and Information Technology,Hosting and Cloud Provider
949,6,0.00138,xTom,US,Computer and Information Technology,None
60539,5,0.00115,Huicast Telecom Limited,HK,Computer and Information Technology,None
8772,5,0.00115,NetAssist LLC,UA,Computer and Information Technology,Internet Service Provider (ISP)
53667,5,0.00115,FranTech Solutions,US,Computer and Information Technology,Hosting and Cloud Provider
49392,4,0.00092,LLC Baxet,RU,Computer and Information Technology,Internet Service Provider (ISP)
56758,4,0.00092,Cr0bar Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
16724,4,0.00092,WideOpenWest Finance LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
211027,4,0.00092,Perfect Cloud Technologies LLC,RU,"Media, Publishing, and Broadcasting",Other
51659,4,0.00092,LLC Baxet,RU,Computer and Information Technology,Internet Service Provider (ISP)
198571,4,0.00092,3xK Tech GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
207990,4,0.00092,HostRoyale Technologies Pvt Ltd,IN,Computer and Information Technology,Internet Service Provider (ISP)
204490,4,0.00092,Kontel LLC,RU,Computer and Information Technology,Hosting and Cloud Provider
207021,4,0.00092,ipcom GmbH,AT,Computer and Information Technology,None
50867,4,0.00092,HOSTKEY B.V.,NL,Computer and Information Technology,Hosting and Cloud Provider
199186,4,0.00092,KIRILL ZINOV,RU,None,None
56534,3,0.00069,Comfortel Ltd.,RU,Computer and Information Technology,Internet Service Provider (ISP)
212477,3,0.00069,RoyaleHosting BV,NL,Computer and Information Technology,None
60389,3,0.00069,Manir LLC,RU,Finance and Insurance,"Banks, Credit Card Companies, Mortgage Providers"
39900,3,0.00069,Alliance LLC,RU,Construction and Real Estate,Real Estate (Residential and/or Commercial)
210499,3,0.00069,Al Asmary Abdullah Ibrahim A,SA,Computer and Information Technology,Software Development
53356,3,0.00069,Free Range Cloud Hosting Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
212521,3,0.00069,Malkov D.V.,RU,Computer and Information Technology,Internet Service Provider (ISP)
29182,3,0.00069,JSC IOT,RU,Computer and Information Technology,None
208685,3,0.00069,Serverius Holding B.V.,NL,Computer and Information Technology,None
209641,3,0.00069,I-SERVERS LTD,GB,Education and Research,None
14153,3,0.00069,Edgecast Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
4761,3,0.00069,PT. INDOSAT Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
48108,3,0.00069,Sole trader Malkov Dmitrii Vladimirovich,RU,Computer and Information Technology,None
205157,3,0.00069,Daniel Cid,US,"Freight, Shipment, and Postal Services",Other
44477,3,0.00069,STARK INDUSTRIES SOLUTIONS LTD,GB,Manufacturing,"Metal, Glass, Wood, and Paper Manufacturing"
37963,2,0.00046,"Alibaba (US) Technology Co., Ltd.",US,Computer and Information Technology,None
208626,2,0.00046,ServTech LTD,RU,Computer and Information Technology,Internet Service Provider (ISP)
59711,2,0.00046,HZ Hosting Ltd,BG,Computer and Information Technology,Internet Service Provider (ISP)
197730,2,0.00046,BWE CAPITAL LIMITED,VG,None,None
201572,2,0.00046,ECO-INITIATIVE LLC,UA,"Retail Stores, Wholesale, and E-commerce Sites",None
58061,2,0.00046,Scalaxy B.V.,LV,Computer and Information Technology,Hosting and Cloud Provider
50113,2,0.00046,NTX Technologies s.r.o.,CZ,Computer and Information Technology,Internet Service Provider (ISP)
42692,2,0.00046,Overweb Srl,IT,None,None
201178,2,0.00046,Euronet Telekomunikasyon A.S.,TR,Computer and Information Technology,None
198412,2,0.00046,Rage4 Networks Limited,GB,Computer and Information Technology,Software Development
48254,2,0.00046,20i Limited,GB,Computer and Information Technology,None
6762,2,0.00046,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
38732,2,0.00046,CMC Telecom Infrastructure Company,VN,Computer and Information Technology,Internet Service Provider (ISP)
197606,2,0.00046,Ismael Munoz Hernandez,ES,None,None
398962,2,0.00046,CONTROLD INC.,CA,Community Groups and Nonprofits,Other
205544,2,0.00046,LEASEWEB UK LIMITED,GB,Computer and Information Technology,None
61112,2,0.00046,AKILE LTD,GB,"Media, Publishing, and Broadcasting",Online Informational Content
396356,2,0.00046,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
62874,2,0.00046,Web2Objects LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
56849,2,0.00046,Kew Solutions Unipessoal Lda,PT,"Freight, Shipment, and Postal Services",Other
205212,2,0.00046,LoudTronix Inc.,CA,Community Groups and Nonprofits,Other
46997,2,0.00046,Black Mesa Corporation,US,Health Care Services,Other
140810,2,0.00046,Megacore Technology Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
