org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
"Amazon.com, Inc.",[16509],1177,0.27002,US,Computer and Information Technology,Hosting and Cloud Provider
"Akamai Technologies, Inc.","[36183, 16625]",1142,0.26199,US,Computer and Information Technology,Computer and Network Security
"Cloudflare, Inc.",[13335],248,0.05689,US,Computer and Information Technology,Hosting and Cloud Provider
Google LLC,[36492],221,0.0507,US,Computer and Information Technology,Software Development
Bharti Airtel Limited,[45609],165,0.03785,IN,Computer and Information Technology,Internet Service Provider (ISP)
"Fastly, Inc.",[54113],140,0.03212,US,Computer and Information Technology,Software Development
Rohmad Kumiadin,[210842],125,0.02868,ID,None,None
"RACKTECH CO., LTD.",[204916],102,0.0234,TH,None,None
Edgecast Inc.,"[15133, 14153]",89,0.02042,US,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],80,0.01835,US,Computer and Information Technology,Computer and Network Security
EpicUp Holdings Inc,[397165],62,0.01422,US,Service,"Law, Business, and Consulting Services"
"Fly.io, Inc.",[40509],47,0.01078,US,Computer and Information Technology,Internet Service Provider (ISP)
Developed Methods LLC,[400519],41,0.00941,US,Service,Other
M247 Europe SRL,[9009],34,0.0078,RO,Computer and Information Technology,Internet Service Provider (ISP)
Clouvider Limited,[62240],30,0.00688,GB,Computer and Information Technology,Internet Service Provider (ISP)
IP SERVER LLC,[44812],29,0.00665,RU,Computer and Information Technology,Internet Service Provider (ISP)
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,[210107],22,0.00505,TR,Computer and Information Technology,Internet Service Provider (ISP)
John Mark Gabriel Caguicla,[200866],21,0.00482,PH,Computer and Information Technology,Software Development
Hostinger International Limited,[47583],19,0.00436,CY,Computer and Information Technology,Software Development
Kew Solutions Unipessoal Lda,"[209968, 56849, 51126, 52042]",19,0.00436,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
"The Constant Company, LLC",[20473],18,0.00413,US,Computer and Information Technology,Internet Service Provider (ISP)
"Cloudflare London, LLC",[209242],17,0.0039,US,Service,"Law, Business, and Consulting Services"
"Leaseweb USA, Inc.","[30633, 396362]",16,0.00367,US,Computer and Information Technology,Internet Service Provider (ISP)
POLONETWORK LIMITED,[151338],14,0.00321,HK,Construction and Real Estate,Buildings (Residential or Commercial)
Qwilt Inc.,[20253],13,0.00298,US,Computer and Information Technology,Internet Service Provider (ISP)
Infosimples Ltda.,[270410],13,0.00298,BR,Education and Research,"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)"
"StackPath, LLC.",[20446],13,0.00298,US,Computer and Information Technology,Internet Service Provider (ISP)
Kirino LLC,[41378],12,0.00275,US,Computer and Information Technology,Internet Service Provider (ISP)
LLC Vpsville,[59504],12,0.00275,RU,Computer and Information Technology,Software Development
Hivelocity Inc,[61317],11,0.00252,US,Computer and Information Technology,None
Sprint,[1239],11,0.00252,US,Computer and Information Technology,Internet Service Provider (ISP)
Akamai International B.V.,[33905],10,0.00229,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
Dmitrii Vladimirovich Malkov,"[210695, 210852]",9,0.0020700000000000002,RU,None,None
IT Express Ltd.,[47596],9,0.00206,UA,Service,"Law, Business, and Consulting Services"
Phan Nhat Nghi,[199925],9,0.00206,VG,Construction and Real Estate,Other
Datacamp Limited,[212238],8,0.00184,GB,Computer and Information Technology,Internet Service Provider (ISP)
LLC Baxet,"[49392, 51659]",8,0.00184,RU,Computer and Information Technology,Internet Service Provider (ISP)
Delta Ltd,[213220],7,0.00161,RU,Computer and Information Technology,Internet Service Provider (ISP)
Ferdinand Zink trading as Tube-Hosting,[49581],7,0.00161,DE,Computer and Information Technology,Software Development
"AT&T Services, Inc.",[7018],7,0.00161,US,Computer and Information Technology,Internet Service Provider (ISP)
Performive LLC,[46562],7,0.00161,US,Computer and Information Technology,Internet Service Provider (ISP)
Psychz Networks,[40676],7,0.00161,US,Computer and Information Technology,Hosting and Cloud Provider
Vinters IT Ltd,[62217],7,0.00161,GB,Computer and Information Technology,None
ArtPlanet LLC,[49542],6,0.00138,RU,Computer and Information Technology,Hosting and Cloud Provider
LeaseWeb Netherlands B.V.,[60781],6,0.00138,NL,Computer and Information Technology,None
"Misaka Network, Inc.",[50069],6,0.00138,US,Other,None
Netex Limited,[51837],6,0.00138,HK,Computer and Information Technology,Software Development
xTom,[949],6,0.00138,US,Computer and Information Technology,None
RADISHCLOUD TECHNOLOGY LLC,[201217],6,0.00138,US,None,None
Cogent Communications,[174],6,0.00138,US,Computer and Information Technology,Internet Service Provider (ISP)
Huicast Telecom Limited,[60539],5,0.00115,HK,Computer and Information Technology,None
NetAssist LLC,[8772],5,0.00115,UA,Computer and Information Technology,Internet Service Provider (ISP)
FranTech Solutions,[53667],5,0.00115,US,Computer and Information Technology,Hosting and Cloud Provider
HostRoyale Technologies Pvt Ltd,[207990],4,0.00092,IN,Computer and Information Technology,Internet Service Provider (ISP)
Kontel LLC,[204490],4,0.00092,RU,Computer and Information Technology,Hosting and Cloud Provider
Perfect Cloud Technologies LLC,[211027],4,0.00092,RU,"Media, Publishing, and Broadcasting",Other
KIRILL ZINOV,[199186],4,0.00092,RU,None,None
Cr0bar Limited,[56758],4,0.00092,GB,Computer and Information Technology,Internet Service Provider (ISP)
WideOpenWest Finance LLC,[16724],4,0.00092,US,Computer and Information Technology,Internet Service Provider (ISP)
3xK Tech GmbH,[198571],4,0.00092,DE,Computer and Information Technology,Internet Service Provider (ISP)
ipcom GmbH,[207021],4,0.00092,AT,Computer and Information Technology,None
HOSTKEY B.V.,[50867],4,0.00092,NL,Computer and Information Technology,Hosting and Cloud Provider
I-SERVERS LTD,[209641],3,0.00069,GB,Education and Research,None
Free Range Cloud Hosting Inc.,[53356],3,0.00069,CA,Computer and Information Technology,Internet Service Provider (ISP)
Daniel Cid,[205157],3,0.00069,US,"Freight, Shipment, and Postal Services",Other
JSC IOT,[29182],3,0.00069,RU,Computer and Information Technology,None
Alliance LLC,[39900],3,0.00069,RU,Construction and Real Estate,Real Estate (Residential and/or Commercial)
RoyaleHosting BV,[212477],3,0.00069,NL,Computer and Information Technology,None
Serverius Holding B.V.,[208685],3,0.00069,NL,Computer and Information Technology,None
Sole trader Malkov Dmitrii Vladimirovich,[48108],3,0.00069,RU,Computer and Information Technology,None
PT. INDOSAT Tbk,[4761],3,0.00069,ID,Computer and Information Technology,Internet Service Provider (ISP)
Comfortel Ltd.,[56534],3,0.00069,RU,Computer and Information Technology,Internet Service Provider (ISP)
STARK INDUSTRIES SOLUTIONS LTD,[44477],3,0.00069,GB,Manufacturing,"Metal, Glass, Wood, and Paper Manufacturing"
Al Asmary Abdullah Ibrahim A,[210499],3,0.00069,SA,Computer and Information Technology,Software Development
Manir LLC,[60389],3,0.00069,RU,Finance and Insurance,"Banks, Credit Card Companies, Mortgage Providers"
Malkov D.V.,[212521],3,0.00069,RU,Computer and Information Technology,Internet Service Provider (ISP)
VMHaus Limited,[136620],2,0.00046,GB,Computer and Information Technology,Internet Service Provider (ISP)
ServTech LTD,[208626],2,0.00046,RU,Computer and Information Technology,Internet Service Provider (ISP)
Tianhong Peng,[200021],2,0.00046,CN,None,None
TELECOM ITALIA SPARKLE S.p.A.,[6762],2,0.00046,IT,Computer and Information Technology,Internet Service Provider (ISP)
Jikai Ren,[206843],2,0.00046,CN,"Media, Publishing, and Broadcasting",Online Informational Content
