category,number of aliased prefix,ratio of aliased prefix
"Media, Publishing, and Broadcasting",23157,0.53937
Computer and Information Technology,15033,0.34994
Construction and Real Estate,2014,0.04691
"Retail Stores, Wholesale, and E-commerce Sites",1843,0.04292
None,360,0.00838
Education and Research,236,0.00547
Health Care Services,72,0.00168
Service,51,0.00117
Community Groups and Nonprofits,51,0.0011899999999999999
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",43,0.001
Government and Public Administration,38,0.0008900000000000001
"Freight, Shipment, and Postal Services",13,0.0003
Finance and Insurance,9,0.0002
Manufacturing,6,0.00014000000000000001
"Museums, Libraries, and Entertainment",6,0.00014000000000000001
Other,1,2e-05
Utilities (Excluding Internet Service),1,2e-05
